Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2016-07-01,MGL,421.0,540.0,548.95,518.0,520.3,532.46,20001438,345537,7191706,35.96,,,,,,,,,
2016-07-04,MGL,520.3,523.5,533.9,521.3,531.05,528.53,3591938,67906,1294873,36.05,,,,,,,,,
2016-07-05,MGL,531.05,530.0,532.5,516.25,517.5,524.29,1611597,27257,682049,42.32,,,,,,,,,
2016-07-07,MGL,517.5,518.75,520.6,504.55,506.2,511.14,1050990,29358,525637,50.01,,,,,,,,,
2016-07-08,MGL,506.2,506.4,510.75,498.55,502.5,504.26,1306333,35666,552701,42.31,,,,,,,,,
2016-07-11,MGL,502.5,508.0,511.75,502.0,503.4,506.6,963350,22188,480102,49.84,,,,,,,,,
2016-07-12,MGL,503.4,505.4,506.0,495.1,496.75,498.97,790935,20038,441157,55.78,,,,,,,,,
2016-07-13,MGL,496.75,497.5,504.25,492.65,500.25,499.35,835625,21168,345185,41.31,,,,,,,,,
2016-07-14,MGL,500.25,500.9,509.95,498.0,506.55,504.76,676085,18404,311368,46.05,,,,,,,,,
2016-07-15,MGL,506.55,507.45,513.9,502.05,506.8,508.93,801549,22616,332609,41.5,,,,,,,,,
2016-07-18,MGL,506.8,507.8,511.8,503.1,509.9,508.77,500134,13970,261995,52.38,,,,,,,,,
2016-07-19,MGL,509.9,510.1,514.2,508.0,509.45,510.32,306063,8125,153722,50.23,,,,,,,,,
2016-07-20,MGL,509.45,510.1,512.75,509.0,510.1,510.59,436612,17924,327738,75.06,,,,,,,,,
2016-07-21,MGL,510.1,510.05,513.75,502.45,503.9,509.31,376728,17644,205045,54.43,,,,,,,,,
2016-07-22,MGL,503.9,504.8,509.75,504.0,508.1,507.6,246857,18997,173891,70.44,,,,,,,,,
2016-07-25,MGL,508.1,508.45,509.45,503.15,504.55,506.06,209098,10693,151597,72.5,,,,,,,,,
2016-07-26,MGL,504.55,506.0,507.25,497.7,499.4,503.43,203104,9208,132149,65.06,,,,,,,,,
2016-07-27,MGL,499.4,498.4,503.95,496.6,498.0,500.02,208083,12099,149757,71.97,,,,,,,,,
2016-07-28,MGL,498.0,499.7,511.25,496.0,506.35,505.1,653293,18776,422170,64.62,,,,,,,,,
2016-07-29,MGL,506.35,507.0,515.6,506.2,508.8,509.77,544200,17798,334837,61.53,,,,,,,,,
2016-08-01,MGL,508.8,509.0,515.0,504.0,512.35,507.83,1819762,42730,1539216,84.58,,,,,,,,,
2016-08-02,MGL,512.35,514.85,521.95,514.0,519.4,518.92,1016034,32309,605667,59.61,,,,,,,,,
2016-08-03,MGL,519.4,519.0,523.95,509.1,511.35,516.09,461560,19703,290132,62.86,,,,,,,,,
2016-08-04,MGL,511.35,513.5,518.5,509.95,517.0,515.55,369454,15280,224055,60.64,,,,,,,,,
2016-08-05,MGL,517.0,517.95,522.0,514.05,519.55,519.41,417478,31108,269334,64.51,,,,,,,,,
2016-08-08,MGL,519.55,522.0,532.4,521.0,530.3,527.29,657734,29478,327857,49.85,,,,,,,,,
2016-08-09,MGL,530.3,530.25,547.3,527.55,540.3,539.21,1274819,33421,750948,58.91,,,,,,,,,
2016-08-10,MGL,540.3,542.0,542.0,532.0,535.1,535.21,399445,11204,241439,60.44,,,,,,,,,
2016-08-11,MGL,535.1,534.6,538.45,529.6,532.5,533.35,209485,8038,129902,62.01,,,,,,,,,
2016-08-12,MGL,532.5,534.7,539.7,533.0,536.85,537.07,219502,8248,148254,67.54,,,,,,,,,
2016-08-16,MGL,536.85,536.9,540.0,534.15,537.1,536.79,351340,8461,312904,89.06,,,,,,,,,
2016-08-17,MGL,537.1,537.25,551.1,537.1,549.35,546.24,881986,25356,590624,66.97,,,,,,,,,
2016-08-18,MGL,549.35,551.0,573.4,550.95,570.9,565.16,1206667,32266,737812,61.14,,,,,,,,,
2016-08-19,MGL,570.9,573.4,582.0,563.55,577.35,576.63,749894,21094,434108,57.89,,,,,,,,,
2016-08-22,MGL,577.35,580.7,594.8,575.0,591.55,586.58,1282012,35256,535522,41.77,,,,,,,,,
2016-08-23,MGL,591.55,593.95,603.0,565.1,580.45,589.89,1419004,46758,647049,45.6,,,,,,,,,
2016-08-24,MGL,580.45,580.0,598.0,579.95,595.9,591.13,416093,13805,195194,46.91,,,,,,,,,
2016-08-25,MGL,595.9,598.0,598.0,585.0,586.75,591.57,273017,12173,138049,50.56,,,,,,,,,
2016-08-26,MGL,586.75,590.0,598.0,589.95,596.3,594.55,292354,8092,145587,49.8,,,,,,,,,
2016-08-29,MGL,596.3,598.0,615.0,596.3,613.9,608.98,640981,19095,313124,48.85,,,,,,,,,
2016-08-30,MGL,613.9,616.6,650.0,616.0,641.85,633.83,940134,25573,439252,46.72,,,,,,,,,
2016-08-31,MGL,641.85,645.0,661.4,640.0,652.25,651.5,872126,20788,413810,47.45,,,,,,,,,
2016-09-01,MGL,652.25,654.5,658.0,631.55,636.15,646.14,849646,22057,382298,44.99,,,,,,,,,
2016-09-02,MGL,636.15,635.4,649.95,612.0,635.3,629.76,1048848,42914,566729,54.03,,,,,,,,,
2016-09-06,MGL,635.3,640.0,654.7,635.5,651.85,646.03,398256,11531,204834,51.43,,,,,,,,,
2016-09-07,MGL,651.85,655.9,656.0,640.55,647.0,650.68,284368,7938,153811,54.09,,,,,,,,,
2016-09-08,MGL,647.0,650.0,653.0,645.5,649.35,649.04,146259,3956,55119,37.69,,,,,,,,,
2016-09-09,MGL,649.35,648.0,653.9,641.3,643.7,647.36,210462,5508,133421,63.39,,,,,,,,,
2016-09-12,MGL,643.7,635.0,635.0,617.25,619.95,626.71,275224,10163,180521,65.59,,,,,,,,,
2016-09-14,MGL,619.95,622.5,638.85,622.5,631.35,630.43,264287,7798,151584,57.36,,,,,,,,,
2016-09-15,MGL,631.35,621.0,622.9,606.5,609.95,614.55,226065,7715,114117,50.48,,,,,,,,,
2016-09-16,MGL,609.95,612.25,619.0,601.2,605.65,611.7,174090,7703,96257,55.29,,,,,,,,,
2016-09-19,MGL,605.65,609.8,615.0,606.15,607.9,609.33,100918,4234,53873,53.38,,,,,,,,,
2016-09-20,MGL,607.9,609.4,609.4,598.0,602.7,603.78,111000,3515,60783,54.76,,,,,,,,,
2016-09-21,MGL,602.7,604.7,606.7,601.45,602.95,604.11,81843,2790,46671,57.03,,,,,,,,,
2016-09-22,MGL,602.95,612.0,621.15,607.0,613.8,614.42,232404,10289,122569,52.74,,,,,,,,,
2016-09-23,MGL,613.8,618.0,627.8,616.1,619.9,622.49,362475,9119,193226,53.31,,,,,,,,,
2016-09-26,MGL,619.9,622.4,624.3,617.55,622.05,621.62,171555,4304,128036,74.63,,,,,,,,,
2016-09-27,MGL,622.05,625.0,636.95,622.15,634.8,632.25,231825,13423,134113,57.85,,,,,,,,,
2016-09-28,MGL,634.8,637.0,664.95,635.5,661.6,654.83,963282,34959,596642,61.94,,,,,,,,,
2016-09-29,MGL,661.6,667.7,679.95,639.1,647.2,659.0,970935,56206,690549,71.12,,,,,,,,,
2016-09-30,MGL,647.2,654.6,666.5,650.35,660.15,657.78,364893,28852,234687,64.32,,,,,,,,,
2016-10-03,MGL,660.15,668.1,674.9,666.7,669.5,671.07,308161,14308,232216,75.36,,,,,,,,,
2016-10-04,MGL,669.5,673.8,731.9,664.3,722.05,708.04,1339659,39625,423172,31.59,,,,,,,,,
2016-10-05,MGL,722.05,722.0,722.0,695.05,698.45,701.5,494612,25074,270047,54.6,,,,,,,,,
2016-10-06,MGL,698.45,703.0,708.75,691.55,698.7,701.42,685208,25277,359316,52.44,,,,,,,,,
2016-10-07,MGL,698.7,702.6,705.7,697.0,703.2,701.41,178621,13372,98831,55.33,,,,,,,,,
2016-10-10,MGL,703.2,706.1,725.0,703.2,716.9,717.47,454819,17821,234377,51.53,,,,,,,,,
2016-10-13,MGL,716.9,718.0,718.0,689.3,691.35,699.01,384721,25850,299142,77.76,,,,,,,,,
2016-10-14,MGL,691.35,696.95,729.9,694.0,725.15,714.87,562782,18794,318684,56.63,,,,,,,,,
2016-10-17,MGL,725.15,729.9,774.0,729.1,758.85,752.5,720761,22827,346153,48.03,,,,,,,,,
2016-10-18,MGL,758.85,763.4,766.25,747.0,755.5,755.23,333380,17909,157208,47.16,,,,,,,,,
2016-10-19,MGL,755.5,759.8,767.0,751.0,760.3,758.84,252187,9030,75196,29.82,,,,,,,,,
2016-10-20,MGL,760.3,763.0,765.8,753.4,759.1,757.75,222318,6169,161251,72.53,,,,,,,,,
2016-10-21,MGL,759.1,762.4,803.25,756.45,789.5,789.03,472430,17780,246483,52.17,,,,,,,,,
2016-10-24,MGL,789.5,793.3,797.5,786.0,791.15,791.33,306697,17339,198938,64.86,,,,,,,,,
2016-10-25,MGL,791.15,790.0,794.6,766.1,769.1,771.93,305433,21526,217958,71.36,,,,,,,,,
2016-10-26,MGL,769.1,765.25,785.0,762.05,764.7,769.96,212184,21455,118522,55.86,,,,,,,,,
2016-10-27,MGL,764.7,764.7,768.9,748.0,752.85,755.58,204834,13550,155810,76.07,,,,,,,,,
2016-10-28,MGL,752.85,757.7,774.35,754.4,759.8,763.58,425564,15081,329800,77.5,,,,,,,,,
2016-10-30,MGL,759.8,766.9,770.0,763.0,767.65,767.25,35099,1895,17725,50.5,,,,,,,,,
2016-11-01,MGL,767.65,773.5,780.0,767.35,774.5,774.78,148947,5050,90066,60.47,,,,,,,,,
2016-11-02,MGL,774.5,752.0,765.15,752.0,758.2,759.4,90938,4965,56333,61.95,,,,,,,,,
2016-11-03,MGL,758.2,758.0,767.45,751.2,755.6,758.93,73935,3336,42806,57.9,,,,,,,,,
2016-11-04,MGL,755.6,752.1,758.9,712.05,719.35,730.79,251873,17568,167688,66.58,,,,,,,,,
2016-11-07,MGL,719.35,733.5,737.8,704.05,708.85,719.39,162941,12874,104629,64.21,,,,,,,,,
2016-11-08,MGL,708.85,713.0,722.45,699.0,715.4,707.94,186133,12876,103345,55.52,,,,,,,,,
2016-11-09,MGL,715.4,635.1,740.0,635.1,728.4,706.83,270403,12538,133834,49.49,,,,,,,,,
2016-11-10,MGL,728.4,742.0,758.9,740.0,747.5,746.96,137893,7079,76482,55.46,,,,,,,,,
2016-11-11,MGL,747.5,755.0,767.15,742.0,747.3,755.22,236564,17345,161574,68.3,,,,,,,,,
2016-11-15,MGL,747.3,747.3,753.45,730.25,744.35,740.68,106195,8470,65882,62.04,,,,,,,,,
2016-11-16,MGL,744.35,753.6,769.95,724.75,733.6,753.39,184775,10952,96846,52.41,,,,,,,,,
2016-11-17,MGL,733.6,735.55,777.95,735.55,770.4,765.32,263875,15606,100997,38.27,,,,,,,,,
2016-11-18,MGL,770.4,774.9,781.0,743.0,748.9,755.21,301226,23755,178793,59.36,,,,,,,,,
2016-11-21,MGL,748.9,758.95,764.0,735.0,741.0,747.15,133055,13691,74735,56.17,,,,,,,,,
2016-11-22,MGL,741.0,745.25,756.1,730.6,736.75,739.01,94191,8642,55737,59.17,,,,,,,,,
2016-11-23,MGL,736.75,743.85,746.65,728.0,730.9,736.03,97277,12874,56441,58.02,,,,,,,,,
2016-11-24,MGL,730.9,731.4,742.0,724.75,735.7,734.84,104570,9774,45205,43.23,,,,,,,,,
2016-11-25,MGL,735.7,747.95,771.9,740.0,770.55,761.95,188861,11031,100561,53.25,,,,,,,,,
2016-11-28,MGL,770.55,774.95,794.9,761.25,771.1,782.9,256254,8403,121297,47.33,,,,,,,,,
2016-11-29,MGL,771.1,805.0,828.0,771.0,778.25,797.83,1291736,44734,593158,45.92,,,,,,,,,
2016-11-30,MGL,778.25,780.2,783.7,764.2,769.15,770.49,483822,20144,316976,65.52,,,,,,,,,
2016-12-01,MGL,769.15,771.0,775.5,742.5,746.55,757.13,264603,14275,118792,44.89,,,,,,,,,
2016-12-02,MGL,746.55,746.0,748.05,730.1,734.25,737.74,228108,9250,97836,42.89,,,,,,,,,
2016-12-05,MGL,734.25,742.4,748.9,736.0,743.6,743.7,134351,8198,54628,40.66,,,,,,,,,
2016-12-06,MGL,743.6,764.85,769.7,750.0,751.2,758.47,232711,10776,89220,38.34,,,,,,,,,
2016-12-07,MGL,751.2,752.85,754.85,742.55,745.95,749.85,70823,3040,28219,39.84,,,,,,,,,
2016-12-08,MGL,745.95,753.05,756.8,748.1,750.05,751.29,66343,2863,29067,43.81,,,,,,,,,
2016-12-09,MGL,750.05,752.9,767.0,746.05,754.25,757.74,217063,6682,77112,35.53,,,,,,,,,
2016-12-12,MGL,754.25,751.4,754.7,744.0,746.95,748.84,113477,3711,48349,42.61,,,,,,,,,
2016-12-13,MGL,746.95,745.0,764.4,741.0,760.4,756.72,183665,6825,99499,54.17,,,,,,,,,
2016-12-14,MGL,760.4,758.5,764.7,747.0,751.25,756.57,133973,7270,81184,60.6,,,,,,,,,
2016-12-15,MGL,751.25,747.7,766.9,745.0,763.25,760.61,180210,6303,75839,42.08,,,,,,,,,
2016-12-16,MGL,763.25,767.0,797.0,764.25,784.2,785.41,519978,21555,251977,48.46,,,,,,,,,
2016-12-19,MGL,784.2,784.8,795.0,778.0,782.65,786.79,244212,7773,133416,54.63,,,,,,,,,
2016-12-20,MGL,782.65,783.8,788.75,780.4,784.75,784.48,90395,4049,42371,46.87,,,,,,,,,
