DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,4.0549999999999855,Bullish,2,2
High,High,Very Low,3.204444444444448,Bearish,18,18
High,Low,Very Low,2.8676000000000017,Bearish,25,25
High,Medium,Very Low,3.4729629629629635,Bearish,27,27
High,Very High,High,2.6085714285714254,Bearish,7,7
High,Very High,Low,4.223333333333329,Bullish,9,9
High,Very High,Medium,3.2828571428571416,Bearish,7,7
High,Very High,Very High,2.3279999999999914,Bearish,5,5
High,Very High,Very Low,7.303333333333323,Bearish,3,3
High,Very Low,Low,3.938000000000005,Bullish,5,5
High,Very Low,Very Low,2.4250000000000043,Bullish,2,2
Low,High,High,3.710000000000008,Bearish,1,1
Low,High,Medium,11.054999999999993,Bearish,2,2
Low,Low,Very Low,3.6940425531914887,Bearish,47,47
Low,Medium,Low,3.7174999999999976,Bearish,4,4
Low,Medium,Very Low,3.4261538461538477,Bearish,13,13
Low,Very High,High,4.685000000000002,Bearish,2,2
Low,Very High,Very High,2.9000000000000057,Bearish,2,2
Low,Very Low,Low,6.463333333333331,Bearish,6,6
Low,Very Low,Very Low,4.142424242424243,Bearish,33,33
Medium,High,Low,3.7714285714285682,Bearish,7,7
Medium,High,Very Low,3.815384615384616,Bearish,13,13
Medium,Low,Very Low,4.1530000000000005,Bearish,30,30
Medium,Medium,Very Low,3.136052631578947,Bearish,38,38
Medium,Very High,High,4.1950000000000145,Bearish,2,2
Medium,Very High,Low,3.549999999999997,Bullish,1,1
Medium,Very High,Medium,6.399999999999977,Bearish,1,1
Medium,Very High,Very High,6.36999999999999,Bullish,2,2
Medium,Very Low,Low,2.6999999999999957,Bearish,2,2
Medium,Very Low,Very Low,3.8084615384615366,Bullish,13,13
Very High,High,Low,2.127272727272729,Bearish,11,11
Very High,High,Very Low,3.3484615384615353,Bearish,26,26
Very High,Low,Low,2.729999999999997,Bearish,2,2
Very High,Medium,Low,2.872857142857145,Bullish,7,7
Very High,Medium,Very Low,2.224375000000001,Bearish,16,16
Very High,Very High,High,4.8666666666666645,Bullish,3,3
Very High,Very High,Low,4.448888888888892,Bearish,9,9
Very High,Very High,Medium,4.199999999999991,Bullish,5,5
Very High,Very High,Very High,1.8999999999999986,Bullish,2,2
Very High,Very High,Very Low,3.5521739130434815,Bearish,23,23
Very High,Very Low,Low,3.1166666666666694,Bearish,3,3
Very High,Very Low,Very Low,4.953333333333329,Bullish,3,3
Very Low,Low,High,3.7250000000000014,Bullish,2,2
Very Low,Low,Low,2.6500000000000057,Bearish,1,1
Very Low,Low,Very High,5.329999999999984,Bearish,1,1
Very Low,Low,Very Low,5.2933333333333366,Bullish,3,3
Very Low,Very High,Very High,4.345000000000013,Bearish,2,2
Very Low,Very Low,High,6.469999999999995,Bearish,4,4
Very Low,Very Low,Low,5.667647058823533,Bullish,17,17
Very Low,Very Low,Medium,7.38333333333333,Bearish,3,3
Very Low,Very Low,Very High,4.989999999999999,Bullish,3,3
Very Low,Very Low,Very Low,4.42472972972973,Bullish,74,74
