Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2015-08-04,MPHASIS,435.2,1144.44,1.57,600.0
2015-11-13,MPHASIS,487.45,160.78,1.15,64.71000000000001
2016-04-05,MPHASIS,457.95,1657.14,1.35,271.42999999999984
2018-05-14,MPHASIS,983.55,1367.68,27.0,278.65999999999985
2018-10-31,MPHASIS,986.95,120.73,1.11,14.64
2020-03-17,MPHASIS,700.85,1963.64,5.13,368.18000000000006
2021-04-07,MPHASIS,1732.45,234.21,1.09,52.62999999999997
2022-12-16,MPHASIS,1913.15,145.05,1.44,13.189999999999998
2023-02-28,MPHASIS,2035.4,157.61,1.38,-7.610000000000014
2024-06-10,MPHASIS,2394.6,687.58,50.43,125.80999999999996
2024-07-19,MPHASIS,2873.55,58.61,4.86,-4.25
