DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,518.9812500000005,Bearish,8,8
High,High,Medium,249.95000000000073,Bearish,1,1
High,High,Very Low,472.39000000000016,Bullish,30,30
High,Low,Medium,428.29687500000034,Bearish,16,16
High,Medium,Low,423.8562500000005,Bearish,8,8
High,Medium,Medium,322.1900000000002,Bullish,10,10
High,Medium,Very Low,265.0,Bullish,1,1
High,Very High,High,785.5625000000002,Bearish,4,4
High,Very High,Low,316.7299999999999,Bullish,5,5
High,Very High,Medium,371.51111111111135,Bullish,9,9
High,Very High,Very High,475.56785714285706,Bearish,14,14
High,Very High,Very Low,331.20000000000255,Bullish,2,2
High,Very Low,High,645.2166666666677,Bearish,6,6
High,Very Low,Medium,789.483333333334,Bearish,9,9
Low,High,Very High,440.38749999999936,Bearish,4,4
Low,Low,Low,343.40833333333325,Bearish,12,12
Low,Low,Medium,386.7499999999991,Bearish,4,4
Low,Low,Very Low,295.4500000000005,Bearish,12,12
Low,Medium,High,814.2357142857146,Bearish,7,7
Low,Medium,Low,186.15000000000023,Bearish,3,3
Low,Medium,Medium,345.37142857142834,Bearish,7,7
Low,Medium,Very High,430.0,Bearish,1,1
Low,Medium,Very Low,214.89999999999964,Bullish,1,1
Low,Very High,Very High,264.7500000000002,Bearish,9,9
Low,Very Low,Low,329.1083333333333,Bearish,6,6
Low,Very Low,Medium,493.63214285714287,Bearish,56,56
Low,Very Low,Very Low,248.0250000000001,Bullish,2,2
Medium,High,High,264.9000000000001,Bearish,4,4
Medium,High,Medium,409.65,Bearish,5,5
Medium,High,Very High,597.5499999999993,Bearish,2,2
Medium,High,Very Low,106.5,Bearish,1,1
Medium,Low,Low,392.7050000000001,Bearish,10,10
Medium,Low,Medium,369.9357142857144,Bearish,14,14
Medium,Medium,Low,358.38333333333316,Bullish,12,12
Medium,Medium,Medium,366.45999999999987,Bearish,5,5
Medium,Medium,Very Low,433.83281250000005,Bearish,32,32
Medium,Very High,Very High,184.95624999999995,Bearish,8,8
Medium,Very Low,High,291.2999999999993,Bearish,1,1
Medium,Very Low,Medium,404.3910714285713,Bearish,28,28
Very High,High,Low,641.9249999999996,Bearish,6,6
Very High,High,Medium,363.3633333333333,Bearish,15,15
Very High,Low,High,421.1300000000003,Bearish,5,5
Very High,Low,Medium,455.3249999999997,Bearish,8,8
Very High,Medium,High,261.7625000000003,Bullish,4,4
Very High,Medium,Medium,528.3310344827585,Bullish,29,29
Very High,Very High,High,326.9300000000003,Bearish,5,5
Very High,Very High,Low,346.91875000000005,Bullish,8,8
Very High,Very High,Medium,424.37142857142874,Bullish,7,7
Very High,Very High,Very High,445.92777777777764,Bearish,9,9
Very High,Very High,Very Low,427.9000000000001,Bullish,14,14
Very High,Very Low,High,558.4291666666659,Bullish,12,12
Very High,Very Low,Very Low,635.6499999999996,Bullish,2,2
Very Low,Low,High,484.9214285714289,Bearish,7,7
Very Low,Low,Low,193.0,Bullish,1,1
Very Low,Low,Medium,438.3874999999987,Bullish,4,4
Very Low,Low,Very High,262.920588235294,Bullish,17,17
Very Low,Medium,High,1108.0999999999985,Bullish,1,1
Very Low,Medium,Very High,310.03928571428565,Bearish,14,14
Very Low,Very High,Very High,324.0250000000003,Bullish,8,8
Very Low,Very Low,High,453.1916666666675,Bearish,6,6
Very Low,Very Low,Low,473.73928571428553,Bullish,14,14
Very Low,Very Low,Medium,476.21891891891926,Bearish,37,37
Very Low,Very Low,Very High,560.8749999999994,Bearish,6,6
Very Low,Very Low,Very Low,624.7000000000003,Bullish,9,9
