Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,NATIONALUM,417.9,420.0,442.3,417.0,438.75,431.74,1117702,,93002,0.08320000000000001,,,439.75,1441525.0,1222450.0,2010-01-28,62100.0,,Undecisive
2010-01-05,NATIONALUM,438.75,441.1,526.8,399.95,505.35,503.91,8711691,,619899,0.0712,,,496.4,9815825.0,1447275.0,2010-01-28,224825.0,56.64999999999998,LongBuildUp
2010-01-06,NATIONALUM,505.35,507.0,516.9,473.0,475.6,485.28,4784622,,1030447,0.2154,,,474.8,4234875.0,1594475.0,2010-01-28,147200.0,-21.599999999999966,ShortBuildUp
2010-01-07,NATIONALUM,475.6,480.0,483.0,468.0,475.0,474.95,2268893,,527816,0.23260000000000003,,,474.7,2300575.0,1746275.0,2010-01-28,151800.0,-0.10000000000002274,ShortBuildUp
2010-01-08,NATIONALUM,475.0,477.0,488.7,467.05,471.4,479.15,1382556,,171419,0.12400000000000001,,,470.65,2009050.0,1793425.0,2010-01-28,47150.0,-4.050000000000011,ShortBuildUp
2010-01-11,NATIONALUM,471.4,470.0,481.9,470.0,475.1,476.26,725475,,151007,0.20809999999999998,,,474.9,1083300.0,1795150.0,2010-01-28,1725.0,4.25,LongBuildUp
2010-01-12,NATIONALUM,475.1,477.0,477.0,465.5,471.3,470.56,653588,,326321,0.4993,,,469.45,738875.0,1704300.0,2010-01-28,-90850.0,-5.449999999999989,LongUnwinding
2010-01-13,NATIONALUM,471.3,465.5,471.0,458.1,464.35,463.64,603830,,186705,0.30920000000000003,,,461.0,1156900.0,1856675.0,2010-01-28,152375.0,-8.449999999999989,ShortBuildUp
2010-01-14,NATIONALUM,464.35,467.65,471.6,451.7,454.6,462.89,478828,,119274,0.24910000000000002,,,452.35,994175.0,2047000.0,2010-01-28,190325.0,-8.649999999999977,ShortBuildUp
2010-01-15,NATIONALUM,454.6,455.0,466.4,454.8,461.2,461.19,556059,,143136,0.25739999999999996,,,459.8,883200.0,2065975.0,2010-01-28,18975.0,7.449999999999989,LongBuildUp
2010-01-18,NATIONALUM,461.2,452.0,475.9,452.0,466.65,468.05,586871,,94131,0.1604,,,466.15,997050.0,2094150.0,2010-01-28,28175.0,6.349999999999966,LongBuildUp
2010-01-19,NATIONALUM,466.65,465.0,479.0,421.8,459.85,465.43,783399,,314611,0.40159999999999996,,,458.5,872850.0,2132100.0,2010-01-28,37950.0,-7.649999999999977,ShortBuildUp
2010-01-20,NATIONALUM,459.85,460.9,466.3,452.1,455.25,458.14,445640,,173460,0.38920000000000005,,,455.45,623875.0,2169475.0,2010-01-28,37375.0,-3.0500000000000114,ShortBuildUp
2010-01-21,NATIONALUM,455.25,451.0,457.75,434.5,437.4,447.54,427909,,168381,0.3935,,,437.9,602600.0,2085525.0,2010-01-28,-83950.0,-17.55000000000001,LongUnwinding
2010-01-22,NATIONALUM,437.4,433.9,433.9,409.0,421.05,420.35,751020,,382583,0.5094,,,419.35,1248325.0,1934875.0,2010-01-28,-150650.0,-18.549999999999955,LongUnwinding
2010-01-25,NATIONALUM,421.05,415.05,439.65,410.2,417.05,429.32,673476,,144490,0.2145,,,417.45,1750875.0,1616900.0,2010-01-28,-317975.0,-1.900000000000034,LongUnwinding
