Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,NAVINFLUOR,2024-12-26,3626.3,3635.05,3563.3,3583.15,3583.15,285075,1629.0,1649025,36575
2024-12-11,NAVINFLUOR,2024-12-26,3672.0,3678.45,3600.7,3610.8,3610.8,191100,1092.0,1612450,-11375
2024-12-10,NAVINFLUOR,2024-12-26,3562.0,3671.0,3471.05,3663.9,3663.9,409500,2340.0,1623825,11375
2024-12-09,NAVINFLUOR,2024-12-26,3583.95,3588.0,3538.1,3548.15,3548.15,202650,1158.0,1612450,2625
2024-12-06,NAVINFLUOR,2024-12-26,3621.95,3659.95,3563.7,3574.65,3574.65,327425,1871.0,1609825,41300
2024-12-05,NAVINFLUOR,2024-12-26,3633.75,3649.95,3579.9,3612.05,3612.05,314475,1797.0,1568525,17150
2024-12-04,NAVINFLUOR,2024-12-26,3622.25,3631.3,3576.8,3609.55,3609.55,165725,947.0,1551375,-22225
2024-12-03,NAVINFLUOR,2024-12-26,3620.95,3620.95,3566.0,3596.75,3596.75,192850,1102.0,1573600,-5950
2024-12-02,NAVINFLUOR,2024-12-26,3552.55,3622.9,3505.15,3605.45,3605.45,372750,2130.0,1579550,34300
2024-11-29,NAVINFLUOR,2024-12-26,3497.95,3543.0,3489.85,3534.15,3534.15,260750,1490.0,1545250,34300
2024-11-28,NAVINFLUOR,2024-11-28,3538.3,3538.5,3450.0,3462.1,3468.95,504875,2885.0,64925,-341250
2024-11-27,NAVINFLUOR,2024-11-28,3467.45,3512.35,3426.5,3501.95,3501.95,586600,3352.0,406175,-427875
2024-11-26,NAVINFLUOR,2024-11-28,3408.95,3472.2,3408.95,3458.15,3458.15,624925,3571.0,834050,-466550
2024-11-25,NAVINFLUOR,2024-11-28,3356.05,3451.0,3350.0,3426.85,3426.85,448525,2563.0,1300600,-138250
2024-11-22,NAVINFLUOR,2024-11-28,3277.1,3340.3,3262.65,3332.45,3332.45,427875,2445.0,1438850,-132825
2024-11-21,NAVINFLUOR,2024-11-28,3371.9,3371.9,3250.15,3260.25,3260.25,293475,1677.0,1571675,24500
