Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-08,NESTLEIND,2512.95,2555.0,2575.0,2475.2,2494.65,2529.81,648,,438,67590000.0,,,,,,,,,
2010-01-11,NESTLEIND,2494.65,2401.0,2515.0,2400.0,2498.95,2494.44,825,,638,77330000.0,,,,,,,,,
2010-01-12,NESTLEIND,2498.95,2540.0,2540.0,2471.35,2502.85,2485.22,68346,,67695,99050000.00000003,,,,,,,,,
2010-01-13,NESTLEIND,2502.85,2502.85,2540.0,2480.0,2489.35,2491.94,1032,,718,69569999.99999999,,,,,,,,,
2010-01-14,NESTLEIND,2489.35,2535.0,2595.0,2470.0,2568.2,2510.27,330361,,329193,99650000.0,,,,,,,,,
2010-01-15,NESTLEIND,2568.2,2580.0,2580.0,2500.05,2513.5,2548.35,8229,,7303,88750000.0,,,,,,,,,
2010-01-18,NESTLEIND,2513.5,2574.0,2574.0,2514.0,2536.15,2534.76,883,,689,78030000.0,,,,,,,,,
2010-01-19,NESTLEIND,2536.15,2567.0,2570.0,2531.0,2556.1,2558.84,688,,432,62790000.0,,,,,,,,,
2010-01-20,NESTLEIND,2556.1,2550.0,2575.0,2540.0,2542.5,2552.32,641,,549,85650000.0,,,,,,,,,
2010-01-21,NESTLEIND,2542.5,2539.9,2569.0,2499.9,2526.2,2538.36,831,,623,74970000.0,,,,,,,,,
2010-01-22,NESTLEIND,2526.2,2500.0,2530.0,2478.0,2529.0,2516.42,681,,357,52420000.0,,,,,,,,,
2010-01-25,NESTLEIND,2529.0,2665.35,2665.35,2510.0,2522.25,2528.68,1955,,846,43270000.0,,,,,,,,,
2010-01-27,NESTLEIND,2522.25,2570.0,2574.9,2498.6,2566.9,2547.51,5302,,3898,73520000.0,,,,,,,,,
2010-01-28,NESTLEIND,2566.9,2568.0,2610.0,2535.5,2586.85,2570.33,1048,,750,71560000.0,,,,,,,,,
2010-01-29,NESTLEIND,2586.85,2526.0,2580.0,2526.0,2533.0,2556.08,787,,474,60230000.0,,,,,,,,,
2010-02-01,NESTLEIND,2533.0,2599.95,2599.95,2515.1,2532.2,2546.42,614,,354,57650000.0,,,,,,,,,
2010-02-02,NESTLEIND,2532.2,2599.1,2599.1,2540.0,2560.1,2565.58,831,,607,73040000.00000001,,,,,,,,,
2010-02-03,NESTLEIND,2560.1,2588.0,2600.0,2556.0,2564.6,2579.62,8681,,8457,97420000.0,,,,,,,,,
2010-02-04,NESTLEIND,2564.6,2548.0,2583.8,2548.0,2568.35,2566.97,442,,362,81900000.00000001,,,,,,,,,
2010-02-05,NESTLEIND,2568.35,2582.0,2582.0,2442.0,2549.1,2543.23,1651,,1017,61600000.0,,,,,,,,,
2010-02-06,NESTLEIND,2549.1,2455.0,2572.9,2455.0,2566.4,2538.32,33,,32,96970000.0,,,,,,,,,
2010-02-08,NESTLEIND,2566.4,2570.0,2672.0,2570.0,2645.5,2642.09,8181,,5288,64640000.0,,,,,,,,,
2010-02-09,NESTLEIND,2645.5,2600.1,2824.0,2600.1,2792.6,2743.1,8861,,4089,46150000.000000015,,,,,,,,,
2010-02-10,NESTLEIND,2792.6,2802.0,3244.0,2738.6,2750.2,2797.05,44699,,28613,64010000.000000015,,,,,,,,,
