DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,56.923076923076955,Bullish,13,13
High,High,Medium,61.866666666666674,Bearish,3,3
High,High,Very Low,52.47916666666668,Bearish,36,36
High,Low,Low,50.216666666666676,Bearish,12,12
High,Low,Medium,64.70000000000005,Bearish,1,1
High,Medium,Low,37.587499999999935,Bearish,8,8
High,Medium,Very Low,54.89999999999998,Bullish,2,2
High,Very High,High,47.62999999999999,Bullish,15,15
High,Very High,Low,52.474999999999966,Bearish,6,6
High,Very High,Medium,57.49374999999999,Bearish,8,8
High,Very High,Very High,42.683333333333316,Bearish,9,9
High,Very High,Very Low,54.299999999999955,Bullish,2,2
High,Very Low,Medium,41.45384615384618,Bullish,13,13
High,Very Low,Very Low,31.050000000000182,Bullish,1,1
Low,High,High,40.61818181818183,Bearish,11,11
Low,High,Medium,55.974999999999994,Bullish,4,4
Low,High,Very High,47.06000000000004,Bullish,5,5
Low,Low,Low,66.84166666666665,Bullish,6,6
Low,Low,Medium,58.65000000000009,Bullish,1,1
Low,Low,Very Low,30.93690476190477,Bearish,42,42
Low,Medium,High,37.07499999999999,Bearish,2,2
Low,Medium,Low,43.709999999999994,Bearish,5,5
Low,Medium,Medium,78.41000000000004,Bearish,5,5
Low,Medium,Very Low,58.44999999999999,Bearish,4,4
Low,Very High,Very High,39.54999999999998,Bearish,4,4
Low,Very Low,Low,33.692499999999995,Bullish,20,20
Low,Very Low,Medium,38.47142857142852,Bullish,7,7
Low,Very Low,Very Low,30.635000000000012,Bearish,10,10
Medium,High,High,66.14999999999986,Bearish,1,1
Medium,High,Low,52.45000000000002,Bearish,12,12
Medium,High,Medium,91.16666666666674,Bullish,9,9
Medium,High,Very Low,36.888888888888914,Bullish,9,9
Medium,Low,Low,49.2,Bearish,8,8
Medium,Low,Very Low,36.488461538461515,Bullish,13,13
Medium,Medium,Low,22.59999999999991,Bearish,1,1
Medium,Medium,Very Low,34.31354166666667,Bullish,48,48
Medium,Very High,High,49.78333333333336,Bullish,6,6
Medium,Very High,Very High,35.00833333333336,Bearish,6,6
Medium,Very Low,Low,41.27222222222221,Bearish,9,9
Medium,Very Low,Medium,42.985714285714266,Bullish,7,7
Medium,Very Low,Very Low,20.200000000000045,Bearish,1,1
Very High,High,Low,65.20000000000003,Bullish,19,19
Very High,High,Medium,37.00000000000002,Bullish,6,6
Very High,High,Very Low,51.64000000000001,Bearish,5,5
Very High,Low,Medium,29.31500000000001,Bearish,10,10
Very High,Medium,Medium,45.10000000000001,Bullish,8,8
Very High,Very High,High,47.01249999999995,Bullish,12,12
Very High,Very High,Low,48.64750000000003,Bullish,20,20
Very High,Very High,Medium,60.13214285714285,Bearish,14,14
Very High,Very High,Very High,47.41000000000001,Bearish,5,5
Very High,Very High,Very Low,51.50476190476192,Bullish,21,21
Very High,Very Low,Medium,38.366666666666646,Bearish,9,9
Very High,Very Low,Very Low,31.100000000000023,Bullish,1,1
Very Low,High,High,22.5,Bullish,1,1
Very Low,High,Very High,30.24999999999997,Bullish,4,4
Very Low,Low,High,39.69499999999998,Bullish,10,10
Very Low,Low,Low,24.560000000000013,Bullish,5,5
Very Low,Low,Medium,40.175,Bearish,8,8
Very Low,Low,Very High,33.89642857142858,Bearish,14,14
Very Low,Low,Very Low,28.67500000000001,Bullish,2,2
Very Low,Medium,High,35.25833333333338,Bullish,6,6
Very Low,Medium,Very High,47.14230769230768,Bearish,13,13
Very Low,Very High,Very High,24.71666666666664,Bullish,6,6
Very Low,Very Low,High,35.59285714285714,Bullish,7,7
Very Low,Very Low,Low,30.212068965517265,Bearish,29,29
Very Low,Very Low,Medium,41.05000000000002,Bearish,7,7
Very Low,Very Low,Very High,35.375,Bearish,2,2
Very Low,Very Low,Very Low,33.297368421052624,Bearish,19,19
