Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2015-04-13,OFSS,3433.05,169.77,1.26,123.24999999999996
2018-09-18,OFSS,4260.15,566.67,10.65,701.1899999999999
2018-09-19,OFSS,4106.5,927.08,10.32,1222.92
2020-06-19,OFSS,2591.85,245.0,1.23,370.0
2020-08-12,OFSS,3034.45,190.48,5.94,213.6
2021-03-16,OFSS,3257.55,617.65,2.53,870.59
2021-04-08,OFSS,3490.85,128.18,1.31,-9.090000000000003
2021-05-17,OFSS,3520.05,357.14,2.3,464.29
2021-05-27,OFSS,3487.75,148.7,5.82,152.85000000000002
2021-06-11,OFSS,3689.35,159.09,2.21,8.329999999999984
2021-07-20,OFSS,3957.55,124.39,3.59,50.73
2021-08-27,OFSS,4763.55,108.82,1.5,38.24000000000001
2021-09-09,OFSS,4767.55,141.07,1.29,89.29000000000002
2021-10-14,OFSS,4777.7,100.87,2.59,11.739999999999997
2023-12-29,OFSS,4212.8,165.0,1.42,190.0
2024-03-15,OFSS,8453.3,61.16,2.37,-8.259999999999998
2024-04-26,OFSS,7490.6,91.21,4.16,-6.140000000000001
2024-05-06,OFSS,7860.5,131.03,2.23,61.21000000000001
2024-06-28,OFSS,9882.25,105.45,3.68,37.74
2024-07-16,OFSS,11092.6,79.71,2.67,-2.319999999999993
2024-08-09,OFSS,10564.1,57.48,1.29,-13.599999999999994
2024-08-12,OFSS,10734.55,82.54,2.17,32.27
2024-08-22,OFSS,11106.05,102.63,1.97,70.18
2024-08-23,OFSS,10931.5,110.0,1.33,80.0
2024-08-29,OFSS,10807.75,97.22,2.56,45.0
2024-08-30,OFSS,10988.7,216.4,34.89,180.98
2024-09-13,OFSS,12261.9,86.42,2.32,-36.42
2024-10-07,OFSS,10944.4,96.58,1.77,54.7
2024-11-25,OFSS,11958.25,51.35,2.11,43.7
2025-02-28,OFSS,7763.9,46.46,1.37,14.159999999999997
2025-03-20,OFSS,7578.8,64.78,2.48,35.620000000000005
