Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2015-01-01,OFSS,10782,1135,6669,15.09,38.64,156.06,Low,Low,Low,Very High,-0.53,-0.44,-0.61,86.89,72.13,14.760000000000005,Medium,,Neutral,Medium,High,Very High,3360.78,3357.65,,3378.75,,21.09999999999991,-0.59,,-3500.0,0.0,3362.55,3358.0,3389.7,3335.0,3354.12,82875.0,2015-01-29,93.06877488,Undecisive,,,54.7,,,,,,,Neutral,,,,0.17,,,,,0.0,,,0.0,0.0,,,False,,,False,,9.285633356011614,,9.49955947136564,,,0.17,0.17,False
2015-01-02,OFSS,343426,2707,324088,110.62,129.82,17.36,Very High,Very High,Low,Very High,4.8,1.71,-0.51,-941.18,-335.29,-605.8899999999999,Low,53.5,Strong Demand,Very High,Very High,Low,3396.03,3411.15,57.84999999999991,3436.6,0.11999999999999988,25.449999999999818,-0.18,0.0,-125.0,0.0,3357.65,3341.0,3435.95,3341.0,3377.83,82750.0,2015-01-29,93.07167895,ShortCovering,70.15,24.8,94.95,False,0.0,NoSwipe,Bullish,0.015808153327816044,53.5,Strong Demand,,,,1.34,688.24,,,,1.33,,Buy,1.6600000000003092,0.33,70.15,70.15,False,24.8,24.8,False,53.5,12.746726938033092,681.9498911847704,126.86590321388992,0.00015578319638000617,0.2519209054986223,0.87,0.8,True
2015-01-05,OFSS,35442,2881,16770,36.11,75.0,107.7,Medium,Medium,Low,Very High,-0.36,-0.28,-0.49,73.47,57.14,16.33,High,-5.55,Low Demand,High,High,High,3426.87,3405.6,-11.650000000000093,3424.95,-0.18000000000000002,19.34999999999991,-0.29,0.09,-4000.0,0.04,3411.15,3395.5,3479.5,3395.5,3446.19,78750.0,2015-01-29,93.16460919,LongUnwinding,10.1,73.9,84.0,True,1.28,CandleHighSwipe,Bullish,-0.0016283423116068008,-5.550000000000182,Low Demand,,,,0.15,-88.81,,,,1.4,,Buy,2.4900000000002365,1.09,30.12,38.7,False,57.53,51.24,True,-5.550000000000182,10.475652836535291,-58.13987324277277,12.30197847969455,-0.0001565938716776757,-0.020180448886765977,0.53,0.55,False
2015-01-06,OFSS,17425,2354,10040,12.77,35.9,181.13,Low,Low,Low,High,-0.47,-0.39,-0.53,88.68,73.58,15.100000000000009,Medium,-105.0,Low Demand,Medium,High,Very High,3325.87,3300.6,-112.79999999999971,3312.15,-0.20999999999999996,11.550000000000182,-0.0,0.02,-1000.0,0.01,3405.6,3395.0,3395.0,3282.0,3318.94,77750.0,2015-01-29,93.18784175,LongUnwinding,18.6,94.4,113.0,False,0.0,NoSwipe,Bearish,-0.031316865404475536,-105.0,Low Demand,,,,0.07,-53.33,,,,-2.92,,Sell,-2.2700000000004366,0.65,23.54,31.35,False,78.6,67.89,True,-105.0,9.765661235628725,-1025.3944297410162,7.402293967714528,-0.006025824964131995,-0.43559661416355827,0.34,0.4,False
2015-01-07,OFSS,15052,1823,12092,32.56,39.02,19.84,Medium,Low,Low,High,-0.43,-0.41,-0.57,75.44,71.93,3.509999999999991,Medium,0.1,Low Demand,Medium,High,Low,3301.77,3300.7,-0.8000000000001819,3311.35,-0.02,10.650000000000091,-0.69,0.0,-125.0,0.0,3300.6,3305.0,3324.6,3280.0,3301.49,77625.0,2015-01-29,93.19074582,LongUnwinding,20.7,23.9,44.6,True,0.06,CandleLowSwipe,Bearish,3.0297062702189237e-05,0.09999999999990905,Low Demand,,,,0.19,171.43,,,,-5.58,,Sell,-7.549999999999727,-1.97,22.02,28.3,False,49.43,54.24,False,0.09999999999990905,9.619266151713328,0.9619266151704579,8.256719692814043,6.643635397283354e-06,0.0005276613358038715,0.28,0.34,False
2015-01-08,OFSS,21107,2545,10450,13.04,40.54,210.89,Low,Low,Low,Very High,-0.46,-0.37,-0.52,88.46,71.15,17.309999999999988,High,24.45,Low Supply,Medium,High,Very High,3342.05,3325.15,37.15000000000009,3348.5,0.3800000000000001,23.34999999999991,-0.16,-0.06,2500.0,-0.02,3300.7,3302.0,3399.0,3302.0,3336.11,80125.0,2015-01-29,93.13266442,LongBuildUp,23.15,73.85,97.0,False,0.0,NoSwipe,Bullish,0.007380218682190076,24.450000000000273,Low Supply,,,,0.09,-52.63,,,,-4.12,,Sell,-8.510000000000218,-4.39,22.6,27.06,False,62.03,59.45,True,24.450000000000273,9.957360018000617,243.4574524401178,8.29351669941061,0.0011583834746766604,0.09566108150888716,0.21,0.28,False
2015-01-09,OFSS,30759,5507,15987,16.22,0.0,100.0,Medium,Medium,Medium,Very High,-0.37,-0.31,-0.31,119.35,100.0,19.349999999999994,High,-35.95,Low Demand,Medium,,High,3292.45,3289.2,-36.34999999999991,3312.15,-0.010000000000000009,22.950000000000273,-0.42,-0.24,10250.0,-0.1,3325.15,3312.65,3330.0,3258.15,3285.57,90375.0,2015-01-29,92.89162661,ShortBuildUp,31.05,40.8,71.85,False,0.0,NoSwipe,Bearish,-0.010870411757618825,-35.95000000000027,Low Demand,3386.167803985165,,,0.08,-11.11,,,,-3.65,,Sell,-9.690000000000055,-6.04,26.89,27.89,False,51.25,55.04,False,-35.95000000000027,10.3339379133382,-371.50506798451113,5.585436716905757,-0.001168763613901631,-0.06746051715716563,0.17,0.24,False
2015-01-12,OFSS,21498,2507,14504,33.33,40.54,21.63,Medium,Low,Low,Very High,-0.39,-0.37,-0.52,75.0,71.15,3.8499999999999943,Medium,-15.95,Low Demand,Medium,High,Low,3285.35,3273.25,-14.050000000000182,3298.1,0.06,24.84999999999991,-0.41,-0.1,4250.0,-0.04,3289.2,3299.95,3327.8,3255.0,3274.96,94625.0,2015-01-29,92.78998416,ShortBuildUp,18.25,54.55,72.8,True,0.1,CandleLowSwipe,Bearish,-0.004860998988876375,-15.949999999999818,Low Demand,3372.661580594679,,,0.12,50.0,,,,-4.32,,Sell,-12.389999999999873,-8.07,22.54,26.09,False,52.91,54.93,False,-15.949999999999818,9.975715186533009,-159.11265722519968,8.57518946948544,-0.0007419294818122532,-0.06346735429804534,0.15,0.21,False
2015-01-13,OFSS,8928,1113,5755,12.96,35.56,174.38,Low,Low,Low,Medium,-0.54,-0.45,-0.61,88.52,73.77,14.75,Medium,29.35,Low Supply,Medium,High,Very High,3296.08,3302.6,13.200000000000273,3311.3,-0.5,8.700000000000273,-0.8,0.1,-4375.0,0.05,3273.25,3276.0,3309.65,3276.0,3299.54,90250.0,2015-01-29,92.89162661,ShortCovering,26.6,7.05,33.65,False,0.0,,Bullish,0.008926661921023538,29.34999999999991,Low Supply,3323.810881643833,,,0.24,100.0,,,,-2.52,,Sell,-12.300000000000182,-9.78,24.58,26.18,False,29.89,45.28,False,29.34999999999991,9.096947684621092,266.9954145436282,8.021563342318059,0.0032874103942652226,0.2398880633815168,0.18,0.22,False
2015-01-14,OFSS,38978,5858,26219,45.0,16.0,64.44,High,Medium,Medium,Medium,-0.2,-0.25,-0.29,68.97,86.21,-17.239999999999995,Low,65.7,Low Supply,High,Low,High,3353.0,3368.3,63.75,3375.05,-0.06000000000000005,6.75,-0.37,0.17,-7500.0,0.08,3302.6,3307.0,3383.7,3307.0,3368.61,82750.0,2015-01-29,93.06587081,ShortCovering,61.3,15.4,76.7,False,0.0,NoSwipe,Bullish,0.019698129000714104,65.70000000000027,Low Supply,3312.666940670912,,,0.09,-62.5,,,,3.18,,Buy,-6.099999999999909,-9.28,42.97,31.72,True,22.63,39.59,False,65.70000000000027,10.570752663381969,694.4984499841983,6.6538067599863435,0.0016855662168402759,0.11855555650122879,0.15,0.19,False
