Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,ONGC,2024-12-26,258.55,259.0,254.65,255.05,255.05,10814650.0,5618.0,94286500,248325
2024-12-11,ONGC,2024-12-26,258.0,259.65,256.8,257.45,257.45,7965650.0,4138.0,94038175,-448525
2024-12-10,ONGC,2024-12-26,259.6,259.75,255.05,257.25,257.25,12551000.0,6520.0,94486700,-2207975
2024-12-09,ONGC,2024-12-26,261.5,261.95,258.75,260.0,260.0,9865625.0,5125.0,96694675,-57750
2024-12-06,ONGC,2024-12-26,261.75,264.25,260.6,261.4,261.4,11904200.0,6184.0,96752425,2086700
2024-12-05,ONGC,2024-12-26,262.25,263.75,257.45,261.95,261.95,19792850.0,10282.0,94665725,-1143450
2024-12-04,ONGC,2024-12-26,264.15,265.0,261.3,261.95,261.95,12343100.0,6412.0,95809175,-862400
2024-12-03,ONGC,2024-12-26,260.85,266.15,259.65,263.25,263.25,28151200.0,14624.0,96671575,-2581425
2024-12-02,ONGC,2024-12-26,257.0,259.65,254.1,258.55,258.55,21900725.0,11377.0,99253000,-2263800
2024-11-29,ONGC,2024-12-26,254.95,259.75,253.3,257.95,257.95,14310450.0,7434.0,101516800,-1443750
2024-11-28,ONGC,2024-11-28,258.0,258.0,251.2,252.15,252.2,25664100.0,13332.0,9392075,-13886950
2024-11-27,ONGC,2024-11-28,255.4,255.4,250.15,254.1,254.1,30480450.0,15834.0,23279025,-23319450
2024-11-26,ONGC,2024-11-28,254.8,258.0,252.7,254.2,254.2,43046850.0,22362.0,46598475,-35127400
2024-11-25,ONGC,2024-11-28,248.0,260.4,248.0,257.95,257.95,54152175.0,28131.0,81725875,-14912975
2024-11-22,ONGC,2024-11-28,245.75,247.3,243.9,245.65,245.65,16177700.0,8404.0,96638850,-5809650
2024-11-21,ONGC,2024-11-28,248.6,248.6,241.25,242.45,242.45,20874700.0,10844.0,102448500,-3971275
2024-11-19,ONGC,2024-11-28,252.1,255.7,247.2,248.0,248.0,23527350.0,12222.0,106419775,-6956950
2024-11-18,ONGC,2024-11-28,251.3,252.85,247.75,251.3,251.3,12801250.0,6650.0,113376725,1880725
2024-11-14,ONGC,2024-11-28,252.95,254.95,249.65,251.6,251.6,16212350.0,8422.0,111496000,209825
2024-11-13,ONGC,2024-11-28,256.95,258.0,249.6,253.35,253.35,21126875.0,10975.0,111286175,-537075
2024-11-12,ONGC,2024-11-28,260.45,264.1,256.5,257.2,257.2,31623900.0,16428.0,111823250,1998150
2024-11-11,ONGC,2024-11-28,259.1,259.85,255.7,256.4,256.4,19690825.0,10229.0,109890550,1168475
2024-11-08,ONGC,2024-11-28,264.2,264.75,258.05,260.8,260.8,16225825.0,8429.0,108722075,-3339875
2024-11-07,ONGC,2024-11-28,267.3,267.75,264.2,264.75,264.75,14127575.0,7339.0,112061950,155925
2024-11-06,ONGC,2024-11-28,267.75,268.85,263.7,267.2,267.2,29546825.0,15349.0,111906025,109725
2024-11-05,ONGC,2024-11-28,263.35,268.65,263.15,267.5,267.5,20091225.0,10437.0,111796300,3114650
2024-11-04,ONGC,2024-11-28,272.95,273.55,259.9,264.25,264.25,23744875.0,12335.0,108681650,-1934625
2024-11-01,ONGC,2024-11-28,267.55,271.2,267.25,270.1,270.1,4059825.0,2109.0,110616275,-573650
2024-10-31,ONGC,2024-10-31,262.35,267.85,260.8,266.05,266.15,29319675.0,15231.0,27668025,-20268325
2024-10-30,ONGC,2024-10-31,265.0,266.25,261.05,261.85,261.85,39339300.0,20436.0,47936350,-25188625
2024-10-29,ONGC,2024-10-31,264.15,265.95,259.35,265.3,265.3,37968700.0,19724.0,73124975,-29304275
2024-10-28,ONGC,2024-10-31,263.95,265.75,255.45,263.5,263.5,37529800.0,19496.0,102429250,-13754125
2024-10-25,ONGC,2024-10-31,269.55,270.4,261.6,264.1,264.1,17575250.0,9130.0,116183375,-2331175
2024-10-24,ONGC,2024-10-31,271.95,272.7,269.15,269.85,269.85,10033100.0,5212.0,118514550,-1014475
2024-10-23,ONGC,2024-10-31,271.95,275.1,265.85,271.15,271.15,26867225.0,13957.0,119529025,-1572725
2024-10-22,ONGC,2024-10-31,276.95,278.75,270.35,271.2,271.2,15257550.0,7926.0,121101750,-2564100
2024-10-21,ONGC,2024-10-31,284.15,285.0,275.35,277.25,277.25,16322075.0,8479.0,123665850,-979825
2024-10-18,ONGC,2024-10-31,283.0,285.9,280.15,284.6,284.6,17292275.0,8983.0,124645675,2908675
2024-10-17,ONGC,2024-10-31,286.5,288.45,281.95,282.75,282.75,17305750.0,8990.0,121737000,2028950
2024-10-16,ONGC,2024-10-31,282.75,288.5,281.85,286.8,286.8,19738950.0,10254.0,119708050,2117500
2024-10-15,ONGC,2024-10-31,287.0,287.0,280.0,284.3,284.3,18164300.0,9436.0,117590550,2036650
2024-10-14,ONGC,2024-10-31,292.85,293.95,286.55,287.95,287.95,13771450.0,7154.0,115553900,1453375
2024-10-11,ONGC,2024-10-31,292.7,294.95,291.0,293.65,293.65,11702075.0,6079.0,114100525,-902825
2024-10-10,ONGC,2024-10-31,289.55,293.85,289.15,290.4,290.4,12416250.0,6450.0,115003350,904750
2024-10-09,ONGC,2024-10-31,292.0,292.9,287.9,289.35,289.35,22104775.0,11483.0,114098600,-1736350
2024-10-08,ONGC,2024-10-31,290.9,295.1,287.5,294.6,294.6,15494325.0,8049.0,115834950,-308000
2024-10-07,ONGC,2024-10-31,296.85,297.25,283.4,290.9,290.9,29196475.0,15167.0,116142950,-3268650
2024-10-04,ONGC,2024-10-31,297.45,302.0,294.75,296.5,296.5,36251600.0,18832.0,119411600,-1744050
2024-10-03,ONGC,2024-10-31,295.05,300.0,292.65,294.7,294.7,37907100.0,19692.0,121155650,-3923150
2024-10-01,ONGC,2024-10-31,299.05,301.3,293.2,294.5,294.5,16822575.0,8739.0,125078800,2132900
2024-09-30,ONGC,2024-10-31,298.85,304.3,295.6,300.25,300.25,32817400.0,17048.0,122945900,881650
2024-09-27,ONGC,2024-10-31,294.0,300.35,287.9,299.15,299.15,40199775.0,20883.0,122064250,3424575
2024-09-26,ONGC,2024-09-26,297.15,298.1,291.3,295.15,295.2,36752100.0,19092.0,5070450,-16707075
2024-09-25,ONGC,2024-09-26,299.65,300.7,296.15,298.15,298.15,32802000.0,17040.0,21777525,-21893025
2024-09-24,ONGC,2024-09-26,296.4,302.2,294.45,299.6,299.6,54556425.0,28341.0,43670550,-37073575
2024-09-23,ONGC,2024-09-26,288.6,296.25,287.45,295.05,295.05,46342450.0,24074.0,80744125,-31192700
2024-09-20,ONGC,2024-09-26,287.25,289.0,285.2,286.65,286.65,27371575.0,14219.0,111936825,-4346650
2024-09-19,ONGC,2024-09-26,287.0,289.5,282.7,286.15,286.15,31183075.0,16199.0,116283475,-2908675
2024-09-18,ONGC,2024-09-26,297.65,298.25,287.8,290.6,290.6,23086525.0,11993.0,119192150,-2044350
2024-09-17,ONGC,2024-09-26,294.7,297.0,292.45,294.6,294.6,15286425.0,7941.0,121236500,-2167550
2024-09-16,ONGC,2024-09-26,292.6,295.6,291.7,293.4,293.4,17309600.0,8992.0,123404050,594825
2024-09-13,ONGC,2024-09-26,295.4,297.85,291.45,291.95,291.95,19332775.0,10043.0,122809225,873950
2024-09-12,ONGC,2024-09-26,289.1,294.95,287.25,294.3,294.3,42217175.0,21931.0,121935275,-3447675
2024-09-11,ONGC,2024-09-26,292.05,293.15,284.1,286.1,286.1,44286550.0,23006.0,125382950,5501650
2024-09-10,ONGC,2024-09-26,300.6,301.9,295.6,296.2,296.2,21808325.0,11329.0,119881300,1224300
2024-09-09,ONGC,2024-09-26,308.0,308.45,295.25,299.6,299.6,38586625.0,20045.0,118657000,-694925
2024-09-06,ONGC,2024-09-26,313.15,313.9,304.2,309.3,309.3,33689425.0,17501.0,119351925,-5180175
2024-09-05,ONGC,2024-09-26,318.0,318.35,311.65,312.9,312.9,25152050.0,13066.0,124532100,375375
2024-09-04,ONGC,2024-09-26,318.4,318.4,308.65,315.3,315.3,33429550.0,17366.0,124156725,-1243550
2024-09-03,ONGC,2024-09-26,329.0,329.75,323.0,323.65,323.65,14653100.0,7612.0,125400275,2879800
2024-09-02,ONGC,2024-09-26,332.1,333.5,327.55,327.9,327.9,14724325.0,7649.0,122520475,773850
2024-08-30,ONGC,2024-09-26,333.3,336.35,331.15,332.8,332.8,23766050.0,12346.0,121746625,2820125
