Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,PEL,1260.4,1252.8,1255.9,1220.55,1252.3,1242.02,506446,25990.0,174347,34.43
2024-12-12,PEL,1269.8,1271.95,1275.0,1247.6,1260.4,1256.46,443650,27575.0,194337,43.8
2024-12-11,PEL,1264.85,1264.15,1275.0,1256.3,1269.8,1268.48,385793,23341.0,148084,38.38
2024-12-10,PEL,1241.1,1241.1,1271.9,1238.45,1264.85,1259.96,1010129,45988.0,315804,31.26
2024-12-09,PEL,1239.5,1243.9,1250.0,1233.75,1241.1,1241.87,568339,29844.0,307851,54.17
2024-12-06,PEL,1243.45,1251.0,1251.0,1221.55,1239.5,1237.19,717974,28271.0,289628,40.34
2024-12-05,PEL,1237.15,1232.15,1249.45,1232.15,1243.45,1239.36,368052,19630.0,127758,34.71
2024-12-04,PEL,1236.5,1244.7,1244.7,1226.2,1237.15,1235.38,482516,23355.0,158732,32.9
2024-12-03,PEL,1207.45,1218.9,1240.9,1207.5,1236.5,1227.13,1043923,52383.0,407707,39.06
2024-12-02,PEL,1185.0,1192.0,1214.0,1181.0,1207.45,1203.24,1099839,46066.0,333845,30.35
2024-11-29,PEL,1180.0,1185.0,1191.65,1170.0,1185.0,1184.03,773733,37239.0,339602,43.89
2024-11-28,PEL,1190.3,1190.25,1205.3,1171.85,1180.0,1187.18,1112808,42265.0,343594,30.88
2024-11-27,PEL,1198.15,1198.15,1224.75,1184.0,1190.3,1201.56,2128329,82407.0,397306,18.67
2024-11-26,PEL,1107.75,1112.0,1206.85,1111.5,1198.15,1165.34,5215972,140157.0,1416879,27.16
2024-11-25,PEL,1085.5,1091.0,1121.2,1088.35,1107.75,1106.86,1738318,56770.0,847246,48.74
2024-11-22,PEL,1054.95,1055.15,1093.6,1051.45,1085.5,1080.65,633176,33818.0,198286,31.32
2024-11-21,PEL,1060.2,1051.35,1062.2,1036.7,1054.95,1052.18,414184,23112.0,107050,25.85
2024-11-19,PEL,1048.55,1051.15,1090.1,1051.15,1060.2,1077.35,1650687,35278.0,321025,19.45
2024-11-18,PEL,1044.25,1033.15,1059.95,1014.3,1048.55,1036.02,1000482,30581.0,394733,39.45
2024-11-14,PEL,1012.3,1008.9,1056.95,1003.65,1044.25,1039.73,961682,38714.0,235621,24.5
2024-11-13,PEL,1023.15,1020.0,1023.85,994.05,1012.3,1005.28,943984,37536.0,381389,40.4
2024-11-12,PEL,1037.0,1037.0,1046.9,1016.95,1023.15,1029.49,447763,18541.0,158836,35.47
2024-11-11,PEL,1047.65,1040.0,1042.0,1015.85,1037.0,1031.41,648933,28909.0,218591,33.68
2024-11-08,PEL,1066.9,1074.9,1078.0,1041.0,1047.65,1060.19,415947,25462.0,120398,28.95
2024-11-07,PEL,1094.25,1098.95,1102.45,1064.8,1066.9,1077.88,347499,20787.0,94410,27.17
2024-11-06,PEL,1072.15,1074.95,1103.6,1071.7,1094.25,1091.48,716957,29251.0,327055,45.62
2024-11-05,PEL,1051.0,1047.1,1081.0,1036.5,1072.15,1062.89,482745,27941.0,90898,18.83
2024-11-04,PEL,1065.95,1065.95,1071.9,1030.1,1051.0,1046.58,616129,31970.0,186560,30.28
