Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2011-11-30,PFC,161.85,149.38,4.4,122.22000000000004
2012-02-17,PFC,220.9,101.72,1.0,70.69
2017-02-22,PFC,137.45,400.0,1.55,153.57000000000005
2017-03-30,PFC,142.7,1191.67,2.0,475.0
2017-05-25,PFC,141.5,1350.0,1.27,766.6700000000001
2017-10-26,PFC,143.65,224.36,2.53,100.0
2017-11-08,PFC,137.45,1640.0,1.37,1100.0
2017-11-30,PFC,120.85,274.19,1.48,203.23
2018-11-16,PFC,101.35,626.83,3.19,151.2199999999999
2019-05-30,PFC,122.95,1400.0,1.27,11.1099999999999
2019-09-26,PFC,100.4,2012.5,1.95,425.0
2021-03-15,PFC,136.85,193.06,1.17,-30.56
2021-09-17,PFC,138.3,725.0,1.18,258.33000000000004
2021-10-28,PFC,134.2,452.94,1.1,194.11999999999995
2022-03-17,PFC,116.35,1980.0,1.34,700.0
2023-01-25,PFC,143.45,181.58,1.47,11.839999999999977
2023-05-16,PFC,167.3,300.0,2.15,70.69
2023-06-05,PFC,193.65,153.49,1.06,-30.230000000000004
2023-08-28,PFC,272.05,219.7,1.8,53.03000000000003
2023-08-31,PFC,260.2,819.85,32.42,394.38
2023-10-26,PFC,230.35,135.07,1.27,-40.28999999999999
2023-11-30,PFC,334.9,243.41,6.91,93.66
2024-01-04,PFC,405.75,86.32,1.01,-38.67999999999999
2024-01-19,PFC,412.35,72.4,1.1,-15.110000000000008
2024-05-31,PFC,492.45,82.71,2.96,-13.549999999999995
2024-06-07,PFC,483.55,91.4,2.65,-26.290000000000006
2024-09-17,PFC,482.45,20.32,1.2,0.6999999999999993
2024-10-03,PFC,467.55,71.65,1.88,2.3699999999999903
2024-11-21,PFC,453.35,81.89,2.2,-27.3
2024-12-20,PFC,453.3,91.19,2.34,30.05
2025-02-28,PFC,364.3,112.44,3.37,42.860000000000014
