Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,PFC,261.45,262.5,263.4,254.05,255.5,257.4,658398,,403666,0.6131000000000001,,,257.2,590400.0,850800.0,2010-01-28,206400.0,,Undecisive
2010-01-05,PFC,255.5,258.55,262.3,256.5,261.1,259.71,661108,,430430,0.6511,,,261.25,609600.0,696000.0,2010-01-28,-154800.0,4.050000000000011,ShortCovering
2010-01-06,PFC,261.1,258.1,262.75,256.0,259.7,259.14,467770,,249819,0.5341,,,260.55,354000.0,716400.0,2010-01-28,20400.0,-0.6999999999999886,ShortBuildUp
2010-01-07,PFC,259.7,260.0,262.0,256.25,259.9,259.1,196316,,79922,0.4071,,,260.2,208800.0,736800.0,2010-01-28,20400.0,-0.35000000000002274,ShortBuildUp
2010-01-08,PFC,259.9,261.0,262.3,257.5,258.45,259.57,144511,,58379,0.40399999999999997,,,259.1,321600.0,823200.0,2010-01-28,86400.0,-1.099999999999966,ShortBuildUp
2010-01-11,PFC,258.45,258.5,270.2,258.5,268.85,266.28,677298,,322227,0.4758,,,268.8,934800.0,712800.0,2010-01-28,-110400.0,9.699999999999989,ShortCovering
2010-01-12,PFC,268.85,280.0,280.0,264.5,270.4,268.88,498190,,245868,0.49350000000000005,,,271.6,716400.0,681600.0,2010-01-28,-31200.0,2.8000000000000114,ShortCovering
2010-01-13,PFC,270.4,272.0,273.0,267.25,271.45,271.0,316078,,149067,0.47159999999999996,,,271.7,357600.0,672000.0,2010-01-28,-9600.0,0.0999999999999659,ShortCovering
2010-01-14,PFC,271.45,268.15,284.2,268.15,282.7,278.43,849406,,398311,0.46890000000000004,,,283.4,990000.0,814800.0,2010-01-28,142800.0,11.699999999999989,LongBuildUp
2010-01-15,PFC,282.7,284.1,285.0,278.8,281.2,282.05,337078,,142266,0.42210000000000003,,,280.85,486000.0,777600.0,2010-01-28,-37200.0,-2.5499999999999545,LongUnwinding
2010-01-18,PFC,281.2,280.8,281.0,274.0,275.2,276.93,354199,,214163,0.6046,,,276.3,236400.0,811200.0,2010-01-28,33600.0,-4.550000000000011,ShortBuildUp
