DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,95.94999999999997,Bullish,3,3
High,High,Very Low,103.10113636363639,Bearish,44,44
High,Low,Low,94.3842105263158,Bearish,19,19
High,Medium,Low,86.14444444444442,Bearish,9,9
High,Medium,Very Low,97.7958333333333,Bearish,12,12
High,Very High,High,84.95625000000001,Bullish,8,8
High,Very High,Low,95.0111111111112,Bullish,9,9
High,Very High,Medium,73.69999999999989,Bearish,7,7
High,Very High,Very High,96.52857142857134,Bearish,7,7
High,Very High,Very Low,106.72857142857136,Bullish,7,7
High,Very Low,Low,88.30384615384607,Bearish,13,13
High,Very Low,Very Low,147.4749999999999,Bearish,2,2
Low,High,High,77.4333333333331,Bearish,3,3
Low,High,Low,39.84999999999991,Bearish,1,1
Low,Low,Low,105.86666666666679,Bearish,3,3
Low,Low,Very Low,81.06049382716047,Bullish,81,81
Low,Medium,Low,91.34999999999991,Bearish,5,5
Low,Medium,Medium,85.39000000000006,Bearish,5,5
Low,Medium,Very Low,86.71666666666657,Bearish,15,15
Low,Very Low,Low,100.93461538461536,Bearish,13,13
Low,Very Low,Very Low,91.93928571428576,Bearish,14,14
Medium,High,Low,107.11111111111111,Bullish,9,9
Medium,High,Medium,29.600000000000364,Bearish,1,1
Medium,High,Very Low,80.05588235294127,Bullish,17,17
Medium,Low,Low,94.69500000000002,Bearish,10,10
Medium,Low,Very Low,111.15416666666665,Bearish,12,12
Medium,Medium,Very Low,85.04545454545453,Bearish,66,66
Medium,Very High,High,80.66999999999999,Bearish,5,5
Medium,Very High,Very High,99.08750000000009,Bullish,4,4
Medium,Very Low,Low,104.50588235294114,Bearish,17,17
Very High,High,Low,90.43958333333326,Bearish,24,24
Very High,High,Very Low,61.14999999999999,Bullish,9,9
Very High,Low,Low,98.14999999999999,Bearish,13,13
Very High,Medium,Low,100.75,Bullish,18,18
Very High,Very High,High,105.13333333333321,Bearish,3,3
Very High,Very High,Low,104.67352941176462,Bearish,17,17
Very High,Very High,Medium,74.39999999999993,Bearish,3,3
Very High,Very High,Very Low,96.94444444444441,Bearish,36,36
Very High,Very Low,Low,105.8538461538461,Bullish,13,13
Very High,Very Low,Very Low,89.3,Bearish,5,5
Very Low,High,Very High,85.70000000000012,Bearish,3,3
Very Low,Low,High,82.04999999999988,Bullish,3,3
Very Low,Low,Low,92.90000000000002,Bearish,7,7
Very Low,Low,Medium,105.15000000000002,Bullish,6,6
Very Low,Low,Very High,73.0,Bullish,3,3
Very Low,Low,Very Low,85.10000000000014,Bearish,2,2
Very Low,Medium,High,40.29999999999973,Bullish,1,1
Very Low,Medium,Medium,53.09999999999991,Bullish,1,1
Very Low,Medium,Very High,71.59999999999991,Bullish,1,1
Very Low,Very Low,High,75.4375,Bearish,4,4
Very Low,Very Low,Low,87.46842105263157,Bullish,38,38
Very Low,Very Low,Medium,50.3,Bearish,5,5
Very Low,Very Low,Very High,79.79166666666659,Bullish,6,6
Very Low,Very Low,Very Low,77.92622950819667,Bearish,61,61
