Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,PNB,2024-12-26,109.24,109.25,107.53,108.08,108.08,35424000,4428.0,310448000,-1768000
2024-12-11,PNB,2024-12-26,110.98,111.3,108.64,108.93,108.93,47760000,5970.0,312216000,4624000
2024-12-10,PNB,2024-12-26,108.69,111.55,108.69,111.01,111.01,66408000,8301.0,307592000,2416000
2024-12-09,PNB,2024-12-26,108.91,110.79,108.0,109.19,109.19,54472000,6809.0,305176000,2792000
2024-12-06,PNB,2024-12-26,109.7,111.39,107.38,110.45,110.45,127968000,15996.0,302384000,-2216000
2024-12-05,PNB,2024-12-26,110.44,110.71,108.6,109.41,109.41,62272000,7784.0,304600000,-2656000
2024-12-04,PNB,2024-12-26,109.01,110.9,108.11,110.34,110.34,82632000,10329.0,307256000,4072000
2024-12-03,PNB,2024-12-26,106.17,108.75,105.95,108.53,108.53,93024000,11628.0,303184000,21440000
2024-12-02,PNB,2024-12-26,105.26,106.17,104.7,105.68,105.68,29232000,3654.0,281744000,1280000
2024-11-29,PNB,2024-12-26,107.88,107.88,104.15,105.66,105.66,58328000,7291.0,280464000,2512000
2024-11-28,PNB,2024-11-28,104.84,109.01,104.34,106.66,106.29,69816000,8727.0,28176000,-36560000
2024-11-27,PNB,2024-11-28,104.67,105.59,103.86,104.56,104.56,62152000,7769.0,64736000,-44752000
2024-11-26,PNB,2024-11-28,104.67,105.57,104.08,105.18,105.18,85992000,10749.0,109488000,-57760000
2024-11-25,PNB,2024-11-28,102.89,105.62,102.89,104.22,104.22,96664000,12083.0,167248000,-45632000
2024-11-22,PNB,2024-11-28,97.29,100.45,97.23,99.87,99.87,86872000,10859.0,212880000,-39808000
2024-11-21,PNB,2024-11-28,100.0,100.1,94.84,96.49,96.49,89488000,11186.0,252688000,-6464000
2024-11-19,PNB,2024-11-28,101.69,103.98,100.63,100.98,100.98,60912000,7614.0,259152000,-13184000
2024-11-18,PNB,2024-11-28,100.0,102.58,98.17,100.77,100.77,53832000,6729.0,272336000,-8760000
2024-11-14,PNB,2024-11-28,101.8,102.8,99.5,99.77,99.77,53072000,6634.0,281096000,-3608000
2024-11-13,PNB,2024-11-28,104.0,104.13,100.37,100.92,100.92,79080000,9885.0,284704000,-7768000
2024-11-12,PNB,2024-11-28,106.23,106.64,103.67,104.12,104.12,48616000,6077.0,292472000,2800000
2024-11-11,PNB,2024-11-28,104.48,106.53,103.63,105.51,105.51,50456000,6307.0,289672000,4896000
2024-11-08,PNB,2024-11-28,107.25,107.3,104.54,105.25,105.25,55784000,6973.0,284776000,3568000
2024-11-07,PNB,2024-11-28,107.12,108.58,106.56,107.28,107.28,61768000,7721.0,281208000,3744000
2024-11-06,PNB,2024-11-28,105.9,107.97,105.88,107.64,107.64,100000000,12500.0,277464000,12376000
2024-11-05,PNB,2024-11-28,104.35,105.87,102.91,105.35,105.35,109520000,13690.0,265088000,17304000
2024-11-04,PNB,2024-11-28,101.67,104.64,99.7,104.27,104.27,162720000,20340.0,247784000,48624000
2024-11-01,PNB,2024-11-28,99.9,101.91,99.52,101.73,101.73,33120000,4140.0,199160000,11728000
2024-10-31,PNB,2024-10-31,99.89,100.38,96.41,97.82,97.9,108704000,13588.0,70248000,-55448000
2024-10-30,PNB,2024-10-31,101.32,101.54,99.62,99.91,99.91,16528000,2066.0,125696000,-15944000
2024-10-29,PNB,2024-10-31,101.04,102.28,97.34,101.27,101.27,28528000,3566.0,141640000,-28152000
2024-10-28,PNB,2024-10-31,96.99,102.21,96.15,98.82,98.82,221640000,27705.0,169792000,-78520000
2024-10-25,PNB,2024-10-31,99.0,99.65,93.47,95.96,95.96,91288000,11411.0,248312000,-16496000
2024-10-24,PNB,2024-10-31,96.42,100.94,96.39,98.97,98.97,105496000,13187.0,264808000,-25512000
2024-10-23,PNB,2024-10-31,96.0,97.59,91.51,96.95,96.95,8280000,1035.0,290320000,-5352000
2024-10-22,PNB,2024-10-31,103.0,103.0,92.85,94.95,94.95,9936000,1242.0,295672000,-9112000
2024-10-21,PNB,2024-10-31,104.23,104.51,101.97,102.32,102.32,4104000,513.0,304784000,-4104000
2024-10-18,PNB,2024-10-31,103.53,104.78,102.82,103.56,103.56,3720000,465.0,308888000,-3720000
2024-10-17,PNB,2024-10-31,104.95,105.37,102.71,102.92,102.92,3368000,421.0,312608000,-3368000
2024-10-16,PNB,2024-10-31,105.59,105.98,105.1,105.44,105.44,3576000,447.0,315976000,-3576000
2024-10-15,PNB,2024-10-31,105.71,106.0,105.1,105.75,105.75,2440000,305.0,319552000,-2424000
2024-10-14,PNB,2024-10-31,105.42,106.4,105.29,105.6,105.6,3880000,485.0,321976000,-3872000
2024-10-11,PNB,2024-10-31,104.16,106.04,103.5,105.49,105.49,3720000,465.0,325848000,-3720000
2024-10-10,PNB,2024-10-31,104.71,106.0,103.63,104.48,104.48,1824000,228.0,329568000,-1824000
2024-10-09,PNB,2024-10-31,103.79,106.22,103.26,104.73,104.73,5280000,660.0,331392000,-5264000
2024-10-08,PNB,2024-10-31,103.3,104.0,102.04,103.36,103.36,4864000,608.0,336656000,-4824000
2024-10-07,PNB,2024-10-31,106.97,108.18,101.59,102.9,102.9,151792000,18974.0,341480000,21992000
2024-10-04,PNB,2024-10-31,105.0,108.34,105.0,106.61,106.61,113128000,14141.0,319488000,-2408000
2024-10-03,PNB,2024-10-31,104.0,107.7,102.92,106.03,106.03,135248000,16906.0,321896000,5512000
2024-10-01,PNB,2024-10-31,107.51,107.51,104.98,106.13,106.13,139008000,17376.0,316384000,26696000
2024-09-30,PNB,2024-10-31,109.22,110.0,107.34,107.73,107.73,77176000,9647.0,289688000,12624000
2024-09-27,PNB,2024-10-31,108.48,110.25,107.93,109.86,109.86,86968000,10871.0,277064000,-1832000
2024-09-26,PNB,2024-09-26,105.22,107.65,104.5,107.3,107.29,97352000,12169.0,19040000,-59536000
2024-09-25,PNB,2024-09-26,106.98,106.98,103.52,104.92,104.92,223840000,27980.0,78576000,-128952000
2024-09-24,PNB,2024-09-26,111.2,111.4,107.5,107.72,107.72,42952000,5369.0,207528000,-35976000
2024-09-23,PNB,2024-09-26,109.2,112.15,108.65,111.89,111.89,19896000,2487.0,243504000,-16288000
2024-09-20,PNB,2024-09-26,107.12,109.19,106.59,108.66,108.66,7032000,879.0,259792000,-6608000
2024-09-19,PNB,2024-09-26,109.83,110.01,105.6,107.48,107.48,7872000,984.0,266400000,-7856000
2024-09-18,PNB,2024-09-26,108.26,110.2,107.84,109.41,109.41,12032000,1504.0,274256000,-11992000
2024-09-17,PNB,2024-09-26,111.01,111.18,108.1,108.34,108.34,98792000,12349.0,286248000,-848000
2024-09-16,PNB,2024-09-26,111.85,112.45,110.54,111.17,111.17,30584000,3823.0,287096000,2112000
2024-09-13,PNB,2024-09-26,109.45,112.9,109.01,111.36,111.36,76952000,9619.0,284984000,-11384000
2024-09-12,PNB,2024-09-26,107.8,109.6,107.28,109.08,109.08,53928000,6741.0,296368000,-4496000
2024-09-11,PNB,2024-09-26,110.09,110.85,107.07,107.88,107.88,70776000,8847.0,300864000,10936000
2024-09-10,PNB,2024-09-26,110.14,110.84,109.52,109.83,109.83,30440000,3805.0,289928000,-24000
2024-09-09,PNB,2024-09-26,110.01,110.6,107.44,110.1,110.1,59824000,7478.0,289952000,7648000
2024-09-06,PNB,2024-09-26,112.9,113.45,109.93,110.2,110.2,63832000,7979.0,282304000,1112000
2024-09-05,PNB,2024-09-26,113.12,114.24,112.45,113.67,113.67,44320000,5540.0,281192000,6816000
2024-09-04,PNB,2024-09-26,115.5,115.5,113.05,113.34,113.34,62840000,7855.0,274376000,9504000
2024-09-03,PNB,2024-09-26,117.11,117.7,115.76,116.01,116.01,39424000,4928.0,264872000,1528000
2024-09-02,PNB,2024-09-26,117.03,118.15,116.24,117.11,117.11,47080000,5885.0,263344000,-2200000
2024-08-30,PNB,2024-09-26,117.8,118.25,116.7,117.0,117.0,54104000,6763.0,265544000,-760000
2024-08-29,PNB,2024-09-26,115.49,116.85,115.06,116.28,116.28,130800000,16350.0,266304000,70752000
2024-08-28,PNB,2024-08-29,115.85,116.25,114.5,114.69,114.69,76928000,9616.0,86040000,-44344000
2024-08-27,PNB,2024-08-29,116.19,116.38,115.64,116.05,116.05,64256000,8032.0,130384000,-35512000
2024-08-26,PNB,2024-08-29,116.38,116.88,115.73,116.15,116.15,77728000,9716.0,165896000,-52752000
2024-08-23,PNB,2024-08-29,117.5,118.1,116.15,116.31,116.31,32752000,4094.0,218648000,-9520000
2024-08-22,PNB,2024-08-29,116.8,118.27,116.69,117.59,117.59,47968000,5996.0,228168000,-13744000
2024-08-21,PNB,2024-08-29,116.88,117.95,115.46,116.58,116.58,81704000,10213.0,241912000,592000
2024-08-20,PNB,2024-08-29,115.69,117.8,115.31,117.54,117.54,6664000,833.0,241320000,-2920000
2024-08-19,PNB,2024-08-29,114.14,115.87,114.14,115.57,115.57,2592000,324.0,244240000,-2488000
2024-08-16,PNB,2024-08-29,112.7,113.8,112.0,113.27,113.27,4160000,520.0,246728000,-4032000
2024-08-14,PNB,2024-08-29,115.05,115.05,112.14,113.6,113.6,3344000,418.0,250760000,-3328000
2024-08-13,PNB,2024-08-29,116.69,116.69,113.79,114.65,114.65,4216000,527.0,254088000,-4168000
