DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,1.4000000000000006,Bearish,7,7
High,High,Low,2.0981578947368424,Bullish,38,38
High,High,Medium,1.5133333333333334,Bullish,12,12
High,High,Very Low,8.572840466926069,Bearish,257,257
High,Low,High,2.12222222222222,Bullish,9,9
High,Low,Medium,3.0277777777777795,Bullish,9,9
High,Medium,High,2.016666666666673,Bullish,3,3
High,Medium,Low,11.614583333333336,Bullish,24,24
High,Medium,Medium,2.442307692307691,Bullish,13,13
High,Medium,Very Low,3.3625,Bullish,8,8
High,Very High,High,2.646666666666666,Bearish,21,21
High,Very High,Low,1.7112500000000006,Bearish,8,8
High,Very High,Medium,4.533076923076921,Bullish,13,13
High,Very High,Very High,2.595500000000001,Bearish,60,60
High,Very High,Very Low,9.62749999999999,Bearish,4,4
High,Very Low,High,3.4649999999999976,Bearish,20,20
High,Very Low,Very Low,3.2800000000000047,Bullish,4,4
Low,High,High,2.7436363636363628,Bullish,11,11
Low,High,Very High,2.5554838709677417,Bullish,31,31
Low,Low,High,9.316666666666654,Bullish,3,3
Low,Low,Low,17.718867924528297,Bearish,106,106
Low,Low,Medium,18.73818181818182,Bearish,55,55
Low,Low,Very Low,5.919999999999997,Bearish,45,45
Low,Medium,High,2.4876666666666685,Bearish,30,30
Low,Medium,Low,20.249999999999982,Bullish,9,9
Low,Medium,Medium,2.5964285714285715,Bearish,14,14
Low,Medium,Very High,3.1000000000000085,Bullish,1,1
Low,Medium,Very Low,16.202307692307695,Bullish,13,13
Low,Very High,Very High,2.4419999999999997,Bullish,25,25
Low,Very Low,High,8.490243902439024,Bearish,41,41
Low,Very Low,Low,9.419047619047612,Bullish,21,21
Low,Very Low,Medium,17.79948979591837,Bearish,98,98
Low,Very Low,Very Low,4.431428571428571,Bearish,7,7
Medium,High,High,2.4817241379310353,Bullish,29,29
Medium,High,Low,2.9600000000000017,Bearish,10,10
Medium,High,Medium,3.286470588235293,Bearish,17,17
Medium,High,Very High,2.412499999999999,Bearish,8,8
Medium,High,Very Low,10.622222222222227,Bearish,9,9
Medium,Low,High,1.9500000000000028,Bullish,4,4
Medium,Low,Low,21.153100775193796,Bearish,129,129
Medium,Low,Medium,6.654222222222221,Bearish,45,45
Medium,Low,Very Low,3.572727272727277,Bearish,11,11
Medium,Medium,Low,15.529600000000004,Bearish,75,75
Medium,Medium,Medium,3.75,Bearish,5,5
Medium,Medium,Very Low,9.786979166666667,Bearish,96,96
Medium,Very High,Very High,2.439142857142857,Bearish,35,35
Medium,Very Low,High,2.6882758620689637,Bearish,29,29
Medium,Very Low,Medium,3.674999999999997,Bearish,6,6
Very High,High,High,3.2421052631578964,Bullish,57,57
Very High,High,Low,2.67842105263158,Bearish,19,19
Very High,High,Medium,2.7010344827586206,Bullish,29,29
Very High,High,Very Low,7.143750000000004,Bullish,8,8
Very High,Low,High,3.518181818181817,Bearish,11,11
Very High,Medium,High,2.4740000000000015,Bullish,20,20
Very High,Very High,High,3.9712745098039215,Bearish,102,102
Very High,Very High,Low,4.430392156862744,Bearish,51,51
Very High,Very High,Medium,3.5172727272727284,Bearish,66,66
Very High,Very High,Very High,3.2502985074626873,Bearish,67,67
Very High,Very High,Very Low,8.977538461538465,Bullish,65,65
Very High,Very Low,High,1.8250000000000002,Bearish,8,8
Very High,Very Low,Very Low,3.186666666666665,Bearish,6,6
Very Low,High,Very High,3.237916666666667,Bearish,48,48
Very Low,Low,High,11.42575757575757,Bearish,33,33
Very Low,Low,Low,9.089999999999996,Bullish,5,5
Very Low,Low,Medium,19.555882352941165,Bullish,17,17
Very Low,Low,Very High,2.9736111111111123,Bearish,36,36
Very Low,Low,Very Low,2.3500000000000014,Bullish,4,4
Very Low,Medium,High,1.8000000000000007,Doji,2,2
Very Low,Medium,Very High,2.251162790697676,Bearish,43,43
Very Low,Very High,Very High,2.4328571428571433,Bullish,21,21
Very Low,Very Low,High,16.32213740458015,Bearish,131,131
Very Low,Very Low,Low,4.140909090909091,Bullish,22,22
Very Low,Very Low,Medium,14.143243243243242,Bearish,74,74
Very Low,Very Low,Very High,16.773214285714285,Bearish,56,56
Very Low,Very Low,Very Low,5.869444444444436,Bearish,18,18
