Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,PNB,107.82,107.0,108.15,104.16,107.73,105.89,32663054,112205.0,9132549,27.96
2024-12-12,PNB,108.58,109.0,109.12,107.23,107.82,107.98,18431604,77031.0,6684243,36.27
2024-12-11,PNB,110.47,110.89,110.92,108.4,108.58,109.46,23295859,90737.0,9237171,39.65
2024-12-10,PNB,108.77,109.0,111.04,108.61,110.47,109.76,28453790,84976.0,11108746,39.04
2024-12-09,PNB,110.1,110.1,110.5,108.51,108.77,109.23,28843979,104771.0,13105104,45.43
2024-12-06,PNB,109.08,109.7,111.13,107.18,110.1,109.79,51861042,147215.0,14027658,27.05
2024-12-05,PNB,110.01,110.57,110.6,108.3,109.08,109.23,20568682,91622.0,7224916,35.13
2024-12-04,PNB,107.97,108.75,110.5,107.82,110.01,109.27,48997721,140646.0,18040303,36.82
2024-12-03,PNB,105.0,105.46,108.3,105.31,107.97,107.25,38169064,121445.0,15051112,39.43
2024-12-02,PNB,104.9,104.74,105.45,104.07,105.0,104.82,14773753,56116.0,4394071,29.74
2024-11-29,PNB,106.29,106.85,107.14,103.68,104.9,105.15,30163680,89122.0,10912810,36.18
2024-11-28,PNB,104.38,104.9,107.25,104.31,106.29,105.64,30202813,93557.0,9163123,30.34
2024-11-27,PNB,105.11,105.1,105.45,103.85,104.38,104.54,25139229,93049.0,8657043,34.44
2024-11-26,PNB,104.11,104.47,105.45,104.11,105.11,104.9,22370887,76079.0,6925190,30.96
2024-11-25,PNB,99.82,103.1,105.48,102.99,104.11,104.46,57404398,141324.0,23176378,40.37
2024-11-22,PNB,96.37,97.1,100.25,97.05,99.82,99.25,38066845,117847.0,9416771,24.74
2024-11-21,PNB,100.86,100.05,100.31,94.81,96.37,96.54,62222678,219005.0,15789287,25.38
2024-11-19,PNB,100.53,101.15,103.72,100.45,100.86,102.5,25456236,93848.0,8398450,32.99
2024-11-18,PNB,99.49,100.7,102.28,97.93,100.53,100.44,32300511,119809.0,8838503,27.36
2024-11-14,PNB,100.56,101.1,102.48,99.3,99.49,100.94,25816807,113395.0,8244250,31.93
2024-11-13,PNB,103.73,103.3,103.8,100.0,100.56,101.98,38963115,155833.0,12610345,32.36
2024-11-12,PNB,105.14,105.5,106.34,103.35,103.73,104.58,26013763,87177.0,8066732,31.01
2024-11-11,PNB,104.79,103.61,106.1,103.25,105.14,104.85,29852507,84620.0,8964125,30.03
2024-11-08,PNB,106.71,106.95,106.95,104.12,104.79,105.45,31981183,85229.0,9022738,28.21
2024-11-07,PNB,106.98,106.39,107.9,106.04,106.71,106.89,42209575,103908.0,14161267,33.55
2024-11-06,PNB,104.71,105.76,107.25,105.21,106.98,106.13,59984748,147068.0,25070493,41.79
2024-11-05,PNB,103.65,103.73,105.17,102.32,104.71,103.98,79179075,182033.0,35141960,44.38
2024-11-04,PNB,100.98,100.79,103.98,99.15,103.65,101.46,132269383,218784.0,68228593,51.58
2024-11-01,PNB,97.9,98.69,101.17,98.61,100.98,100.65,23647421,58050.0,14431891,61.03
2024-10-31,PNB,99.96,100.0,100.44,96.6,97.9,98.45,93367752,168528.0,55823823,59.79
2024-10-30,PNB,101.33,101.4,101.9,99.8,99.96,100.27,47768641,141114.0,24440360,51.16
2024-10-29,PNB,98.64,102.44,102.61,97.3,101.33,99.86,94263912,226062.0,34461547,36.56
2024-10-28,PNB,95.72,96.25,101.95,95.98,98.64,99.49,70816541,211272.0,18880515,26.66
2024-10-25,PNB,98.75,98.9,99.37,93.23,95.72,95.79,39756124,174224.0,12281783,30.89
2024-10-24,PNB,96.68,96.18,100.6,96.13,98.75,98.49,55363485,150176.0,25180773,45.48
2024-10-23,PNB,94.95,96.0,97.26,92.4,96.68,95.67,38207629,168996.0,14509922,37.98
2024-10-22,PNB,102.29,102.29,103.13,94.4,94.95,97.74,51355704,214664.0,22711401,44.22
2024-10-21,PNB,103.27,103.28,104.45,101.76,102.29,102.85,17438662,79212.0,7733238,44.35
2024-10-18,PNB,102.46,102.75,104.12,102.42,103.27,103.41,18567809,89666.0,8283380,44.61
2024-10-17,PNB,105.05,105.07,105.24,102.02,102.46,103.55,18076891,79095.0,8660170,47.91
2024-10-16,PNB,104.98,104.66,105.34,104.48,105.05,104.97,14270009,79942.0,8329887,58.37
2024-10-15,PNB,105.01,105.2,105.52,104.5,104.98,104.92,15017858,92057.0,9225423,61.43
2024-10-14,PNB,104.91,105.0,105.7,104.76,105.01,105.11,15757325,93262.0,9112695,57.83
2024-10-11,PNB,103.69,104.0,105.31,103.3,104.91,104.31,16201817,99127.0,6216696,38.37
2024-10-10,PNB,104.1,104.85,105.35,103.13,103.69,104.21,18521599,75642.0,8318856,44.91
2024-10-09,PNB,102.49,103.55,105.42,102.56,104.1,104.24,43366313,202289.0,17547207,40.46
2024-10-08,PNB,102.07,102.07,103.3,101.15,102.49,102.22,28947367,167965.0,11466839,39.61
2024-10-07,PNB,105.85,106.16,107.4,100.8,102.07,103.06,83307848,266967.0,47388643,56.88
2024-10-04,PNB,105.06,104.2,107.4,104.15,105.85,105.92,79454589,200436.0,45588831,57.38
2024-10-03,PNB,105.21,103.25,106.75,103.0,105.06,105.03,99417000,231474.0,63873008,64.25
2024-10-01,PNB,107.21,104.0,106.17,103.86,105.21,105.24,120187762,244690.0,79785521,66.38
2024-09-30,PNB,109.22,108.89,109.26,106.81,107.21,107.82,30911908,101443.0,18216231,58.93
2024-09-27,PNB,107.29,107.8,109.6,107.29,109.22,108.81,40191522,117421.0,20495540,50.99
2024-09-26,PNB,105.05,105.2,107.49,104.56,107.29,106.56,34719895,112475.0,12821893,36.93
2024-09-25,PNB,107.83,107.48,107.48,103.62,105.05,104.88,71227249,182692.0,32458832,45.57
2024-09-24,PNB,111.51,111.0,111.24,107.6,107.83,109.08,79101837,197950.0,34186258,43.22
2024-09-23,PNB,108.41,108.59,111.9,108.51,111.51,110.72,35372759,138753.0,15284998,43.21
2024-09-20,PNB,107.25,108.0,109.16,106.31,108.41,108.23,23196144,102103.0,10504263,45.28
2024-09-19,PNB,108.75,109.85,110.15,105.6,107.25,107.38,21178477,110504.0,7355671,34.73
2024-09-18,PNB,108.03,108.3,109.98,107.78,108.75,108.73,24775806,126464.0,7842961,31.66
2024-09-17,PNB,110.81,110.81,110.9,107.82,108.03,108.85,18548760,95009.0,7240108,39.03
2024-09-16,PNB,111.11,111.3,112.2,110.26,110.81,111.12,12834170,68980.0,4543333,35.4
2024-09-13,PNB,108.72,109.5,112.6,108.82,111.11,110.82,28921320,101033.0,8483747,29.33
2024-09-12,PNB,107.46,108.7,109.47,107.0,108.72,108.1,20816903,84150.0,7653278,36.76
2024-09-11,PNB,109.59,109.72,110.49,106.85,107.46,108.48,22838612,112786.0,6314859,27.65
2024-09-10,PNB,109.63,110.19,110.63,109.37,109.59,109.9,12498926,76667.0,4380111,35.04
2024-09-09,PNB,110.0,109.4,110.19,107.2,109.63,108.33,27017545,126313.0,7795766,28.85
2024-09-06,PNB,113.4,112.9,113.13,109.75,110.0,110.94,29092655,144227.0,11086846,38.11
2024-09-05,PNB,112.94,113.67,113.88,112.15,113.4,113.02,18290375,84006.0,8306254,45.41
2024-09-04,PNB,115.59,114.05,114.53,112.74,112.94,113.45,26202729,115635.0,11255261,42.95
2024-09-03,PNB,116.52,116.59,117.2,115.3,115.59,116.11,10681101,67192.0,4811474,45.05
