Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,PNB,906.2,900.0,929.9,900.0,925.5,922.23,366571,,214216,0.5844,,,925.9,616500.0,2313600.0,2010-01-28,103200.0,,Undecisive
2010-01-05,PNB,925.5,930.0,942.55,928.0,939.8,935.62,315732,,192979,0.6112,,,940.2,546600.0,2325000.0,2010-01-28,11400.0,14.300000000000068,LongBuildUp
2010-01-06,PNB,939.8,951.0,951.0,926.85,935.35,936.11,359906,,184506,0.5127,,,934.15,574800.0,2344200.0,2010-01-28,19200.0,-6.050000000000068,ShortBuildUp
2010-01-07,PNB,935.35,900.0,940.0,900.0,922.5,925.89,174694,,48196,0.2759,,,925.8,542100.0,2240700.0,2010-01-28,-103500.0,-8.350000000000023,LongUnwinding
2010-01-08,PNB,922.5,950.0,950.0,910.3,923.85,925.05,81210,,17109,0.2107,,,926.5,230700.0,2246700.0,2010-01-28,6000.0,0.7000000000000455,LongBuildUp
2010-01-11,PNB,923.85,915.1,960.35,915.1,949.8,948.11,424748,,165363,0.3893,,,953.95,1105500.0,2531700.0,2010-01-28,285000.0,27.450000000000045,LongBuildUp
2010-01-12,PNB,949.8,952.5,955.5,924.0,926.05,934.28,256552,,100179,0.39049999999999996,,,929.55,609300.0,2426100.0,2010-01-28,-105600.0,-24.40000000000009,LongUnwinding
2010-01-13,PNB,926.05,925.0,930.0,906.1,919.75,914.93,479649,,219825,0.4583,,,923.7,641400.0,2492700.0,2010-01-28,66600.0,-5.849999999999909,ShortBuildUp
2010-01-14,PNB,919.75,905.55,934.7,905.55,923.0,927.15,149118,,43271,0.2902,,,925.85,398700.0,2518800.0,2010-01-28,26100.0,2.1499999999999773,LongBuildUp
2010-01-15,PNB,923.0,912.0,934.7,903.05,908.5,912.72,348957,,108222,0.31010000000000004,,,911.45,662400.0,2486400.0,2010-01-28,-32400.0,-14.399999999999977,LongUnwinding
2010-01-18,PNB,908.5,912.0,924.95,897.9,919.75,913.82,293355,,97536,0.3325,,,922.1,568200.0,2504400.0,2010-01-28,18000.0,10.649999999999977,LongBuildUp
2010-01-19,PNB,919.75,906.0,940.0,906.0,920.05,924.36,239454,,51908,0.2168,,,922.25,602100.0,2511300.0,2010-01-28,6900.0,0.14999999999997726,LongBuildUp
2010-01-20,PNB,920.05,905.55,932.85,905.55,928.45,926.75,334562,,129084,0.3858,,,928.45,818700.0,2329800.0,2010-01-28,-181500.0,6.2000000000000455,ShortCovering
2010-01-21,PNB,928.45,915.0,932.5,901.0,904.15,915.21,247134,,77174,0.3123,,,905.25,670500.0,2172000.0,2010-01-28,-157800.0,-23.200000000000045,LongUnwinding
2010-01-22,PNB,904.15,895.0,913.9,885.1,899.5,899.83,521026,,256064,0.4915,,,897.85,1889700.0,2038800.0,2010-01-28,-133200.0,-7.399999999999977,LongUnwinding
2010-01-25,PNB,899.5,890.0,909.0,890.0,900.45,898.8,458781,,328261,0.7155,,,899.2,705900.0,1726800.0,2010-01-28,-312000.0,1.3500000000000227,ShortCovering
2010-01-27,PNB,900.45,890.0,899.0,850.1,860.8,872.91,785133,,427390,0.5444,,,859.4,2067300.0,1062300.0,2010-01-28,-664500.0,-39.80000000000007,LongUnwinding
2010-01-28,PNB,860.8,850.0,890.0,850.0,880.85,870.27,793324,,300207,0.37840000000000007,,,880.6,1455300.0,463200.0,2010-01-28,-599100.0,21.200000000000045,ShortCovering
2010-01-29,PNB,880.85,877.8,901.0,857.0,898.65,883.21,509045,,122305,0.2403,,,887.95,1170600.0,2028900.0,2010-02-25,18900.0,7.350000000000023,LongBuildUp
2010-02-01,PNB,898.65,885.0,896.95,876.0,889.15,890.28,364951,,172193,0.4718,87.16300469,,879.95,518400.0,2043000.0,2010-02-25,14100.0,-8.0,ShortBuildUp
2010-02-02,PNB,889.15,900.0,906.6,864.0,868.8,887.41,416116,,189586,0.4556,87.21711513,0.05,859.9,726000.0,2027700.0,2010-02-25,-15300.0,-20.050000000000068,LongUnwinding
2010-02-03,PNB,868.8,870.0,893.25,862.35,886.6,886.5,565635,,347214,0.6138,87.07056603,-0.15,878.65,717300.0,2064600.0,2010-02-25,36900.0,18.75,LongBuildUp
2010-02-04,PNB,886.6,885.0,885.8,865.5,874.2,873.14,311599,,169539,0.5441,87.11453076,0.04,870.95,530100.0,2051400.0,2010-02-25,-13200.0,-7.699999999999932,LongUnwinding
2010-02-05,PNB,874.2,865.0,865.0,845.0,854.05,855.87,313925,,158808,0.5059,87.10889425,-0.01,849.35,625800.0,2050800.0,2010-02-25,-600.0,-21.600000000000023,LongUnwinding
2010-02-06,PNB,854.05,862.1,862.1,851.1,855.45,856.1,18469,,3569,0.1932,,,851.65,58500.0,2058600.0,2010-02-25,7800.0,2.2999999999999545,LongBuildUp
