Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,POWERGRID,2024-12-26,329.5,330.4,326.55,329.8,329.8,8821800.0,4901.0,77146200,-2953800
2024-12-11,POWERGRID,2024-12-26,328.15,329.75,327.5,328.05,328.05,5230800.0,2906.0,80100000,-658800
2024-12-10,POWERGRID,2024-12-26,331.4,332.0,325.85,328.35,328.35,8843400.0,4913.0,80758800,-952200
2024-12-09,POWERGRID,2024-12-26,330.05,332.05,328.4,329.7,329.7,8085600.0,4492.0,81711000,-648000
2024-12-06,POWERGRID,2024-12-26,328.7,333.2,327.75,330.6,330.6,9298800.0,5166.0,82359000,203400
2024-12-05,POWERGRID,2024-12-26,325.55,331.55,321.1,329.3,329.3,26123400.0,14513.0,82155600,363600
2024-12-04,POWERGRID,2024-12-26,331.0,332.75,322.6,326.05,326.05,18117000.0,10065.0,81792000,2622600
2024-12-03,POWERGRID,2024-12-26,328.05,333.0,326.8,331.4,331.4,16084800.0,8936.0,79169400,-9000
2024-12-02,POWERGRID,2024-12-26,331.75,334.1,328.15,330.05,330.05,17362800.0,9646.0,79178400,383400
2024-11-29,POWERGRID,2024-12-26,333.5,334.25,328.05,331.35,331.35,12141000.0,6745.0,78795000,882000
2024-11-28,POWERGRID,2024-11-28,339.1,340.9,331.9,333.1,333.65,17377200.0,9654.0,11197800,-8251200
2024-11-27,POWERGRID,2024-11-28,337.4,341.65,337.35,338.9,338.9,21407400.0,11893.0,19449000,-16948800
2024-11-26,POWERGRID,2024-11-28,342.35,344.0,337.45,338.3,338.3,26911800.0,14951.0,36397800,-20475000
2024-11-25,POWERGRID,2024-11-28,338.95,344.45,335.6,341.9,341.9,35274600.0,19597.0,56872800,-18192600
2024-11-22,POWERGRID,2024-11-28,325.45,336.95,324.15,336.3,336.3,41722200.0,23179.0,75065400,-12139200
2024-11-21,POWERGRID,2024-11-28,315.15,326.2,313.8,325.4,325.4,25759800.0,14311.0,87204600,-5031000
2024-11-19,POWERGRID,2024-11-28,312.55,318.85,312.45,314.95,314.95,10841400.0,6023.0,92235600,-2901600
2024-11-18,POWERGRID,2024-11-28,314.1,315.7,310.15,312.05,312.05,7448400.0,4138.0,95137200,-2142000
2024-11-14,POWERGRID,2024-11-28,316.6,319.75,311.65,312.95,312.95,15739200.0,8744.0,97279200,-1533600
2024-11-13,POWERGRID,2024-11-28,319.8,320.55,313.75,314.7,314.7,12972600.0,7207.0,98812800,-140400
2024-11-12,POWERGRID,2024-11-28,326.4,328.8,317.9,318.7,318.7,15170400.0,8428.0,98953200,2890800
2024-11-11,POWERGRID,2024-11-28,310.35,328.5,308.9,326.0,326.0,32200200.0,17889.0,96062400,810000
2024-11-08,POWERGRID,2024-11-28,309.0,313.55,304.85,312.35,312.35,20367000.0,11315.0,95252400,-1026000
2024-11-07,POWERGRID,2024-11-28,315.0,315.0,307.85,309.25,309.25,17991000.0,9995.0,96278400,-424800
2024-11-06,POWERGRID,2024-11-28,314.65,317.05,310.5,315.15,315.15,19195200.0,10664.0,96703200,1575000
2024-11-05,POWERGRID,2024-11-28,311.2,314.55,309.25,313.45,313.45,12333600.0,6852.0,95128200,-2502000
2024-11-04,POWERGRID,2024-11-28,320.85,320.9,308.6,312.35,312.35,14830200.0,8239.0,97630200,-2167200
2024-11-01,POWERGRID,2024-11-28,318.7,320.05,317.05,318.9,318.9,1166400.0,648.0,99797400,-264600
2024-10-31,POWERGRID,2024-10-31,319.6,322.55,317.55,320.5,320.8,22640400.0,6289.0,4579200,-14562000
2024-10-30,POWERGRID,2024-10-31,319.85,325.8,317.35,319.15,319.15,30816000.0,8560.0,19141200,-20307600
2024-10-29,POWERGRID,2024-10-31,314.55,321.55,314.25,320.8,320.8,40258800.0,11183.0,39448800,-29275200
2024-10-28,POWERGRID,2024-10-31,317.05,320.75,311.1,318.65,318.65,28476000.0,7910.0,68724000,-17622000
2024-10-25,POWERGRID,2024-10-31,320.4,320.4,313.35,315.75,315.75,18766800.0,5213.0,86346000,-1335600
2024-10-24,POWERGRID,2024-10-31,318.75,321.45,316.3,319.55,319.55,9291600.0,2581.0,87681600,-1465200
2024-10-23,POWERGRID,2024-10-31,319.0,322.75,314.85,317.85,317.85,15793200.0,4387.0,89146800,-957600
2024-10-22,POWERGRID,2024-10-31,331.15,335.85,321.25,322.75,322.75,20174400.0,5604.0,90104400,-1580400
2024-10-21,POWERGRID,2024-10-31,332.55,334.55,329.6,331.2,331.2,12351600.0,3431.0,91684800,-4035600
2024-10-18,POWERGRID,2024-10-31,330.1,334.45,328.85,333.0,333.0,16358400.0,4544.0,95720400,-1897200
2024-10-17,POWERGRID,2024-10-31,329.05,332.35,325.35,331.6,331.6,18658800.0,5183.0,97617600,-2383200
2024-10-16,POWERGRID,2024-10-31,332.05,334.1,327.0,328.8,328.8,21538800.0,5983.0,100000800,8496000
2024-10-15,POWERGRID,2024-10-31,333.6,333.6,328.85,331.3,331.3,9662400.0,2684.0,91504800,1494000
2024-10-14,POWERGRID,2024-10-31,331.6,333.0,329.2,331.95,331.95,7567200.0,2102.0,90010800,871200
2024-10-11,POWERGRID,2024-10-31,336.45,336.6,331.2,331.7,331.7,9262800.0,2573.0,89139600,1393200
2024-10-10,POWERGRID,2024-10-31,332.35,340.0,331.85,336.05,336.05,24091200.0,6692.0,87746400,1062000
2024-10-09,POWERGRID,2024-10-31,329.0,333.25,328.0,331.2,331.2,15703200.0,4362.0,86684400,-1497600
2024-10-08,POWERGRID,2024-10-31,330.15,333.6,325.0,329.45,329.45,23367600.0,6491.0,88182000,2170800
2024-10-07,POWERGRID,2024-10-31,340.5,342.0,327.1,330.6,330.6,18288000.0,5080.0,86011200,1724400
2024-10-04,POWERGRID,2024-10-31,346.15,350.1,340.3,341.25,341.25,25790400.0,7164.0,84286800,-104400
2024-10-03,POWERGRID,2024-10-31,348.05,352.6,345.5,347.25,347.25,25380000.0,7050.0,84391200,230400
2024-10-01,POWERGRID,2024-10-31,355.6,358.95,352.55,353.85,353.85,13366800.0,3713.0,84160800,486000
2024-09-30,POWERGRID,2024-10-31,357.0,359.9,352.7,355.5,355.5,23551200.0,6542.0,83674800,882000
