Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2010-11-29,POWERGRID,93.85,-175.24,2.33,-46.66
2013-12-18,POWERGRID,100.0,569.78,8.66,53.24000000000001
2014-05-30,POWERGRID,122.0,532.76,4.2,191.38
2014-06-30,POWERGRID,139.2,252.38,1.61,130.95
2016-12-16,POWERGRID,183.8,1100.0,1.05,650.0
2017-01-13,POWERGRID,197.15,675.0,1.05,637.5
2018-02-22,POWERGRID,190.25,1050.0,1.08,750.0
2018-05-31,POWERGRID,209.45,549.81,19.19,179.85000000000002
2019-02-25,POWERGRID,181.95,71.31,1.06,15.579999999999998
2019-02-28,POWERGRID,182.85,216.08,4.37,89.50999999999996
2019-06-19,POWERGRID,200.3,251.22,1.56,129.27
2020-01-23,POWERGRID,201.95,523.11,13.04,56.44999999999993
2020-02-10,POWERGRID,186.6,152.54,1.16,44.07000000000002
2020-03-11,POWERGRID,181.4,149.06,1.73,14.150000000000006
2020-04-23,POWERGRID,158.0,183.33,1.31,59.25999999999999
2020-04-24,POWERGRID,159.15,256.1,1.34,70.72999999999996
2020-05-08,POWERGRID,159.0,930.0,1.04,110.0
2020-10-22,POWERGRID,165.1,492.86,1.12,-92.86
2020-11-27,POWERGRID,192.4,210.47,2.01,23.25
2021-02-26,POWERGRID,214.3,89.19,1.27,-3.3799999999999955
2021-03-19,POWERGRID,230.2,106.85,2.84,-9.58999999999999
2021-07-30,POWERGRID,171.15,133.85,1.8,4.610000000000014
2021-08-18,POWERGRID,180.6,154.29,1.12,5.710000000000008
2021-10-18,POWERGRID,203.8,240.7,2.08,1.160000000000025
2021-11-15,POWERGRID,188.3,126.51,1.3,30.11999999999999
2021-11-16,POWERGRID,187.6,332.14,1.16,82.15000000000003
2021-11-30,POWERGRID,206.75,77.01,1.5,-19.540000000000006
2022-01-27,POWERGRID,214.85,126.92,1.45,12.499999999999986
2022-10-12,POWERGRID,215.55,156.9,1.69,-11.210000000000008
2023-02-28,POWERGRID,222.25,164.1,2.56,54.70000000000002
2023-03-17,POWERGRID,229.7,129.55,1.93,16.659999999999997
2023-06-05,POWERGRID,235.6,1771.43,1.9,942.86
2023-07-14,POWERGRID,240.05,216.67,6.37,86.66
2023-09-15,POWERGRID,194.1,64.92,1.33,4.709999999999994
2023-09-18,POWERGRID,200.1,150.0,1.98,20.69
2023-12-11,POWERGRID,230.95,88.71,1.26,12.900000000000006
2024-01-11,POWERGRID,241.95,76.98,1.48,29.489999999999995
2024-03-13,POWERGRID,264.3,60.43,2.85,-4.869999999999997
2024-04-30,POWERGRID,301.85,85.62,2.26,-8.219999999999999
2024-05-30,POWERGRID,306.7,48.18,1.37,-2.969999999999999
2024-06-18,POWERGRID,331.8,65.22,1.22,-6.280000000000001
2024-08-30,POWERGRID,337.4,78.38,1.52,3.780000000000001
2024-10-16,POWERGRID,327.2,113.01,2.03,52.02999999999999
2024-11-22,POWERGRID,336.95,98.31,2.66,14.399999999999991
2024-12-17,POWERGRID,329.8,110.84,1.03,13.259999999999993
2025-02-25,POWERGRID,255.75,66.5,1.7,19.790000000000006
2025-03-21,POWERGRID,283.1,185.42,2.19,42.70000000000002
2025-03-27,POWERGRID,295.5,225.0,3.32,34.379999999999995
2025-04-11,POWERGRID,304.1,97.5,1.24,5.829999999999998
