Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,PVRINOX,1459.65,1460.8,1463.95,1438.1,1455.2,1452.3,541893,21042,227418,41.97
2024-12-12,PVRINOX,1486.6,1480.0,1486.9,1455.15,1459.65,1464.27,419755,22925,220027,52.42
2024-12-11,PVRINOX,1492.3,1500.0,1511.0,1477.0,1486.6,1486.34,390322,15409,169506,43.43
2024-12-10,PVRINOX,1480.1,1489.0,1495.45,1470.0,1492.3,1483.23,665813,32341,305598,45.9
2024-12-09,PVRINOX,1547.85,1560.0,1569.0,1474.05,1480.1,1503.2,1228435,42407,477076,38.84
2024-12-06,PVRINOX,1577.9,1587.9,1587.9,1526.55,1547.85,1545.82,891217,47314,215639,24.2
2024-12-05,PVRINOX,1597.7,1610.0,1620.0,1561.25,1577.9,1576.57,738747,42336,264660,35.83
2024-12-04,PVRINOX,1598.3,1607.0,1610.0,1589.65,1597.7,1598.09,553558,35213,232352,41.97
2024-12-03,PVRINOX,1572.5,1583.0,1604.2,1563.1,1598.3,1591.93,583115,41545,204400,35.05
2024-12-02,PVRINOX,1540.05,1560.0,1583.2,1547.15,1572.5,1568.25,1006254,43990,480641,47.77
2024-11-29,PVRINOX,1519.15,1525.0,1554.9,1525.0,1540.05,1537.91,464903,23775,211118,45.41
2024-11-28,PVRINOX,1514.2,1517.0,1542.6,1503.95,1519.15,1522.21,528400,30128,149827,28.35
2024-11-27,PVRINOX,1479.7,1480.5,1521.6,1462.75,1514.2,1483.84,1298962,41836,298142,22.95
2024-11-26,PVRINOX,1480.7,1488.3,1488.55,1462.35,1479.7,1474.83,401122,23087,202842,50.57
2024-11-25,PVRINOX,1465.7,1490.0,1496.55,1474.15,1480.7,1485.29,325670,17602,177531,54.51
2024-11-22,PVRINOX,1445.2,1449.05,1471.95,1435.35,1465.7,1454.5,433892,20966,286779,66.09
2024-11-21,PVRINOX,1475.5,1478.85,1483.3,1441.95,1445.2,1451.36,316881,19813,162042,51.14
2024-11-19,PVRINOX,1435.75,1447.9,1493.55,1444.05,1475.5,1481.09,413564,33835,198430,47.98
2024-11-18,PVRINOX,1461.55,1455.0,1470.8,1431.9,1435.75,1448.62,825613,33480,207251,25.1
2024-11-14,PVRINOX,1443.35,1449.15,1479.0,1447.0,1461.55,1462.8,527499,27804,131371,24.9
2024-11-13,PVRINOX,1478.6,1475.0,1495.0,1435.0,1443.35,1452.57,164139,14931,52767,32.15
2024-11-12,PVRINOX,1464.0,1465.0,1502.5,1464.95,1478.6,1486.95,338471,21693,150158,44.36
2024-11-11,PVRINOX,1467.2,1464.0,1486.1,1452.5,1464.0,1472.08,149516,14409,42310,28.3
2024-11-08,PVRINOX,1504.85,1500.0,1500.0,1463.7,1467.2,1479.08,273155,22849,90388,33.09
2024-11-07,PVRINOX,1515.0,1518.0,1523.0,1497.25,1504.85,1506.92,272812,19879,149397,54.76
2024-11-06,PVRINOX,1503.7,1504.0,1526.7,1502.05,1515.0,1515.96,208174,15935,65398,31.42
2024-11-05,PVRINOX,1498.0,1481.55,1514.35,1475.05,1503.7,1494.46,454185,36776,127060,27.98
2024-11-04,PVRINOX,1575.75,1567.0,1578.0,1441.0,1498.0,1483.11,2186721,100981,293762,13.43
2024-11-01,PVRINOX,1570.2,1585.0,1588.0,1560.0,1575.75,1574.37,79539,5593,24148,30.36
2024-10-31,PVRINOX,1561.05,1570.1,1578.95,1546.6,1570.2,1565.22,551110,31266,191071,34.67
2024-10-30,PVRINOX,1524.85,1524.85,1568.0,1518.25,1561.05,1549.59,368445,34003,159213,43.21
2024-10-29,PVRINOX,1530.5,1537.3,1537.3,1496.2,1524.85,1514.99,285670,25911,110152,38.56
2024-10-28,PVRINOX,1489.55,1489.95,1542.75,1489.55,1530.5,1525.33,233014,20620,47883,20.55
2024-10-25,PVRINOX,1508.8,1518.0,1518.5,1463.75,1489.55,1486.74,329277,25761,113722,34.54
2024-10-24,PVRINOX,1530.55,1530.55,1539.0,1495.0,1508.8,1510.84,282412,26733,96090,34.02
2024-10-23,PVRINOX,1533.05,1533.0,1554.35,1513.85,1530.55,1536.62,545609,35991,275835,50.56
2024-10-22,PVRINOX,1580.7,1595.0,1595.0,1526.15,1533.05,1546.26,558004,54318,176187,31.57
2024-10-21,PVRINOX,1610.1,1623.9,1623.9,1573.0,1580.7,1586.04,404215,28929,145480,35.99
2024-10-18,PVRINOX,1609.75,1612.95,1658.2,1595.05,1610.1,1632.79,756705,44496,259935,34.35
2024-10-17,PVRINOX,1626.85,1624.7,1627.55,1594.55,1609.75,1614.18,486279,38247,187106,38.48
2024-10-16,PVRINOX,1620.75,1597.05,1635.0,1572.7,1626.85,1600.94,1751845,71839,835736,47.71
2024-10-15,PVRINOX,1590.0,1601.0,1644.8,1580.0,1620.75,1614.22,1696734,88024,273525,16.12
2024-10-14,PVRINOX,1620.5,1623.95,1628.0,1583.1,1590.0,1594.47,301461,20907,89130,29.57
2024-10-11,PVRINOX,1608.25,1615.95,1637.75,1600.35,1620.5,1621.45,296771,21324,80882,27.25
2024-10-10,PVRINOX,1596.95,1592.0,1626.95,1588.45,1608.25,1604.34,308542,17343,135587,43.94
2024-10-09,PVRINOX,1603.85,1619.0,1619.0,1592.0,1596.95,1602.57,152992,14012,46788,30.58
2024-10-08,PVRINOX,1548.85,1548.85,1609.95,1548.15,1603.85,1586.67,441130,43699,175809,39.85
2024-10-07,PVRINOX,1599.5,1620.0,1620.0,1545.0,1548.85,1572.06,353021,34707,128945,36.53
2024-10-04,PVRINOX,1629.7,1624.0,1634.0,1587.05,1599.5,1610.77,379245,32471,143649,37.88
2024-10-03,PVRINOX,1647.35,1612.05,1639.0,1612.05,1629.7,1625.86,474034,36567,202904,42.8
