Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,RAMCOCEM,998.1,995.0,1043.25,985.35,1040.7,1026.95,1699660,57845.0,554973,32.65
2024-12-12,RAMCOCEM,1020.45,1021.5,1024.95,990.3,998.1,999.71,441622,19837.0,135002,30.57
2024-12-11,RAMCOCEM,1013.95,1021.0,1037.0,1015.55,1020.45,1024.68,682866,21062.0,235153,34.44
2024-12-10,RAMCOCEM,1014.45,1015.25,1025.0,1003.1,1013.95,1012.09,581619,22309.0,340852,58.6
2024-12-09,RAMCOCEM,1013.05,1012.05,1018.1,1005.25,1014.45,1012.06,417069,13718.0,237869,57.03
2024-12-06,RAMCOCEM,1022.05,1019.0,1022.55,1010.05,1013.05,1014.91,302042,15924.0,124740,41.3
2024-12-05,RAMCOCEM,1040.65,1034.0,1046.2,1014.1,1022.05,1028.87,438161,19383.0,142993,32.63
2024-12-04,RAMCOCEM,1040.1,1040.1,1046.0,1033.45,1040.65,1039.43,683074,31868.0,369252,54.06
2024-12-03,RAMCOCEM,1035.25,1032.1,1048.55,1029.0,1040.1,1039.03,799659,39906.0,302021,37.77
2024-12-02,RAMCOCEM,1014.8,1019.4,1045.75,1010.15,1035.25,1031.49,1872697,64938.0,965436,51.55
2024-11-29,RAMCOCEM,974.9,971.25,1022.25,970.95,1014.8,1007.45,1753634,58801.0,712448,40.63
2024-11-28,RAMCOCEM,978.1,980.9,980.9,969.3,974.9,976.29,658379,24959.0,342265,51.99
2024-11-27,RAMCOCEM,959.85,959.85,989.65,953.45,978.1,976.59,1088089,29541.0,474517,43.61
2024-11-26,RAMCOCEM,969.65,972.85,973.0,954.4,959.85,961.64,492085,23897.0,182621,37.11
2024-11-25,RAMCOCEM,944.95,952.8,977.45,952.6,969.65,967.12,1547652,48392.0,693633,44.82
2024-11-22,RAMCOCEM,914.95,924.85,952.3,916.0,944.95,935.68,2237416,67381.0,1043436,46.64
2024-11-21,RAMCOCEM,903.55,905.0,921.15,897.05,914.95,913.26,1002682,35209.0,457793,45.66
2024-11-19,RAMCOCEM,894.15,905.35,925.0,897.85,903.55,913.34,930468,42596.0,324484,34.87
2024-11-18,RAMCOCEM,902.35,901.1,903.65,889.9,894.15,896.13,1207564,81509.0,600130,49.7
2024-11-14,RAMCOCEM,883.9,883.9,911.0,878.75,902.35,899.96,698690,35296.0,187154,26.79
2024-11-13,RAMCOCEM,910.0,915.0,916.75,877.0,883.9,893.75,901771,39640.0,169826,18.83
2024-11-12,RAMCOCEM,870.45,888.45,927.0,880.75,910.0,907.37,5320024,136470.0,1023490,19.24
2024-11-11,RAMCOCEM,865.8,865.8,874.65,857.35,870.45,865.58,340804,16698.0,138853,40.74
2024-11-08,RAMCOCEM,876.4,875.0,878.95,855.55,865.8,862.18,741295,13463.0,559641,75.5
2024-11-07,RAMCOCEM,881.5,882.2,884.95,868.3,876.4,875.71,206556,12601.0,88481,42.84
2024-11-06,RAMCOCEM,874.8,879.95,884.15,871.3,881.5,879.08,254647,13501.0,78087,30.66
2024-11-05,RAMCOCEM,877.7,874.1,884.85,871.1,874.8,877.38,209092,13207.0,61379,29.36
2024-11-04,RAMCOCEM,892.4,896.95,899.0,870.65,877.7,878.77,359564,21524.0,127974,35.59
2024-11-01,RAMCOCEM,886.55,890.0,895.5,884.0,892.4,891.57,122577,5934.0,70791,57.75
2024-10-31,RAMCOCEM,882.65,884.55,891.9,872.5,886.55,880.69,556923,25009.0,158818,28.52
2024-10-30,RAMCOCEM,864.9,868.0,888.0,864.2,882.65,880.92,801761,41597.0,257680,32.14
2024-10-29,RAMCOCEM,856.95,860.15,871.1,844.6,864.9,857.07,2046350,35608.0,1550161,75.75
2024-10-28,RAMCOCEM,853.05,859.5,867.75,840.25,856.95,855.08,391295,26216.0,117422,30.01
2024-10-25,RAMCOCEM,844.8,851.5,856.0,833.9,853.05,845.68,410967,29806.0,185050,45.03
2024-10-24,RAMCOCEM,838.85,837.0,854.0,831.5,844.8,846.67,249452,23241.0,97159,38.95
2024-10-23,RAMCOCEM,826.85,826.8,848.8,823.9,838.85,839.85,261741,16020.0,83353,31.85
2024-10-22,RAMCOCEM,834.95,832.0,841.05,825.6,826.85,829.43,621692,18666.0,404502,65.06
2024-10-21,RAMCOCEM,851.3,845.0,851.75,831.1,834.95,839.23,484051,30836.0,240131,49.61
2024-10-18,RAMCOCEM,848.9,848.9,861.8,839.05,851.3,848.54,623598,21851.0,385995,61.9
2024-10-17,RAMCOCEM,870.75,877.75,877.8,845.0,848.9,859.07,609357,38505.0,281967,46.27
2024-10-16,RAMCOCEM,870.1,880.0,880.05,864.7,870.75,870.7,329245,16093.0,133987,40.7
2024-10-15,RAMCOCEM,869.85,873.35,875.0,860.8,870.1,867.35,312361,10891.0,197550,63.24
2024-10-14,RAMCOCEM,861.55,861.55,871.55,854.05,869.85,868.46,1335019,17313.0,1176881,88.15
2024-10-11,RAMCOCEM,862.05,866.0,870.2,855.5,861.55,862.56,248513,8623.0,121443,48.87
2024-10-10,RAMCOCEM,855.2,861.6,872.45,857.0,862.05,864.48,220995,13674.0,57965,26.23
2024-10-09,RAMCOCEM,857.25,859.0,862.85,845.1,855.2,856.7,216960,13249.0,91377,42.12
2024-10-08,RAMCOCEM,855.4,851.0,871.25,850.0,857.25,857.84,328727,17703.0,156040,47.47
2024-10-07,RAMCOCEM,868.45,869.2,876.55,849.7,855.4,859.36,367182,28227.0,154600,42.1
2024-10-04,RAMCOCEM,872.95,866.0,879.4,857.2,868.45,871.21,279450,22943.0,92744,33.19
2024-10-03,RAMCOCEM,877.9,876.8,886.8,869.8,872.95,876.9,843832,38707.0,312506,37.03
2024-10-01,RAMCOCEM,867.0,867.0,884.0,866.3,877.9,875.84,480399,22080.0,227279,47.31
2024-09-30,RAMCOCEM,863.35,861.35,869.0,855.0,867.0,864.46,328919,17135.0,137362,41.76
2024-09-27,RAMCOCEM,861.0,856.0,877.0,853.55,863.35,864.43,1229146,44311.0,710262,57.78
2024-09-26,RAMCOCEM,855.55,858.0,864.85,844.15,861.0,853.68,514998,26029.0,204764,39.76
2024-09-25,RAMCOCEM,851.05,848.0,868.5,845.25,855.55,860.0,1132803,43656.0,496912,43.87
2024-09-24,RAMCOCEM,851.45,849.0,857.75,842.25,851.05,850.65,476939,20821.0,213535,44.77
2024-09-23,RAMCOCEM,835.35,840.0,854.15,837.0,851.45,847.58,359706,20813.0,126864,35.27
2024-09-20,RAMCOCEM,828.95,828.95,841.45,827.55,835.35,835.86,401773,21636.0,199693,49.7
2024-09-19,RAMCOCEM,840.75,835.0,845.6,817.0,828.95,827.96,370095,22473.0,107185,28.96
2024-09-18,RAMCOCEM,850.75,852.45,852.45,836.5,840.75,842.57,246375,14761.0,102754,41.71
2024-09-17,RAMCOCEM,851.1,854.5,855.55,845.15,850.75,850.26,234001,11609.0,101189,43.24
2024-09-16,RAMCOCEM,850.2,854.5,857.1,846.1,851.1,850.57,1222604,21318.0,1000255,81.81
2024-09-13,RAMCOCEM,841.15,844.5,855.55,842.1,850.2,849.83,437354,19221.0,176266,40.3
2024-09-12,RAMCOCEM,837.45,844.5,844.5,832.55,841.15,839.43,649344,15865.0,485475,74.76
2024-09-11,RAMCOCEM,842.7,842.95,850.0,833.85,837.45,843.4,573275,26545.0,299107,52.18
