Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,MADRASCEM,334491,,146302,418.75,1085.71,159.27,High,High,,,-0.16,-0.07,-0.83,19.28,8.43,10.850000000000001,Very High,,Neutral,Very High,Very High,Very High,,115.2,,,,,-1.04,,,0.0,112.05,112.0,116.5,112.0,115.07,,,,,,,4.5,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,12.720365252358855,,,,,,,False
2010-01-05,MADRASCEM,459468,,230549,460.87,495.24,7.46,Very High,High,,,0.23,0.21,-0.83,-27.71,-25.3,-2.41,High,2.95,Neutral,Very High,Very High,Low,,118.15,,,,,-1.12,,,0.0,115.2,117.9,120.3,116.8,118.89,,,,,1.35,2.15,3.5,False,0.0,NoSwipe,Bullish,0.025285255371126247,2.950000000000003,Neutral,,,,,,,,,0.06,,Buy,0.06999999999999318,0.01,1.35,1.35,False,2.15,2.15,False,2.950000000000003,13.037824577438801,38.461582503444504,,6.420468890107696e-06,,,,False
2010-01-06,MADRASCEM,138351,,68641,56.6,62.75,10.87,Medium,Medium,,,-0.53,-0.51,-0.83,63.86,61.45,2.4099999999999966,High,-0.55,Neutral,Medium,High,Low,,117.6,,,,,-1.09,,,0.0,118.15,119.0,119.4,115.55,117.9,,,,,2.05,1.8,3.85,True,1.06,CandleLowSwipe,Bearish,-0.004665968168390933,-0.5500000000000114,Neutral,,,,,,,,,0.04,,Buy,0.06999999999999318,0.03,1.82,1.72,True,1.92,1.96,False,-0.5500000000000114,11.837549213233764,-6.510652067278705,,-3.9753959132930835e-06,,,,False
2010-01-07,MADRASCEM,165265,,88449,88.64,84.44,4.74,Medium,Medium,,,-0.44,-0.45,-0.83,53.01,54.22,-1.2100000000000009,High,-0.85,Neutral,High,High,Low,,116.75,,,,,-1.15,,,0.0,117.6,118.1,119.0,115.8,116.93,,,,,0.95,2.25,3.2,False,0.0,,Bearish,-0.007254138915519626,-0.8499999999999943,Neutral,,,,,,,,,0.01,,Buy,0.04000000000000625,0.03,1.32,1.44,False,2.11,2.07,True,-0.8499999999999943,12.015305525152689,-10.213009696379718,,-5.14325477263785e-06,,,,False
2010-01-08,MADRASCEM,223950,,157599,654.55,159.38,75.65,High,Medium,,,-0.11,-0.32,-0.83,13.25,38.55,-25.299999999999997,Medium,2.35,Neutral,Very High,Very High,High,,119.1,,,,,-1.1,,,0.0,116.75,117.4,120.25,116.45,118.48,,,,,2.65,1.15,3.8,False,0.0,NoSwipe,Bullish,0.01992857981224727,2.3499999999999943,Neutral,,,,,,,,,0.07,,Buy,0.10999999999999943,0.04,2.03,1.78,True,1.6,1.79,False,2.3499999999999943,12.319178091635447,28.95006851534323,,1.0493413708417033e-05,,,,False
2010-01-11,MADRASCEM,1047032,,580221,144.62,153.9,6.42,Very High,Very High,,,1.86,1.54,-0.83,-224.1,-185.54,-38.56,Medium,6.05,Neutral,High,Very High,Low,,125.15,,,,,-0.9,,,0.0,119.1,119.8,126.0,119.8,123.82,,,,,5.35,0.85,6.2,False,0.0,NoSwipe,Bullish,0.04954954151652924,6.050000000000011,Neutral,,,,,,,,,0.29,,Buy,0.4099999999999966,0.12,3.74,2.64,True,1.21,1.54,False,6.050000000000011,13.861470052900424,83.86189382004773,,5.778237914409503e-06,,,,False
2010-01-12,MADRASCEM,1420067,,491643,157.24,134.73,14.32,Very High,Very High,,,1.45,2.39,-0.83,-174.7,-287.95,113.25,Very High,5.65,Neutral,High,High,Low,,130.8,,,,,-0.75,,,0.0,125.15,126.8,134.0,126.0,130.8,,,,,4.8,3.2,8.0,False,0.0,NoSwipe,Bullish,0.04415642114531515,5.650000000000006,Neutral,,,,,,,,,0.59,,Buy,0.8500000000000085,0.26,4.28,3.09,True,2.22,1.93,True,5.650000000000006,14.166214611562948,80.03911255533073,,3.978685512725812e-06,,,,False
2010-01-13,MADRASCEM,916921,,555813,147.43,166.4,12.87,Very High,Very High,,,1.75,1.25,-0.83,-210.84,-150.6,-60.24000000000001,Low,5.05,Neutral,High,Very High,Low,,135.85,,,,,-0.52,,,0.0,130.8,127.2,137.4,126.6,132.38,,,,,9.25,1.55,10.8,False,0.0,NoSwipe,Bullish,0.03788189684925847,5.049999999999983,Neutral,,,,,,,,,0.89,,Buy,1.3799999999999955,0.49,6.78,4.24,True,1.88,1.85,True,5.049999999999983,13.728776597036704,69.33032181503512,,5.50756281075467e-06,,,,False
2010-01-14,MADRASCEM,621528,,239902,407.41,243.1,40.33,Very High,Very High,,,0.27,0.58,-0.83,-32.53,-69.88,37.349999999999994,Very High,-2.45,Neutral,Very High,Very High,Medium,,133.4,,,,,-0.75,,,0.0,135.85,139.0,139.6,131.55,136.96,,,,,1.85,6.2,8.05,True,1.65,CandleOpenHighSwipe,Bearish,-0.018199202390833058,-2.4499999999999886,Neutral,,,,,,,,,0.88,,Buy,1.5900000000000034,0.71,4.31,3.83,True,4.05,2.73,True,-2.4499999999999886,13.33993624121092,-32.6828437909666,,-3.9418980319470545e-06,,,,False
2010-01-15,MADRASCEM,464993,,224295,515.0,460.87,10.51,Very High,Very High,,,0.2,0.23,-0.83,-24.1,-27.71,3.6099999999999994,High,-0.9,Neutral,Very High,Very High,Low,,132.5,,,,,-1.02,,,0.0,133.4,134.0,136.7,132.0,134.01,,,,,0.5,4.2,4.7,False,0.0,,Bearish,-0.00676948805524713,-0.9000000000000057,Neutral,,,,,,,,,0.78,,Buy,1.6800000000000068,0.9,2.4,3.31,False,4.13,3.01,True,-0.9000000000000057,13.049777630692743,-11.744799867623543,,-1.935513007722709e-06,,,,False
2010-01-18,MADRASCEM,356185,,234426,432.0,4050.0,837.5,Very High,High,,,0.25,-0.02,-0.83,-30.12,2.41,-32.53,Medium,-5.55,Neutral,Very High,Very High,Very High,,126.95,,,,,-0.83,,,0.0,132.5,133.6,133.6,126.5,128.74,,,,,0.45,6.65,7.1,False,0.0,NoSwipe,Bearish,-0.04278933727558876,-5.549999999999997,Neutral,,,,,,,,,0.42,,Buy,1.4300000000000068,1.01,1.42,2.88,False,5.39,3.67,True,-5.549999999999997,12.7832055377775,-70.94679073466509,,-1.5581790361750207e-05,,,,False
2010-01-19,MADRASCEM,257892,,143296,361.11,245.83,31.92,High,High,,,-0.18,-0.24,-0.83,21.69,28.92,-7.23,High,-1.75,Neutral,Very High,Very High,Medium,,125.2,,,,,-1.04,,,0.0,126.95,127.9,129.0,124.55,126.24,,,,,0.65,3.8,4.45,False,0.0,NoSwipe,Bearish,-0.013880849484690039,-1.75,Neutral,127.39170504519387,,,,,,,,0.09,,Buy,1.1200000000000045,1.03,1.04,2.57,False,4.59,3.69,True,-1.75,12.460296171613207,-21.80551830032311,,-6.785786298140307e-06,,,,False
2010-01-20,MADRASCEM,191878,,107777,144.12,112.82,21.72,Medium,Medium,,,-0.34,-0.39,-0.83,40.96,46.99,-6.030000000000001,High,-0.2,Neutral,High,High,Medium,,125.0,,,,,-0.39,,,0.0,125.2,123.0,128.0,115.55,125.43,,,,,9.45,3.0,12.45,True,7.2,CandleOpenLowSwipe,Bullish,-0.0015987213636963205,-0.20000000000000284,Neutral,127.93746863722747,,,,,,,,-0.12,,Sell,0.8800000000000097,1.0,5.24,3.49,True,3.8,3.57,True,-0.20000000000000284,12.164615032380524,-2.4329230064761393,,-1.0423289798726423e-06,,,,False
2010-01-21,MADRASCEM,361333,,218434,588.24,8200.0,1293.99,High,High,,,0.17,-0.01,-0.83,-20.48,1.2,-21.68,Medium,-4.05,Neutral,Very High,Very High,Very High,,120.95,,,,,-0.86,,,0.0,125.0,124.0,124.95,118.25,120.98,,,,,2.7,4.0,6.7,False,0.0,,Bearish,-0.032936500246265155,-4.049999999999997,Neutral,128.26287819623346,,,,,,,,-0.45,,Sell,0.4399999999999977,0.89,3.97,3.39,True,3.9,3.64,True,-4.049999999999997,12.797555249803969,-51.83009876170604,,-1.1208497424813115e-05,,,,False
2010-01-22,MADRASCEM,208192,,124505,207.41,137.14,33.88,High,Medium,,,-0.27,-0.35,-0.83,32.53,42.17,-9.64,High,-1.05,Neutral,Very High,Very High,Medium,,119.9,,,,,-0.9,,,0.0,120.95,117.0,122.4,116.25,119.72,,,,,3.65,2.5,6.15,True,1.67,CandleOpenLowSwipe,Bullish,-0.008719175022568137,-1.0499999999999972,Neutral,128.20928885984964,,,,,,,,-0.68,,Sell,0.04000000000000625,0.72,3.81,3.42,True,3.2,3.46,False,-1.0499999999999972,12.246216009833024,-12.85852681032464,,-5.043421457116494e-06,,,,False
2010-01-25,MADRASCEM,259598,,194200,1483.33,245.83,83.43,High,High,,,0.06,-0.24,-0.83,-7.23,28.92,-36.150000000000006,Medium,-6.1,Neutral,Very High,Very High,High,,113.8,,,,,-0.86,,,0.0,119.9,118.5,119.7,113.0,115.56,,,,,0.8,5.9,6.7,False,0.0,NoSwipe,Bearish,-0.052215540341237876,-6.1000000000000085,Neutral,127.97592361344034,,,,,,,,-1.08,,Sell,-0.6299999999999955,0.45,2.31,3.11,False,4.55,3.85,True,-6.1000000000000085,12.466889559622148,-76.0480263136952,,-2.3497869783280334e-05,,,,False
2010-01-27,MADRASCEM,241285,,144438,388.24,196.43,49.41,High,High,,,-0.17,-0.28,-0.83,20.48,33.73,-13.249999999999996,Medium,-2.75,Neutral,Very High,Very High,Medium,,111.05,,,,,-0.83,,,0.0,113.8,112.5,114.85,107.8,110.95,,,,,3.25,3.8,7.05,False,0.0,NoSwipe,Bearish,-0.024461971351794176,-2.75,Neutral,127.6702631209379,,,,,,,,-1.4,,Sell,-1.2999999999999972,0.1,2.78,3.12,False,4.17,3.84,True,-2.75,12.393734086398684,-34.08276873759638,,-1.1397310234784591e-05,,,,False
2010-01-28,MADRASCEM,207376,,153912,538.46,130.56,75.75,High,Medium,,,-0.13,-0.36,-0.83,15.66,43.37,-27.709999999999997,Medium,0.45,Neutral,Very High,High,High,,111.5,,,,,-0.94,,,0.0,111.05,111.05,114.9,109.2,112.99,,,,,2.3,3.4,5.7,True,0.04,CandleHighSwipe,Bullish,0.004044040559737283,0.45000000000000284,Neutral,127.83950509401429,,,,,,,,-1.5,,Sell,-1.769999999999996,-0.27,2.54,3.03,False,3.79,3.77,True,0.45000000000000284,12.242288849663156,5.509029982348455,,2.1699714528200124e-06,,,,False
2010-01-29,MADRASCEM,507972,,273054,293.02,359.37,22.64,Very High,Very High,,,0.43,0.32,-0.83,-51.81,-38.55,-13.260000000000005,Medium,-4.05,Neutral,Very High,Very High,Medium,,107.45,,,,,-0.97,,,0.0,111.5,104.6,108.9,103.6,105.71,,,,,3.85,1.45,5.3,False,0.0,NoSwipe,Bullish,-0.03699896781165357,-4.049999999999997,Neutral,124.74702757811691,,,,,,,,-1.68,,Sell,-2.3700000000000045,-0.69,3.19,3.12,True,2.62,3.42,False,-4.049999999999997,13.138181606931324,-53.20963550807183,,-7.972880394982395e-06,,,,False
2010-02-01,MADRASCEM,284305,,159578,730.0,361.11,50.53,High,High,,,-0.1,-0.18,-0.83,12.05,21.69,-9.64,High,5.45,Neutral,Very High,Very High,Medium,,112.9,,,,,-0.69,,,0.0,107.45,107.0,114.3,105.55,111.41,,,,,7.35,1.4,8.75,False,0.0,NoSwipe,Bullish,0.049476848067096846,5.450000000000003,Neutral,121.77944424241338,,,,,,,,-1.4,,Sell,-2.450000000000003,-1.05,5.27,3.58,True,2.01,3.11,False,5.450000000000003,12.557802884540367,68.44002572074504,,1.9169553824238066e-05,,,,False
2010-02-02,MADRASCEM,298288,,158349,654.55,453.33,30.74,High,High,,,-0.11,-0.15,-0.83,13.25,18.07,-4.82,High,-3.95,Neutral,Very High,Very High,Medium,,108.95,,,,,-0.78,,,0.0,112.9,114.8,115.8,108.1,112.41,,,,,0.85,6.85,7.7,True,1.38,CandleOpenHighSwipe,Bearish,-0.035613409764987836,-3.950000000000003,Neutral,118.65960828423731,,,,,,,,-1.36,,Sell,-2.75,-1.39,3.06,3.29,False,4.43,3.67,True,-3.950000000000003,12.605814741735243,-49.792968229854246,,-1.3242235691680533e-05,,,,False
2010-02-03,MADRASCEM,117267,,45931,31.75,48.21,51.84,Low,Medium,,,-0.63,-0.56,-0.83,75.9,67.47,8.430000000000007,Very High,3.5,Neutral,Medium,High,High,,112.45,,,,,-1.13,,,0.0,108.95,110.4,113.5,110.15,112.21,,,,,2.3,1.05,3.35,False,0.0,,Bullish,0.0316196170146954,3.5,Neutral,116.2941056059047,,,,,,,,-1.06,,Sell,-2.710000000000008,-1.65,2.68,3.19,False,2.74,3.28,False,3.5,11.672208665137607,40.852730327981625,,2.9846418856114677e-05,,,,False
2010-02-04,MADRASCEM,107946,,57287,43.1,43.1,0.0,Low,Low,,,-0.58,-0.58,-0.83,69.88,69.88,0.0,High,-4.1,Neutral,Medium,Medium,,,108.35,,,,,-0.94,,,0.0,112.45,113.0,113.7,108.05,110.29,,,,,0.3,5.35,5.65,True,0.18,CandleHighSwipe,Bearish,-0.03714195042295643,-4.1000000000000085,Neutral,114.58301699146418,,,,,,,,-1.02,,Sell,-2.9200000000000017,-1.9,1.49,2.89,False,4.04,3.59,True,-4.1000000000000085,11.589386381064674,-47.516484162365266,,-3.798195393993301e-05,,,,False
2010-02-05,MADRASCEM,266468,,172512,1975.0,277.27,85.96,High,High,,,-0.04,-0.22,-0.83,4.82,26.51,-21.69,Medium,-3.2,Neutral,Very High,Very High,High,,105.15,,,,,-1.25,,,0.0,108.35,106.0,107.0,105.0,105.44,,,,,0.15,1.85,2.0,False,0.0,NoSwipe,Bearish,-0.029978825833659073,-3.1999999999999886,Neutral,112.82299663030471,,,,,,,,-1.1,,Sell,-3.280000000000001,-2.18,0.82,2.61,False,2.95,3.33,False,-3.1999999999999886,12.493009440331546,-39.977630209060806,,-1.2008946665265581e-05,,,,False
