Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Close_Price_Next_Day,Close_Price_One_Week_Later,1-Day % Change,1-Week % Change,Price_Increase_1D,Price_Increase_1W,Predicted_1D,Predicted_1W,Entry Date,Exit Date,Win,Profit %
2020-03-11,RAMCOCEM,1715381,22494.0,1420705,81.39,65.66,19.33,Very High,Very High,Very High,Low,5.48,2.97,1.02,537.25,291.18,246.07,Very High,-18.05,Strong Supply,High,High,Medium,701.55,697.3,-10.300000000000068,696.3,1.06,-1.0,0.5,-0.04,9600.0,-0.02,715.35,715.3,715.3,692.05,701.22,803200.0,2020-03-26,91.73352374,ShortBuildUp,5.25,18.0,23.25,False,0.0,NoSwipe,Bearish,-0.0255561991853783,-18.050000000000068,Strong Supply,740.3474384156083,760.6529769546937,-6.35,3.28,101.23,-4.94,-20.31,-15.37,-8.54,Sell,Sell,-20.56000000000006,-12.02,10.36,12.16,False,14.05,14.26,False,-18.050000000000068,14.35514577134327,-259.110381172747,76.2594914199342,-1.052244370201143e-05,-0.0115190886979971,1.99,1.68,True,655.1,581.15,-6.051914527463063,-16.657105980209376,0,0,0,0,2020-03-11,2020-03-18,0,-16.657105980209376
2020-11-27,RAMCOCEM,1692375,24474.0,1176769,73.18,59.59,18.57,Very High,Very High,Very High,Medium,4.4,2.92,1.18,372.88,247.46,125.42,Very High,31.2,Strong Demand,Medium,High,Low,881.62,892.15,31.25,892.75,0.0099999999999997,0.6000000000000227,2.1,0.2,-95200.0,0.13,860.95,860.95,897.7,855.0,886.99,1295400.0,2020-12-31,90.00523425,ShortCovering,37.15,5.55,42.7,False,0.0,NoSwipe,Bullish,0.0355978491452431,31.19999999999993,Strong Demand,865.5879034335607,830.3260315452935,0.19,1.62,-54.87,0.95,35.26,34.31,-0.51,Buy,Sell,22.469999999999917,22.98,23.13,12.1,True,8.35,10.43,False,31.19999999999993,14.341643425797413,447.4592748848783,69.14991419465555,1.8435630401063557e-05,0.0182830462893224,2.11,2.17,False,,889.4,,-0.30824412935044554,0,0,0,0,2020-11-27,2020-12-04,0,-0.30824412935044554
2022-12-09,RAMCOCEM,1693319,18808.0,1210781,84.4,75.68,10.33,Very High,Very High,Very High,Medium,4.55,2.92,0.71,640.85,411.27,229.58000000000004,Very High,0.35,Strong Supply,High,High,Low,727.95,730.15,-0.9500000000000456,731.05,-0.18,0.8999999999999773,-0.0,0.78,-82450.0,0.48,729.8,734.2,735.45,718.25,729.06,3353250.0,2022-12-29,76.69,LongUnwinding,11.9,5.3,17.2,True,0.65,CandleOpenHighSwipe,Bearish,0.0004794684841336,0.3500000000000227,Strong Supply,689.2492125328262,680.2734256009846,4.8,5.23,233.12,11.55,8.98,-2.57,9.44,Buy,Buy,5.460000000000036,-3.98,15.44,10.91,True,3.61,5.65,False,0.3500000000000227,14.3422010662838,5.019770373199656,90.03184814972352,2.0669466296664883e-07,0.0002668954898553,3.38,3.08,True,,714.45,,-2.150243100732717,0,0,0,0,2022-12-09,2022-12-16,0,-2.150243100732717
2024-03-22,RAMCOCEM,2114154,34829.0,1640859,68.53,47.27,31.02,Very High,Very High,Very High,High,6.45,3.85,2.03,317.73,189.66,128.07000000000002,Very High,-7.4,Strong Supply,Medium,High,Medium,808.78,806.45,-7.799999999999954,809.6,-0.0399999999999999,3.1499999999999773,0.5,-0.59,-385050.0,-0.36,813.85,813.85,821.6,798.3,810.18,3681350.0,2024-03-28,66.82,LongUnwinding,8.15,15.15,23.3,True,0.7,BothHighLowSwipe,Bearish,-0.0091341744743154,-7.399999999999977,Strong Supply,807.1146437861734,828.5578316869694,1.22,2.61,12.02,5.76,-21.44,-27.2,4.13,Buy,Buy,-25.470000000000027,-29.6,9.61,8.71,True,9.08,9.01,True,-7.399999999999977,14.564165290441176,-107.77482314926438,60.7009675844842,-3.5002180541247125e-06,-0.0030943990108606,1.88,1.58,True,,,,,0,0,0,0,2024-03-22,2024-03-29,0,
2024-03-28,RAMCOCEM,1545414,17917.0,1255301,86.5,75.38,12.86,Very High,Very High,Very High,Very High,4.74,2.6,0.64,740.62,406.25,334.37,Very High,-5.15,Strong Supply,High,High,Low,812.5,810.55,-0.5,817.15,0.5700000000000001,6.600000000000023,-0.02,7.86,810050.0,4.81,815.7,821.95,821.95,805.0,817.14,4329050.0,2024-04-25,74.85,ShortBuildUp,5.55,11.4,16.95,True,0.16,CandleLowSwipe,Bearish,-0.0063336107189524,-5.150000000000091,Strong Supply,808.0759115279766,821.6733096927877,3.14,5.09,82.44,8.26,-13.6,-21.86,5.58,Buy,Buy,-20.090000000000032,-25.67,7.4,8.47,False,9.13,8.54,True,-5.150000000000091,14.25080239358385,-73.39163232695813,86.25406038957415,-3.3324403687297324e-06,-0.0040962009447428,3.48,2.56,True,,839.85,,3.6148294368021796,0,1,0,1,2024-03-28,2024-04-04,1,3.6148294368021796
2024-05-24,RAMCOCEM,1697769,35422.0,1188280,53.26,29.01,45.53,Very High,Very High,Very High,High,4.45,2.93,2.08,213.94,140.87,73.07,Very High,-10.3,Strong Supply,Medium,Medium,Medium,783.42,778.1,-7.600000000000023,781.05,0.3500000000000001,2.949999999999932,0.55,-1.34,-546550.0,-0.81,788.4,785.0,798.05,774.1,789.21,7863350.0,2024-05-30,36.93,LongUnwinding,4.0,19.95,23.95,False,0.0,,Bearish,-0.0131505246556802,-10.299999999999956,Strong Supply,776.4835522309188,781.3976229566523,4.1,2.0,52.67,11.61,-4.91,-16.52,3.99,Buy,Buy,-7.75,-11.74,7.66,7.75,False,14.54,9.73,True,-10.299999999999956,14.344825594195996,-147.7517036202181,47.929789396420304,-6.066785292934407e-06,-0.0041711846767607,1.77,1.67,True,,741.85,,-4.658784217966843,0,0,0,0,2024-05-24,2024-05-31,0,-4.658784217966843
2024-05-31,RAMCOCEM,1297510,19058.0,1106958,82.15,64.39,21.62,Very High,Very High,Very High,Very High,4.09,2.05,0.73,560.27,280.82,279.45,Very High,-3.6,Strong Supply,High,High,Medium,743.33,741.85,-3.850000000000023,745.6,-0.03,3.75,-0.44,-1.22,-80750.0,-0.74,745.45,748.95,750.0,738.15,745.32,8599450.0,2024-06-27,56.14,LongUnwinding,3.7,8.15,11.85,False,0.0,NoSwipe,Bearish,-0.004840996477605,-3.6000000000000227,Strong Supply,771.7543989493611,773.1855637547582,-0.98,5.75,144.68,4.98,-1.43,-6.41,-1.11,Buy,Sell,-11.579999999999927,-10.47,3.5,6.01,False,9.26,10.1,False,-3.6000000000000227,14.075957601121576,-50.67344736403799,68.0821702172316,-2.7745450902112684e-06,-0.0026589068823611,3.16,2.35,True,,831.8,,12.125092673721092,0,1,0,1,2024-05-31,2024-06-07,1,12.125092673721092
2024-07-05,RAMCOCEM,2659493,41597.0,1803349,63.88,48.81,23.59,Very High,Very High,Very High,Very High,7.17,5.06,2.59,276.83,195.37,81.45999999999998,Very High,-11.15,Strong Supply,Medium,High,Medium,808.95,808.15,-8.799999999999955,812.5,0.29,4.350000000000023,-0.04,-3.4,187850.0,-2.07,819.3,810.5,817.7,801.0,806.88,8251800.0,2024-07-25,25.96,ShortBuildUp,7.15,9.55,16.7,False,0.0,NoSwipe,Bearish,-0.0137026322919515,-11.149999999999975,Strong Supply,848.2438841811233,836.4380154261511,-5.05,3.83,227.35,-9.1,11.81,20.91,-6.97,Sell,Sell,6.779999999999973,13.75,6.21,11.32,False,13.41,16.21,False,-11.149999999999975,14.793646061087347,-164.9491535811236,63.93473087001466,-4.192528425530722e-06,-0.0039654098512182,2.22,1.7,True,,793.9,,-1.7632865185918456,0,0,0,0,2024-07-05,2024-07-12,0,-1.7632865185918456
2024-07-15,RAMCOCEM,1592604,20895.0,1246864,81.32,67.41,17.11,Very High,Very High,Very High,High,4.71,2.7,0.88,535.23,306.82,228.41000000000005,Very High,1.65,Strong Demand,High,High,Low,796.05,795.55,3.0499999999999545,798.5,0.17,2.950000000000045,-0.49,-0.79,96900.0,-0.48,793.9,796.95,801.95,790.65,794.92,10013850.0,2024-07-25,10.01,LongBuildUp,4.9,6.4,11.3,False,0.0,,Bearish,0.0020761906227972,1.6499999999999773,Strong Demand,817.118592069172,842.4912707930993,-13.65,6.75,311.59,-24.59,-25.37,-0.78,-7.44,Sell,Sell,-6.100000000000023,1.34,6.96,10.56,False,9.93,12.95,False,1.6499999999999773,14.280880970418552,23.56345360119029,76.21938262742283,1.0360390906967314e-06,0.0011277077578937,3.36,2.43,True,794.45,780.15,-0.13826912199106392,-1.9357677078750524,0,0,0,0,2024-07-15,2024-07-22,0,-1.9357677078750524
2024-08-02,RAMCOCEM,1755087,26157.0,1282668,72.9,56.86,22.0,Very High,Very High,Very High,High,4.87,3.06,1.32,368.94,231.82,137.12,Very High,2.65,Strong Demand,Medium,High,Medium,826.35,827.75,3.899999999999977,829.25,0.1499999999999999,1.5,1.09,-0.19,-192950.0,-0.11,825.1,813.0,840.9,810.4,832.77,9348300.0,2024-08-29,38.1,ShortCovering,17.35,13.15,30.5,True,1.22,CandleHighSwipe,Bullish,0.0032065853170575,2.6499999999999773,Strong Demand,804.9295009429803,817.4097774360595,8.47,2.2,6.28,10.1,-12.48,-22.58,4.34,Buy,Buy,1.7200000000000273,-2.62,12.32,12.67,False,9.92,9.08,True,2.6499999999999773,14.378028986302994,38.10177681370261,67.09817639637573,1.5098966603934605e-06,0.0014566569871813,2.26,2.11,True,,799.75,,-3.382663847780127,0,0,0,0,2024-08-02,2024-08-09,0,-3.382663847780127
