Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2016-08-31,RBLBANK,225.0,274.2,305.5,274.2,299.4,288.84,79264509,669395,26961879,34.02,,,,,,,,,
2016-08-31,RBLBANK,225.0,274.2,305.5,274.2,299.4,288.84,79264509,669395,26961879,34.02,,,,,,,,,
2016-09-01,RBLBANK,299.4,302.5,316.5,302.0,305.15,310.01,14699482,166343,4520383,30.75,,,,,,,,,
2016-09-01,RBLBANK,299.4,302.5,316.5,302.0,305.15,310.01,14699482,166343,4520383,30.75,,,,,,,,,
2016-09-02,RBLBANK,305.15,306.5,309.0,298.55,301.25,302.43,4762383,53285,1649265,34.63,,,,,,,,,
2016-09-02,RBLBANK,305.15,306.5,309.0,298.55,301.25,302.43,4762383,53285,1649265,34.63,,,,,,,,,
2016-09-06,RBLBANK,301.25,303.0,310.25,300.6,307.75,306.42,5777669,52340,2910081,50.37,,,,,,,,,
2016-09-06,RBLBANK,301.25,303.0,310.25,300.6,307.75,306.42,5777669,52340,2910081,50.37,,,,,,,,,
2016-09-07,RBLBANK,307.75,308.85,312.8,302.4,304.0,308.8,4147204,40102,2311178,55.73,,,,,,,,,
2016-09-07,RBLBANK,307.75,308.85,312.8,302.4,304.0,308.8,4147204,40102,2311178,55.73,,,,,,,,,
2016-09-08,RBLBANK,304.0,306.5,308.0,303.65,305.5,305.84,1509509,20968,708714,46.95,,,,,,,,,
2016-09-08,RBLBANK,304.0,306.5,308.0,303.65,305.5,305.84,1509509,20968,708714,46.95,,,,,,,,,
2016-09-09,RBLBANK,305.5,303.65,303.65,298.1,298.8,300.53,1570381,27001,987459,62.88,,,,,,,,,
2016-09-09,RBLBANK,305.5,303.65,303.65,298.1,298.8,300.53,1570381,27001,987459,62.88,,,,,,,,,
2016-09-12,RBLBANK,298.8,290.9,299.75,287.6,296.95,295.07,1779353,23318,697466,39.2,,,,,,,,,
2016-09-12,RBLBANK,298.8,290.9,299.75,287.6,296.95,295.07,1779353,23318,697466,39.2,,,,,,,,,
2016-09-14,RBLBANK,296.95,299.1,303.3,296.0,296.95,298.43,1148592,19478,508802,44.3,,,,,,,,,
2016-09-14,RBLBANK,296.95,299.1,303.3,296.0,296.95,298.43,1148592,19478,508802,44.3,,,,,,,,,
2016-09-15,RBLBANK,296.95,298.0,302.75,295.0,299.35,299.19,1288230,14982,468881,36.4,,,,,,,,,
2016-09-15,RBLBANK,296.95,298.0,302.75,295.0,299.35,299.19,1288230,14982,468881,36.4,,,,,,,,,
2016-09-16,RBLBANK,299.35,300.6,304.5,299.45,301.8,302.14,1559076,22083,741909,47.59,,,,,,,,,
2016-09-16,RBLBANK,299.35,300.6,304.5,299.45,301.8,302.14,1559076,22083,741909,47.59,,,,,,,,,
2016-09-19,RBLBANK,301.8,303.0,303.9,299.25,301.35,301.74,732837,11054,427389,58.32,,,,,,,,,
2016-09-19,RBLBANK,301.8,303.0,303.9,299.25,301.35,301.74,732837,11054,427389,58.32,,,,,,,,,
2016-09-20,RBLBANK,301.35,301.35,301.5,296.3,297.15,299.09,493343,6519,282065,57.17,,,,,,,,,
2016-09-20,RBLBANK,301.35,301.35,301.5,296.3,297.15,299.09,493343,6519,282065,57.17,,,,,,,,,
2016-09-21,RBLBANK,297.15,298.0,301.9,297.35,300.0,300.24,512999,9554,272494,53.12,,,,,,,,,
2016-09-21,RBLBANK,297.15,298.0,301.9,297.35,300.0,300.24,512999,9554,272494,53.12,,,,,,,,,
2016-09-22,RBLBANK,300.0,302.25,304.0,300.7,302.15,302.19,1107243,16199,783572,70.77,,,,,,,,,
2016-09-22,RBLBANK,300.0,302.25,304.0,300.7,302.15,302.19,1107243,16199,783572,70.77,,,,,,,,,
2016-09-23,RBLBANK,302.15,303.0,307.95,301.4,303.3,304.85,1735881,22724,1217110,70.11,,,,,,,,,
2016-09-23,RBLBANK,302.15,303.0,307.95,301.4,303.3,304.85,1735881,22724,1217110,70.11,,,,,,,,,
2016-09-26,RBLBANK,303.3,303.0,303.0,299.0,302.2,301.3,573498,10970,368874,64.32,,,,,,,,,
2016-09-26,RBLBANK,303.3,303.0,303.0,299.0,302.2,301.3,573498,10970,368874,64.32,,,,,,,,,
2016-09-27,RBLBANK,302.2,303.0,303.5,298.0,298.9,300.86,399580,5472,260706,65.25,,,,,,,,,
2016-09-27,RBLBANK,302.2,303.0,303.5,298.0,298.9,300.86,399580,5472,260706,65.25,,,,,,,,,
2016-09-28,RBLBANK,298.9,300.5,304.45,295.55,297.55,301.22,800367,11339,454371,56.77,,,,,,,,,
2016-09-28,RBLBANK,298.9,300.5,304.45,295.55,297.55,301.22,800367,11339,454371,56.77,,,,,,,,,
2016-09-29,RBLBANK,297.55,298.9,302.5,281.55,285.9,292.13,1238800,19786,671117,54.17,,,,,,,,,
2016-09-29,RBLBANK,297.55,298.9,302.5,281.55,285.9,292.13,1238800,19786,671117,54.17,,,,,,,,,
2016-09-30,RBLBANK,285.9,287.0,293.8,286.05,291.2,290.92,678758,16007,446498,65.78,,,,,,,,,
2016-09-30,RBLBANK,285.9,287.0,293.8,286.05,291.2,290.92,678758,16007,446498,65.78,,,,,,,,,
2016-10-03,RBLBANK,291.2,298.5,299.9,295.2,297.6,297.05,770999,26557,547857,71.06,,,,,,,,,
2016-10-03,RBLBANK,291.2,298.5,299.9,295.2,297.6,297.05,770999,26557,547857,71.06,,,,,,,,,
2016-10-04,RBLBANK,297.6,299.1,299.95,296.5,297.55,298.09,638685,18094,464292,72.69,,,,,,,,,
2016-10-04,RBLBANK,297.6,299.1,299.95,296.5,297.55,298.09,638685,18094,464292,72.69,,,,,,,,,
2016-10-05,RBLBANK,297.55,299.8,299.9,295.0,295.65,296.93,629557,7577,478618,76.02,,,,,,,,,
2016-10-05,RBLBANK,297.55,299.8,299.9,295.0,295.65,296.93,629557,7577,478618,76.02,,,,,,,,,
2016-10-06,RBLBANK,295.65,299.0,307.5,296.0,304.3,300.56,2018179,21793,1246987,61.79,,,,,,,,,
2016-10-06,RBLBANK,295.65,299.0,307.5,296.0,304.3,300.56,2018179,21793,1246987,61.79,,,,,,,,,
2016-10-07,RBLBANK,304.3,305.0,315.45,305.0,309.25,311.19,2853699,27800,1039221,36.42,,,,,,,,,
2016-10-07,RBLBANK,304.3,305.0,315.45,305.0,309.25,311.19,2853699,27800,1039221,36.42,,,,,,,,,
2016-10-10,RBLBANK,309.25,311.9,314.9,308.65,313.1,311.5,870931,11662,406381,46.66,,,,,,,,,
2016-10-10,RBLBANK,309.25,311.9,314.9,308.65,313.1,311.5,870931,11662,406381,46.66,,,,,,,,,
2016-10-13,RBLBANK,313.1,310.0,311.4,303.8,306.25,307.3,634699,7481,331743,52.27,,,,,,,,,
2016-10-13,RBLBANK,313.1,310.0,311.4,303.8,306.25,307.3,634699,7481,331743,52.27,,,,,,,,,
2016-10-14,RBLBANK,306.25,307.0,321.3,306.4,314.7,316.19,2723451,24521,1032407,37.91,,,,,,,,,
2016-10-14,RBLBANK,306.25,307.0,321.3,306.4,314.7,316.19,2723451,24521,1032407,37.91,,,,,,,,,
2016-10-17,RBLBANK,314.7,316.0,316.45,306.0,307.8,311.55,1042365,25234,659295,63.25,,,,,,,,,
2016-10-17,RBLBANK,314.7,316.0,316.45,306.0,307.8,311.55,1042365,25234,659295,63.25,,,,,,,,,
2016-10-18,RBLBANK,307.8,309.35,312.4,303.0,307.45,307.17,1410353,24569,922889,65.44,,,,,,,,,
2016-10-18,RBLBANK,307.8,309.35,312.4,303.0,307.45,307.17,1410353,24569,922889,65.44,,,,,,,,,
2016-10-19,RBLBANK,307.45,311.95,316.0,311.9,313.4,314.52,1951746,23152,1058151,54.22,,,,,,,,,
2016-10-19,RBLBANK,307.45,311.95,316.0,311.9,313.4,314.52,1951746,23152,1058151,54.22,,,,,,,,,
2016-10-20,RBLBANK,313.4,322.0,335.0,316.7,328.05,326.94,14969063,116256,7134170,47.66,,,,,,,,,
2016-10-20,RBLBANK,313.4,322.0,335.0,316.7,328.05,326.94,14969063,116256,7134170,47.66,,,,,,,,,
2016-10-21,RBLBANK,328.05,328.0,332.0,322.5,328.55,328.36,2572236,26952,1128144,43.86,,,,,,,,,
2016-10-21,RBLBANK,328.05,328.0,332.0,322.5,328.55,328.36,2572236,26952,1128144,43.86,,,,,,,,,
2016-10-24,RBLBANK,328.55,329.3,334.9,324.4,333.6,331.07,2301063,19939,1254877,54.53,,,,,,,,,
2016-10-24,RBLBANK,328.55,329.3,334.9,324.4,333.6,331.07,2301063,19939,1254877,54.53,,,,,,,,,
2016-10-25,RBLBANK,333.6,334.0,346.0,332.2,344.5,341.29,2684845,28857,941761,35.08,,,,,,,,,
2016-10-25,RBLBANK,333.6,334.0,346.0,332.2,344.5,341.29,2684845,28857,941761,35.08,,,,,,,,,
2016-10-26,RBLBANK,344.5,345.8,357.0,341.4,353.45,352.32,2416491,31526,654868,27.1,,,,,,,,,
2016-10-26,RBLBANK,344.5,345.8,357.0,341.4,353.45,352.32,2416491,31526,654868,27.1,,,,,,,,,
2016-10-27,RBLBANK,353.45,353.35,367.0,343.65,361.15,356.21,2552663,29866,664819,26.04,,,,,,,,,
2016-10-27,RBLBANK,353.45,353.35,367.0,343.65,361.15,356.21,2552663,29866,664819,26.04,,,,,,,,,
2016-10-28,RBLBANK,361.15,364.8,376.0,364.75,374.65,372.55,3822219,38508,1413041,36.97,,,,,,,,,
2016-10-28,RBLBANK,361.15,364.8,376.0,364.75,374.65,372.55,3822219,38508,1413041,36.97,,,,,,,,,
2016-10-30,RBLBANK,374.65,379.7,399.5,378.8,390.6,391.35,6236814,54067,1580541,25.34,,,,,,,,,
2016-10-30,RBLBANK,374.65,379.7,399.5,378.8,390.6,391.35,6236814,54067,1580541,25.34,,,,,,,,,
2016-11-01,RBLBANK,390.6,396.2,404.4,393.2,395.8,397.87,4793590,52387,1481630,30.91,,,,,,,,,
2016-11-01,RBLBANK,390.6,396.2,404.4,393.2,395.8,397.87,4793590,52387,1481630,30.91,,,,,,,,,
2016-11-02,RBLBANK,395.8,390.0,390.0,381.0,382.05,385.27,2677682,38631,1081621,40.39,,,,,,,,,
2016-11-02,RBLBANK,395.8,390.0,390.0,381.0,382.05,385.27,2677682,38631,1081621,40.39,,,,,,,,,
2016-11-03,RBLBANK,382.05,383.0,389.3,375.55,378.95,383.02,1872349,24413,654870,34.98,,,,,,,,,
2016-11-03,RBLBANK,382.05,383.0,389.3,375.55,378.95,383.02,1872349,24413,654870,34.98,,,,,,,,,
2016-11-04,RBLBANK,378.95,381.35,381.35,353.0,365.95,366.81,4093138,53332,1265464,30.92,,,,,,,,,
2016-11-04,RBLBANK,378.95,381.35,381.35,353.0,365.95,366.81,4093138,53332,1265464,30.92,,,,,,,,,
2016-11-07,RBLBANK,365.95,374.0,387.0,372.2,383.2,380.52,2143425,35205,760591,35.48,,,,,,,,,
2016-11-07,RBLBANK,365.95,374.0,387.0,372.2,383.2,380.52,2143425,35205,760591,35.48,,,,,,,,,
2016-11-08,RBLBANK,383.2,388.0,392.0,376.65,385.95,385.04,1945916,30822,658939,33.86,,,,,,,,,
2016-11-08,RBLBANK,383.2,388.0,392.0,376.65,385.95,385.04,1945916,30822,658939,33.86,,,,,,,,,
2016-11-09,RBLBANK,385.95,335.0,385.7,330.0,376.95,364.31,7489091,85676,2798986,37.37,,,,,,,,,
2016-11-09,RBLBANK,385.95,335.0,385.7,330.0,376.95,364.31,7489091,85676,2798986,37.37,,,,,,,,,
2016-11-10,RBLBANK,376.95,386.25,392.0,376.6,380.9,384.65,3426477,42538,1460818,42.63,,,,,,,,,
2016-11-10,RBLBANK,376.95,386.25,392.0,376.6,380.9,384.65,3426477,42538,1460818,42.63,,,,,,,,,
2016-11-11,RBLBANK,380.9,379.15,389.0,377.0,379.25,382.02,2213653,30613,1001984,45.26,,,,,,,,,
2016-11-11,RBLBANK,380.9,379.15,389.0,377.0,379.25,382.02,2213653,30613,1001984,45.26,,,,,,,,,
2016-11-15,RBLBANK,379.25,377.0,384.0,360.65,363.65,370.31,2301339,44230,1174611,51.04,,,,,,,,,
2016-11-15,RBLBANK,379.25,377.0,384.0,360.65,363.65,370.31,2301339,44230,1174611,51.04,,,,,,,,,
2016-11-16,RBLBANK,363.65,374.9,374.9,352.0,354.05,360.29,2884543,72003,1406217,48.75,,,,,,,,,
2016-11-16,RBLBANK,363.65,374.9,374.9,352.0,354.05,360.29,2884543,72003,1406217,48.75,,,,,,,,,
2016-11-17,RBLBANK,354.05,357.95,359.5,338.0,341.7,348.61,2473956,57094,1257243,50.82,,,,,,,,,
2016-11-17,RBLBANK,354.05,357.95,359.5,338.0,341.7,348.61,2473956,57094,1257243,50.82,,,,,,,,,
2016-11-18,RBLBANK,341.7,342.1,348.0,338.0,338.95,342.47,1969726,40214,887984,45.08,,,,,,,,,
2016-11-18,RBLBANK,341.7,342.1,348.0,338.0,338.95,342.47,1969726,40214,887984,45.08,,,,,,,,,
2016-11-21,RBLBANK,338.95,343.0,345.0,330.4,333.6,335.88,1668922,31068,620224,37.16,,,,,,,,,
2016-11-21,RBLBANK,338.95,343.0,345.0,330.4,333.6,335.88,1668922,31068,620224,37.16,,,,,,,,,
2016-11-22,RBLBANK,333.6,336.45,345.95,332.1,344.2,339.52,1410662,25721,547584,38.82,,,,,,,,,
2016-11-22,RBLBANK,333.6,336.45,345.95,332.1,344.2,339.52,1410662,25721,547584,38.82,,,,,,,,,
2016-11-23,RBLBANK,344.2,347.7,347.75,338.1,340.7,342.63,1324444,22157,733874,55.41,,,,,,,,,
2016-11-23,RBLBANK,344.2,347.7,347.75,338.1,340.7,342.63,1324444,22157,733874,55.41,,,,,,,,,
2016-11-24,RBLBANK,340.7,338.0,343.5,333.45,337.6,338.36,1137889,25891,486469,42.75,,,,,,,,,
2016-11-24,RBLBANK,340.7,338.0,343.5,333.45,337.6,338.36,1137889,25891,486469,42.75,,,,,,,,,
2016-11-25,RBLBANK,337.6,341.3,352.5,341.1,351.1,347.76,2139191,36462,874017,40.86,,,,,,,,,
2016-11-25,RBLBANK,337.6,341.3,352.5,341.1,351.1,347.76,2139191,36462,874017,40.86,,,,,,,,,
2016-11-28,RBLBANK,351.1,343.0,356.7,341.6,353.2,351.27,1775757,33118,718054,40.44,,,,,,,,,
2016-11-28,RBLBANK,351.1,343.0,356.7,341.6,353.2,351.27,1775757,33118,718054,40.44,,,,,,,,,
2016-11-29,RBLBANK,353.2,352.05,363.0,352.05,359.65,358.53,1515335,33443,621822,41.04,,,,,,,,,
2016-11-29,RBLBANK,353.2,352.05,363.0,352.05,359.65,358.53,1515335,33443,621822,41.04,,,,,,,,,
2016-11-30,RBLBANK,359.65,362.0,365.4,359.0,363.75,363.29,2231594,35605,1312769,58.83,,,,,,,,,
2016-11-30,RBLBANK,359.65,362.0,365.4,359.0,363.75,363.29,2231594,35605,1312769,58.83,,,,,,,,,
2016-12-01,RBLBANK,363.75,367.0,367.0,350.3,352.35,358.56,1136639,26033,513379,45.17,,,,,,,,,
2016-12-01,RBLBANK,363.75,367.0,367.0,350.3,352.35,358.56,1136639,26033,513379,45.17,,,,,,,,,
2016-12-02,RBLBANK,352.35,348.6,352.4,343.6,346.7,347.64,1280824,20217,556637,43.46,,,,,,,,,
2016-12-02,RBLBANK,352.35,348.6,352.4,343.6,346.7,347.64,1280824,20217,556637,43.46,,,,,,,,,
2016-12-05,RBLBANK,346.7,346.7,351.9,346.0,350.4,349.09,775558,10379,418948,54.02,,,,,,,,,
2016-12-05,RBLBANK,346.7,346.7,351.9,346.0,350.4,349.09,775558,10379,418948,54.02,,,,,,,,,
2016-12-06,RBLBANK,350.4,350.55,354.0,345.25,347.75,350.9,668599,15833,282905,42.31,,,,,,,,,
2016-12-06,RBLBANK,350.4,350.55,354.0,345.25,347.75,350.9,668599,15833,282905,42.31,,,,,,,,,
2016-12-07,RBLBANK,347.75,350.4,356.75,340.0,345.0,350.2,1530231,21868,669865,43.78,,,,,,,,,
2016-12-07,RBLBANK,347.75,350.4,356.75,340.0,345.0,350.2,1530231,21868,669865,43.78,,,,,,,,,
2016-12-08,RBLBANK,345.0,345.9,355.0,345.9,354.1,352.39,1075910,16563,491338,45.67,,,,,,,,,
2016-12-08,RBLBANK,345.0,345.9,355.0,345.9,354.1,352.39,1075910,16563,491338,45.67,,,,,,,,,
2016-12-09,RBLBANK,354.1,355.75,355.9,349.5,351.55,353.08,639742,10348,276480,43.22,,,,,,,,,
2016-12-09,RBLBANK,354.1,355.75,355.9,349.5,351.55,353.08,639742,10348,276480,43.22,,,,,,,,,
2016-12-12,RBLBANK,351.55,351.4,351.6,346.3,348.95,349.21,451324,9354,176089,39.02,,,,,,,,,
2016-12-12,RBLBANK,351.55,351.4,351.6,346.3,348.95,349.21,451324,9354,176089,39.02,,,,,,,,,
2016-12-13,RBLBANK,348.95,349.6,350.55,343.0,344.5,345.53,498168,11293,241467,48.47,,,,,,,,,
