Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,RECLTD,242.8,244.9,248.9,243.9,246.55,246.82,750094,,197185,0.2629,,,247.6,1324050.0,1877850.0,2010-01-28,-37050.0,,Undecisive
2010-01-05,RECLTD,246.55,249.5,250.95,245.55,248.2,248.12,727887,,336189,0.4619,,,248.9,980850.0,1844700.0,2010-01-28,-33150.0,1.3000000000000114,ShortCovering
2010-01-06,RECLTD,248.2,249.3,249.75,241.85,242.7,244.65,748900,,523263,0.6987000000000001,,,243.75,707850.0,2055300.0,2010-01-28,210600.0,-5.150000000000006,ShortBuildUp
2010-01-07,RECLTD,242.7,245.0,245.0,240.2,241.1,242.03,350229,,209153,0.5972,,,242.25,386100.0,2145000.0,2010-01-28,89700.0,-1.5,ShortBuildUp
2010-01-08,RECLTD,241.1,241.5,245.0,239.85,240.45,242.67,350300,,177981,0.5081,,,241.55,438750.0,2223000.0,2010-01-28,78000.0,-0.6999999999999886,ShortBuildUp
2010-01-11,RECLTD,240.45,242.0,255.2,242.0,252.9,248.76,1748964,,808812,0.4625,,,253.9,2677350.0,2162550.0,2010-01-28,-60450.0,12.349999999999994,ShortCovering
2010-01-12,RECLTD,252.9,255.7,257.8,250.65,252.6,254.17,1602692,,918142,0.5729,,,253.4,1842750.0,1967550.0,2010-01-28,-195000.0,-0.5,LongUnwinding
2010-01-13,RECLTD,252.6,252.0,259.7,250.9,255.7,255.9,2761364,,1423642,0.5156000000000001,,,256.25,2761200.0,1544400.0,2010-01-28,-423150.0,2.8499999999999943,ShortCovering
2010-01-14,RECLTD,255.7,257.95,274.8,256.85,271.7,267.61,2798585,,1021293,0.3649,,,271.05,4173000.0,1569750.0,2010-01-28,25350.0,14.800000000000011,LongBuildUp
2010-01-15,RECLTD,271.7,274.0,274.0,265.55,267.85,268.09,1354746,,805167,0.5943,,,266.65,1189500.0,1306500.0,2010-01-28,-263250.0,-4.400000000000034,LongUnwinding
2010-01-18,RECLTD,267.85,263.0,271.4,258.7,260.35,262.62,1693302,,1106897,0.6537000000000001,,,261.6,926250.0,1394250.0,2010-01-28,87750.0,-5.0499999999999545,ShortBuildUp
2010-01-19,RECLTD,260.35,262.0,274.35,261.5,264.8,268.46,1918677,,759992,0.3961,,,265.6,2318550.0,1505400.0,2010-01-28,111150.0,4.0,LongBuildUp
2010-01-20,RECLTD,264.8,265.0,269.0,261.1,263.45,264.11,1186747,,619486,0.522,,,263.85,807300.0,1431300.0,2010-01-28,-74100.0,-1.75,LongUnwinding
2010-01-21,RECLTD,263.45,264.0,269.5,261.1,265.4,266.25,1456755,,861309,0.5913,,,264.95,1111500.0,1285050.0,2010-01-28,-146250.0,1.099999999999966,ShortCovering
2010-01-22,RECLTD,265.4,258.0,264.9,254.0,259.55,259.49,1161310,,761025,0.6553,,,260.75,953550.0,1146600.0,2010-01-28,-138450.0,-4.199999999999989,LongUnwinding
2010-01-25,RECLTD,259.55,260.8,264.45,257.15,259.75,261.07,1314055,,841966,0.6406999999999999,,,259.25,813150.0,1021800.0,2010-01-28,-124800.0,-1.5,LongUnwinding
2010-01-27,RECLTD,259.75,259.0,262.85,237.05,239.55,250.92,2236454,,1661012,0.7427,,,239.4,889200.0,815100.0,2010-01-28,-206700.0,-19.849999999999994,LongUnwinding
2010-01-28,RECLTD,239.55,244.25,254.5,240.65,243.1,247.8,1589457,,847433,0.5332,,,243.3,1302600.0,327600.0,2010-01-28,-487500.0,3.9000000000000057,ShortCovering
2010-01-29,RECLTD,243.1,240.0,242.95,232.2,239.65,237.21,724022,,351728,0.4858,,,240.7,780000.0,1181700.0,2010-02-25,17550.0,-2.6000000000000227,ShortBuildUp
2010-02-01,RECLTD,239.65,240.05,248.75,237.05,247.2,243.93,692489,,289134,0.4175,91.02805534,,247.7,719550.0,1179750.0,2010-02-25,-1950.0,7.0,ShortCovering
2010-02-02,RECLTD,247.2,251.85,251.85,236.6,237.9,242.82,513351,,185744,0.3618,90.95935819,-0.07,238.4,840450.0,1193400.0,2010-02-25,13650.0,-9.299999999999983,ShortBuildUp
2010-02-03,RECLTD,237.9,240.0,244.0,239.05,240.35,241.51,409381,,178407,0.43579999999999997,90.90315142,-0.06,241.25,573300.0,1199250.0,2010-02-25,5850.0,2.8499999999999943,LongBuildUp
2010-02-04,RECLTD,240.35,240.5,242.45,236.0,237.65,238.87,335921,,169705,0.5052000000000001,90.9343774,0.03,237.2,421200.0,1170000.0,2010-02-25,-29250.0,-4.050000000000011,LongUnwinding
2010-02-05,RECLTD,237.65,234.0,235.7,227.0,234.25,231.36,424580,,162658,0.38310000000000005,90.89066103,-0.04,233.55,528450.0,1146600.0,2010-02-25,-23400.0,-3.6499999999999773,LongUnwinding
