Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,RELIANCE,1090.55,1091.1,1091.1,1021.85,1075.5,1044.44,17520006,,14348117,81900000.00000001,,,1079.35,,9659100.0,2010-01-28,1000800.0,,Undecisive
2010-01-05,RELIANCE,1075.5,1149.9,1149.9,1065.4,1070.7,1078.03,4890040,,2861065,58510000.0,,,1070.75,,10023000.0,2010-01-28,363900.0,-8.599999999999909,ShortBuildUp
2010-01-06,RELIANCE,1070.7,1079.9,1094.5,1070.65,1088.0,1084.64,5415538,,2539975,46900000.0,,,1092.5,,10773600.0,2010-01-28,750600.0,21.75,LongBuildUp
2010-01-07,RELIANCE,1088.0,1088.0,1115.0,1078.0,1106.05,1103.49,5988404,,2522438,42120000.0,,,1106.55,,11421000.0,2010-01-28,647400.0,14.049999999999955,LongBuildUp
2010-01-08,RELIANCE,1106.05,1108.0,1113.8,1096.0,1103.15,1104.79,3453926,,1253746,36299999.99999999,,,1105.35,,11282400.0,2010-01-28,-138600.0,-1.2000000000000455,LongUnwinding
2010-01-11,RELIANCE,1103.15,1134.7,1149.7,1050.0,1081.5,1059.88,43122135,,34958879,81069999.99999999,,,1086.0,,12719100.0,2010-01-28,1436700.0,-19.34999999999991,ShortBuildUp
2010-01-12,RELIANCE,1081.5,1095.0,1137.3,1077.0,1084.35,1092.17,7495359,,4085590,54510000.000000015,,,1082.9,,12417000.0,2010-01-28,-302100.0,-3.099999999999909,LongUnwinding
2010-01-13,RELIANCE,1084.35,1088.0,1092.0,1068.6,1088.6,1085.06,3511078,,1497490,42650000.0,,,1091.85,,12419400.0,2010-01-28,2400.0,8.949999999999818,LongBuildUp
2010-01-14,RELIANCE,1088.6,1086.0,1124.8,1086.0,1121.7,1113.84,5610718,,3016976,53770000.000000015,,,1120.75,,11820300.0,2010-01-28,-599100.0,28.90000000000009,ShortCovering
2010-01-15,RELIANCE,1121.7,1125.8,1138.9,1105.05,1110.75,1120.0,4289733,,2557750,59620000.0,,,1109.75,,11331600.0,2010-01-28,-488700.0,-11.0,LongUnwinding
2010-01-18,RELIANCE,1110.75,1107.0,1116.45,1091.95,1099.5,1105.59,3239525,,1519653,46910000.0,,,1098.6,,10931400.0,2010-01-28,-400200.0,-11.150000000000091,LongUnwinding
2010-01-19,RELIANCE,1099.5,1100.0,1106.05,1082.65,1085.0,1095.62,2986363,,1520965,50930000.0,,,1084.55,,11102100.0,2010-01-28,170700.0,-14.049999999999955,ShortBuildUp
2010-01-20,RELIANCE,1085.0,1095.0,1097.1,1072.0,1077.5,1084.31,4418747,,2726964,61710000.0,,,1076.5,,10654800.0,2010-01-28,-447300.0,-8.049999999999955,LongUnwinding
2010-01-21,RELIANCE,1077.5,1075.0,1077.0,1050.25,1054.05,1062.58,4254235,,2315611,54430000.0,,,1052.5,,10520400.0,2010-01-28,-134400.0,-24.0,LongUnwinding
2010-01-22,RELIANCE,1054.05,1041.0,1071.0,1029.5,1053.85,1053.09,9113512,,3938847,43220000.0,,,1051.15,,10282800.0,2010-01-28,-237600.0,-1.349999999999909,LongUnwinding
2010-01-25,RELIANCE,1053.85,1049.65,1054.4,1036.7,1042.05,1045.5,3061478,,1625799,53110000.0,,,1043.05,,9714600.0,2010-01-28,-568200.0,-8.100000000000136,LongUnwinding
2010-01-27,RELIANCE,1042.05,1034.0,1050.0,1020.0,1027.55,1032.66,5678803,,2746015,48360000.0,,,1025.55,,7504500.0,2010-01-28,-2210100.0,-17.5,LongUnwinding
2010-01-28,RELIANCE,1027.55,1040.0,1046.45,1025.0,1037.15,1037.35,7594324,,4237505,55800000.0,,,1037.1,,4628400.0,2010-01-28,-2876100.0,11.549999999999955,ShortCovering
2010-01-29,RELIANCE,1037.15,1032.9,1051.8,1018.1,1046.2,1035.23,5333541,,2154123,40390000.0,,,,,,,,,
2010-02-01,RELIANCE,1046.2,1037.5,1055.0,1035.55,1045.4,1046.54,2773369,,1095182,39490000.0,90.39886873,,1049.5,,11219100.0,2010-02-25,466200.0,12.400000000000091,LongBuildUp
2010-02-02,RELIANCE,1045.4,1052.0,1056.35,1024.1,1027.3,1037.43,3942831,,1795002,45530000.0,90.2014903,-0.2,1026.7,,11552700.0,2010-02-25,333600.0,-22.799999999999955,ShortBuildUp
2010-02-03,RELIANCE,1027.3,1031.1,1048.4,1031.1,1033.95,1039.18,3440695,,1578729,45880000.0,90.18968448,-0.01,1037.05,,11468700.0,2010-02-25,-84000.0,10.349999999999909,ShortCovering
2010-02-04,RELIANCE,1033.95,1038.0,1038.0,1014.0,1019.15,1027.44,2737193,,927033,33869999.99999999,90.08721372,-0.1,1018.75,,11328000.0,2010-02-25,-140700.0,-18.299999999999955,LongUnwinding
2010-02-05,RELIANCE,1019.15,975.0,1007.75,975.0,981.7,990.64,6830723,,3359846,49190000.0,89.67336465,-0.41,980.35,,11619000.0,2010-02-25,291000.0,-38.39999999999998,ShortBuildUp
2010-02-06,RELIANCE,981.7,990.0,997.5,985.4,993.75,992.34,647435,,194115,29980000.0,,,992.05,,11507400.0,2010-02-25,-111600.0,11.699999999999932,ShortCovering
2010-02-08,RELIANCE,993.75,985.0,1004.35,975.0,994.35,987.98,5919146,,2684910,45360000.0,89.51398617,-0.16,996.95,,11416800.0,2010-02-25,-90600.0,4.900000000000091,ShortCovering
2010-02-09,RELIANCE,994.35,993.75,998.0,982.7,993.25,991.87,3266918,,1319304,40380000.00000001,89.39786494,-0.12,996.55,,11389800.0,2010-02-25,-27000.0,-0.40000000000009095,LongUnwinding
