Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,SAIL,114.7,114.7,116.0,113.0,113.29,114.37,15470453,46086.0,6382530,41.26,-0.18
2025-03-25,SAIL,117.24,117.85,117.85,114.1,114.7,115.56,19985177,66617.0,7199800,36.03,-0.09
2025-03-24,SAIL,115.3,116.1,118.63,116.05,117.24,117.53,27623276,75515.0,10350452,37.47,0.29
2025-03-21,SAIL,113.96,114.0,115.89,113.45,115.3,114.96,25675545,77077.0,10176456,39.63,0.27
2025-03-20,SAIL,113.23,114.05,114.95,111.63,113.96,113.61,23249893,68866.0,8650030,37.2,0.08
2025-03-19,SAIL,108.91,113.5,114.4,110.61,113.23,112.65,47657793,123792.0,16020961,33.62,0.96
2025-03-18,SAIL,106.14,106.76,109.2,106.76,108.91,108.38,17364444,56033.0,7477480,43.06,-0.05
2025-03-17,SAIL,105.89,106.65,107.33,105.05,106.14,106.26,15750246,47143.0,3931248,24.96,-0.48
2025-03-13,SAIL,106.66,107.19,109.68,105.53,105.89,107.8,24988240,70171.0,6830951,27.34,-0.13
2025-03-12,SAIL,108.13,108.45,108.89,104.85,106.66,106.35,23131611,92027.0,9415523,40.7,0.18
2025-03-11,SAIL,107.27,105.5,108.82,104.6,108.13,106.57,32428743,88537.0,11704190,36.09,0.45
2025-03-10,SAIL,110.91,110.9,112.66,106.8,107.27,109.91,24250223,76646.0,8342671,34.4,0.05
2025-03-07,SAIL,111.97,111.5,112.91,110.2,110.91,111.66,21834195,74229.0,6987536,32,-0.11
2025-03-06,SAIL,112.53,113.5,114.9,110.9,111.97,112.83,34685528,104850.0,12974112,37.4,0.6
2025-03-05,SAIL,107.66,107.5,112.9,107.5,112.53,110.76,39444472,111123.0,16432590,41.66,1.01
2025-03-04,SAIL,106.36,104.58,108.8,104.06,107.66,107.17,25741726,83116.0,8391407,32.6,0.05
2025-03-03,SAIL,105.02,105.3,107.3,102.73,106.36,105.26,23398877,79128.0,7619282,32.56,-0.04
2025-02-28,SAIL,105.98,104.75,105.5,101.6,105.02,103.89,27074952,88215.0,9648755,35.64,0.2
2025-02-27,SAIL,106.17,106.2,107.98,104.67,105.98,105.74,18631329,72669.0,6877989,36.92,-0.13
2025-02-25,SAIL,108.21,108.11,109.49,105.8,106.17,107.25,18825311,85926.0,4845251,25.74,-0.37
2025-02-24,SAIL,112.76,111.1,112.17,107.65,108.21,109.23,24208995,113317.0,6247745,25.81,-0.2
2025-02-21,SAIL,109.84,109.3,115.16,108.75,112.76,112.77,44746596,168086.0,9411744,21.03,0.18
2025-02-20,SAIL,106.53,106.0,110.45,105.55,109.84,108.61,13193348,52370.0,3764861,28.54,-0.5
2025-02-19,SAIL,104.39,103.41,107.19,103.35,106.53,106.12,10954930,43633.0,2244266,20.49,-0.68
2025-02-18,SAIL,105.33,104.79,105.75,102.0,104.39,103.39,13096291,55396.0,1908485,14.57,-0.72
2025-02-17,SAIL,105.71,104.4,105.8,102.57,105.33,104.42,14572452,55690.0,2225433,15.27,-0.68
2025-02-14,SAIL,109.33,110.1,113.2,104.43,105.71,108.34,32127888,110824.0,4000303,12.45,-0.47
2025-02-13,SAIL,105.75,105.38,111.3,104.95,109.33,109.59,36029038,117044.0,6952693,19.3,-0.12
2025-02-12,SAIL,100.02,100.1,106.07,99.15,105.75,103.28,49570655,150260.0,6613487,13.34,-0.16
2025-02-11,SAIL,105.18,105.19,105.35,99.5,100.02,101.71,19394967,93773.0,6586955,33.96,-0.16
2025-02-10,SAIL,110.32,109.05,109.5,104.81,105.18,105.85,14604374,68806.0,3975656,27.22,-0.47
2025-02-07,SAIL,107.98,108.05,111.3,107.46,110.32,109.82,22943084,78297.0,6301989,27.47,-0.19
2025-02-06,SAIL,108.84,109.0,109.66,107.19,107.98,108.09,8883930,36060.0,2245091,25.27,-0.68
2025-02-05,SAIL,106.68,106.68,109.65,106.68,108.84,108.51,12920395,50576.0,2956121,22.88,-0.59
2025-02-04,SAIL,102.27,104.0,107.27,103.7,106.68,105.84,14409187,62553.0,3259094,22.62,-0.56
2025-02-03,SAIL,106.53,104.0,104.31,100.3,102.27,101.83,16535047,88682.0,4246774,25.68,-0.44
2025-02-01,SAIL,107.43,107.69,108.3,104.4,106.53,106.54,12068981,69500.0,2996253,24.83,-0.59
2025-01-31,SAIL,105.45,105.58,108.19,103.96,107.43,106.76,15726923,58083.0,4833557,30.73,-0.37
2025-01-30,SAIL,104.36,104.5,106.6,104.1,105.45,105.39,11418706,55408.0,2232678,19.55,-0.68
2025-01-29,SAIL,102.84,103.0,105.17,103.0,104.36,104.12,10829311,50097.0,2438689,22.52,-0.65
2025-01-28,SAIL,103.43,105.0,105.0,101.2,102.84,103.12,12819834,65085.0,2359069,18.4,-0.66
2025-01-27,SAIL,108.17,106.75,106.95,102.86,103.43,104.38,14423517,75050.0,4105498,28.46,-0.46
2025-01-24,SAIL,109.14,109.0,110.8,107.58,108.17,109.26,11993883,51977.0,1913249,15.95,-0.72
2025-01-23,SAIL,107.1,106.58,109.85,106.5,109.14,108.7,7849758,40467.0,1809504,23.05,-0.73
2025-01-22,SAIL,109.88,109.51,110.4,104.77,107.1,106.76,12682214,56200.0,2696203,21.26,-0.62
2025-01-21,SAIL,109.87,110.0,111.57,108.2,109.88,109.93,17016648,58700.0,5620689,33.03,-0.28
2025-01-20,SAIL,108.82,109.0,110.25,107.73,109.87,109.28,11548609,47022.0,3097823,26.82,-0.58
2025-01-17,SAIL,107.52,107.1,109.45,106.93,108.82,108.46,9191948,46957.0,2361294,25.69,-0.66
2025-01-16,SAIL,105.21,106.5,108.39,105.93,107.52,107.27,10971452,56198.0,2745833,25.03,-0.62
2025-01-15,SAIL,105.88,106.3,107.74,104.4,105.21,106.27,10322196,49348.0,2511855,24.33,-0.65
2025-01-14,SAIL,100.09,101.69,106.34,101.32,105.88,104.61,19913009,85858.0,4949955,24.86,-0.36
2025-01-13,SAIL,106.03,104.9,105.5,99.66,100.09,102.2,21293325,117031.0,8120663,38.14,0.02
2025-01-10,SAIL,108.26,108.26,109.1,104.8,106.03,106.93,18718493,95181.0,5073509,27.1,-0.34
2025-01-09,SAIL,109.76,110.1,110.63,108.05,108.26,108.83,11144353,58806.0,4205885,37.74,-0.44
2025-01-08,SAIL,111.47,111.2,111.45,109.05,109.76,109.97,15060506,65743.0,5958258,39.56,-0.24
2025-01-07,SAIL,110.42,110.42,112.25,110.42,111.47,111.54,7161545,39441.0,1747126,24.4,-0.74
2025-01-06,SAIL,114.17,114.1,114.55,110.0,110.42,111.03,17656887,77643.0,8164580,46.24,0.03
2025-01-03,SAIL,114.07,113.9,115.9,113.5,114.17,114.92,9466354,44528.0,2581922,27.27,-0.64
2025-01-02,SAIL,112.93,112.93,114.35,112.03,114.07,113.47,7663473,42081.0,1967321,25.67,-0.71
2025-01-01,SAIL,113.13,112.52,113.33,112.15,112.93,112.87,7512039,43074.0,2035419,27.1,-0.7
2024-12-31,SAIL,111.73,111.73,113.65,111.31,113.13,112.67,8967876,44776.0,2304286,25.69,-0.67
2024-12-30,SAIL,115.53,115.5,115.51,111.0,111.73,113.16,14270907,84023.0,5068919,35.52,-0.34
2024-12-27,SAIL,117.59,117.47,118.49,115.27,115.53,116.66,7502006,41917.0,2035859,27.14,-0.7
2024-12-26,SAIL,119.06,118.51,119.4,116.26,117.59,117.45,15502315,64021.0,4932386,31.82,-0.36
