DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,36.549999999999955,Bearish,1,1
High,High,Very Low,16.89600000000001,Bearish,25,25
High,Low,Low,14.110000000000007,Bearish,15,15
High,Low,Very Low,19.734375000000014,Bearish,16,16
High,Medium,Low,16.92142857142856,Bearish,7,7
High,Medium,Very Low,20.01500000000001,Bullish,30,30
High,Very High,High,19.48333333333335,Bullish,3,3
High,Very High,Low,10.575000000000045,Bearish,2,2
High,Very High,Medium,18.26249999999996,Bearish,4,4
High,Very High,Very High,15.449999999999989,Bearish,2,2
High,Very High,Very Low,17.450000000000045,Bearish,2,2
High,Very Low,Low,19.44000000000002,Bullish,10,10
High,Very Low,Medium,17.07222222222222,Bearish,9,9
Low,High,High,16.599999999999966,Doji,2,2
Low,High,Medium,24.950000000000045,Bearish,1,1
Low,Low,Very Low,18.51857142857144,Bullish,35,35
Low,Medium,Low,24.5,Bullish,1,1
Low,Medium,Very Low,18.25,Bullish,2,2
Low,Very Low,Low,18.151923076923087,Bearish,26,26
Low,Very Low,Medium,17.537499999999966,Bullish,4,4
Low,Very Low,Very Low,17.07500000000001,Bearish,56,56
Medium,High,High,38.05000000000007,Bearish,1,1
Medium,High,Low,25.700000000000045,Bearish,1,1
Medium,High,Medium,19.775000000000034,Bullish,2,2
Medium,High,Very Low,9.475000000000023,Bullish,2,2
Medium,Low,Low,29.600000000000023,Bullish,1,1
Medium,Low,Very Low,16.491406250000008,Bearish,64,64
Medium,Medium,Very Low,17.633333333333344,Bearish,21,21
Medium,Very High,Very High,19.19999999999999,Bearish,2,2
Medium,Very Low,Low,16.512500000000006,Bullish,20,20
Medium,Very Low,Very Low,13.449999999999998,Bullish,12,12
Very High,High,Low,18.81875000000001,Bearish,16,16
Very High,High,Medium,14.40000000000002,Bearish,8,8
Very High,High,Very Low,30.300000000000026,Bullish,8,8
Very High,Low,Low,22.76666666666665,Bullish,6,6
Very High,Low,Medium,24.650000000000016,Bearish,3,3
Very High,Medium,Low,17.003846153846187,Bearish,13,13
Very High,Medium,Medium,13.950000000000045,Bearish,2,2
Very High,Very High,High,14.389999999999986,Bullish,5,5
Very High,Very High,Low,20.93846153846153,Bearish,13,13
Very High,Very High,Medium,27.08749999999999,Bullish,8,8
Very High,Very High,Very High,12.912500000000003,Bearish,12,12
Very High,Very High,Very Low,18.609523809523818,Bearish,21,21
Very High,Very Low,Medium,26.12500000000001,Bullish,10,10
Very High,Very Low,Very Low,10.974999999999966,Bearish,2,2
Very Low,High,Very High,21.43333333333332,Bearish,3,3
Very Low,Low,High,19.666666666666668,Bullish,3,3
Very Low,Low,Low,19.01666666666665,Bearish,3,3
Very Low,Low,Medium,11.950000000000045,Bullish,1,1
Very Low,Low,Very High,21.800000000000068,Bullish,2,2
Very Low,Low,Very Low,21.691666666666645,Bullish,6,6
Very Low,Medium,High,10.050000000000011,Bullish,2,2
Very Low,Medium,Very High,22.133333333333365,Bullish,3,3
Very Low,Very High,Very High,13.599999999999966,Bearish,2,2
Very Low,Very Low,High,20.02142857142857,Bearish,7,7
Very Low,Very Low,Low,20.870454545454546,Bullish,22,22
Very Low,Very Low,Medium,15.714999999999998,Bearish,10,10
Very Low,Very Low,Very High,25.033333333333342,Bearish,6,6
Very Low,Very Low,Very Low,18.619298245614054,Bearish,57,57
