Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,SBIN,813.65,816.2,818.4,805.15,809.8,811.05,14247597,175051.0,8650476,60.72,0.11
2025-06-02,SBIN,812.3,812.85,822.55,809.2,813.65,814.73,26891575,218771.0,15831348,58.87,1.41
2025-05-30,SBIN,797.35,798.0,814.5,792.6,812.3,807.33,22037314,217715.0,14641733,66.44,1.2
2025-05-29,SBIN,796.55,799.0,800.4,791.35,797.35,794.95,14034127,281565.0,7075872,50.42,-0.17
2025-05-28,SBIN,793.7,794.5,798.9,792.65,796.55,796.29,6873519,113841.0,3302311,48.04,-0.85
2025-05-27,SBIN,794.4,794.4,801.35,790.05,793.7,795.55,11995043,178381.0,5896957,49.16,-0.38
2025-05-26,SBIN,790.5,792.0,797.55,789.2,794.4,794.09,4965466,98636.0,2019564,40.67,-1.09
2025-05-23,SBIN,785.25,787.9,794.95,786.2,790.5,790.74,5534158,106313.0,2097387,37.9,-1.07
2025-05-22,SBIN,787.1,788.0,788.2,780.3,785.25,784.47,7355826,160443.0,3056122,41.55,-0.9
2025-05-21,SBIN,785.65,787.0,791.0,779.1,787.1,786.0,8206040,130051.0,3107771,37.87,-0.89
2025-05-20,SBIN,795.0,798.15,799.4,783.8,785.65,788.84,11324667,169563.0,6042885,53.36,-0.36
2025-05-19,SBIN,792.1,792.1,801.4,792.1,795.0,796.74,10666184,194011.0,4652671,43.62,-0.61
2025-05-16,SBIN,807.75,804.0,804.0,791.0,792.1,794.09,14733924,241785.0,7926803,53.8,-0.02
2025-05-15,SBIN,800.7,804.45,809.45,794.5,807.75,802.04,17058854,200305.0,7580614,44.44,-0.08
2025-05-14,SBIN,801.75,805.75,807.5,796.3,800.7,801.49,9281719,146698.0,4880805,52.59,-0.57
2025-05-13,SBIN,801.65,798.6,807.65,797.2,801.75,802.32,13909596,201551.0,6430668,46.23,-0.29
