Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2015-01-15,SBIN,320.3,152.27,2.05,313.64
2015-05-22,SBIN,282.45,83.87,1.73,-28.06
2015-06-03,SBIN,257.4,69.84,1.38,149.21
2015-08-12,SBIN,256.35,172.22,1.93,363.89
2015-08-18,SBIN,284.8,106.12,1.15,128.57
2016-05-16,SBIN,176.8,309.09,1.29,277.27000000000004
2016-09-07,SBIN,266.8,3400.0,1.21,2650.0
2016-11-15,SBIN,278.2,234.33,2.27,104.48
2017-01-02,SBIN,243.6,2200.0,1.21,3850.0
2017-05-22,SBIN,294.3,148.39,1.46,87.09
2017-06-27,SBIN,279.65,247.06,1.26,494.12
2017-07-31,SBIN,312.5,119.8,2.41,118.81000000000002
2018-01-18,SBIN,303.25,232.65,2.0,175.51000000000002
2018-01-23,SBIN,318.1,126.76,1.98,152.11
2018-02-06,SBIN,291.75,106.35,1.57,142.86
2018-02-12,SBIN,288.75,136.89,2.78,90.98000000000002
2018-03-28,SBIN,249.9,1940.0,1.67,1400.0
2018-08-09,SBIN,317.4,224.62,1.59,20.0
2018-10-05,SBIN,258.35,248.72,1.43,117.95000000000002
2019-02-25,SBIN,270.15,128.57,1.18,714.29
2019-03-15,SBIN,298.4,396.15,2.01,376.93000000000006
2019-05-27,SBIN,361.7,546.15,1.2,376.93000000000006
2019-06-27,SBIN,362.15,1240.0,1.46,1680.0
2019-07-19,SBIN,356.0,1250.0,1.13,4400.0
2020-03-04,SBIN,285.3,172.39,1.82,-60.72999999999999
2020-03-18,SBIN,215.2,114.17,3.42,-20.980000000000004
2020-03-25,SBIN,189.9,97.83,1.38,-48.01
2020-03-26,SBIN,192.75,123.42,3.84,-17.629999999999995
2020-04-13,SBIN,183.5,168.63,1.3,-41.17999999999999
2020-04-21,SBIN,184.75,149.58,1.53,-21.01000000000002
2020-04-28,SBIN,184.3,328.57,2.02,83.67000000000002
2020-05-12,SBIN,166.9,134.34,2.86,10.099999999999994
2020-05-20,SBIN,153.4,174.29,3.19,53.57000000000002
2020-06-15,SBIN,173.7,190.91,1.17,-94.22
2020-11-09,SBIN,219.5,307.14,1.81,-48.56999999999999
2020-11-27,SBIN,244.25,385.42,1.91,12.5
2020-12-07,SBIN,269.6,273.83,4.01,100.94
2021-01-14,SBIN,307.25,175.38,1.14,0.0
2021-03-03,SBIN,405.05,111.54,1.54,6.919999999999988
2021-03-04,SBIN,395.65,133.67,2.18,88.78
2021-03-19,SBIN,371.15,114.36,2.39,12.769999999999996
2021-04-30,SBIN,353.5,170.09,1.42,-37.38
2021-05-24,SBIN,412.05,115.93,6.44,3.3299999999999983
2021-07-30,SBIN,431.8,91.84,1.5,61.22
2021-09-17,SBIN,454.1,75.16,1.72,31.67
2021-10-28,SBIN,501.35,70.51,1.07,66.67
2022-01-27,SBIN,528.95,50.28,1.38,25.959999999999997
2022-03-08,SBIN,440.3,59.15,2.31,49.3
2022-05-13,SBIN,444.65,64.33,2.82,18.129999999999995
2023-02-02,SBIN,528.1,45.08,1.89,32.379999999999995
2023-05-19,SBIN,575.15,83.89,1.59,22.819999999999997
2023-08-04,SBIN,573.3,55.14,2.61,26.17
2024-02-08,SBIN,699.55,44.1,4.72,29.190000000000005
2024-02-14,SBIN,743.4,37.55,1.22,9.190000000000005
2024-03-13,SBIN,747.25,22.78,1.21,28.27
2024-03-27,SBIN,733.3,57.14,1.8,103.57
2024-06-04,SBIN,775.2,38.06,8.15,21.26
2024-09-26,SBIN,801.85,48.39,1.67,220.96000000000004
2024-10-29,SBIN,832.7,18.97,1.53,33.79
