DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,610.084615384615,Bullish,13,13
High,High,Very Low,503.60000000000025,Bearish,34,34
High,Low,Low,554.0869565217391,Bullish,23,23
High,Low,Medium,706.9714285714284,Bullish,7,7
High,Medium,Low,575.2350000000002,Bearish,20,20
High,Medium,Very Low,498.69285714285695,Bullish,7,7
High,Very High,High,557.6799999999992,Bearish,10,10
High,Very High,Low,717.1055555555558,Bearish,9,9
High,Very High,Medium,548.3666666666672,Bullish,18,18
High,Very High,Very High,542.0343750000004,Bullish,16,16
High,Very High,Very Low,344.25,Bearish,1,1
High,Very Low,Medium,633.1794117647061,Bearish,51,51
High,Very Low,Very Low,507.9900000000005,Bearish,5,5
Low,High,Medium,509.09999999999854,Bearish,1,1
Low,Low,Low,487.2529411764712,Bearish,17,17
Low,Low,Medium,568.8249999999998,Bearish,2,2
Low,Low,Very Low,563.2106194690268,Bearish,113,113
Low,Medium,High,445.0583333333337,Bullish,6,6
Low,Medium,Medium,484.78333333333404,Bearish,3,3
Low,Medium,Very Low,663.6499999999996,Bearish,2,2
Low,Very High,Very High,446.75,Bearish,1,1
Low,Very Low,Low,577.8385416666667,Bearish,48,48
Low,Very Low,Medium,525.0961538461542,Bearish,13,13
Low,Very Low,Very Low,499.2999999999998,Bearish,7,7
Medium,High,High,434.90000000000146,Bullish,2,2
Medium,High,Low,606.859375,Bearish,16,16
Medium,High,Medium,485.5499999999993,Bearish,4,4
Medium,High,Very Low,966.1062500000003,Bearish,8,8
Medium,Low,Low,509.7499999999996,Bearish,18,18
Medium,Low,Very Low,505.67857142857144,Bullish,14,14
Medium,Medium,Low,733.6166666666662,Bearish,3,3
Medium,Medium,Very Low,556.1693548387096,Bearish,93,93
Medium,Very High,High,774.8000000000003,Bearish,7,7
Medium,Very High,Medium,455.0,Bearish,1,1
Medium,Very High,Very High,768.0916666666668,Bearish,6,6
Medium,Very Low,Low,549.9250000000008,Bearish,14,14
Medium,Very Low,Medium,566.4600000000002,Bullish,25,25
Medium,Very Low,Very Low,372.5,Bearish,2,2
Very High,High,Low,560.4869565217389,Bearish,23,23
Very High,High,Medium,669.25,Bearish,7,7
Very High,High,Very Low,923.3999999999996,Bullish,1,1
Very High,Low,Low,712.4599999999991,Bullish,5,5
Very High,Low,Medium,710.9773809523808,Bullish,42,42
Very High,Medium,Low,609.1500000000002,Bullish,15,15
Very High,Medium,Medium,614.4236842105263,Bearish,19,19
Very High,Very High,Low,535.1692307692311,Bearish,13,13
Very High,Very High,Medium,455.52499999999935,Bullish,6,6
Very High,Very High,Very High,485.7937500000003,Bullish,8,8
Very High,Very High,Very Low,653.504166666667,Bullish,12,12
Very High,Very Low,Medium,587.3650000000004,Bearish,60,60
Very High,Very Low,Very Low,421.88333333333384,Bullish,3,3
Very Low,High,Very High,492.75000000000074,Bullish,5,5
Very Low,Low,High,654.3800000000007,Bullish,5,5
Very Low,Low,Low,454.9352941176479,Bearish,17,17
Very Low,Low,Medium,516.7388888888895,Bullish,9,9
Very Low,Low,Very High,539.4166666666665,Bullish,12,12
Very Low,Low,Very Low,498.5642857142856,Bearish,7,7
Very Low,Medium,High,318.15000000000146,Bearish,1,1
Very Low,Medium,Very High,584.7333333333336,Bearish,3,3
Very Low,Very High,Very High,670.9125000000004,Bearish,4,4
Very Low,Very Low,High,519.9346153846152,Bearish,13,13
Very Low,Very Low,Low,558.5006944444447,Bullish,72,72
Very Low,Very Low,Medium,444.73478260869564,Bearish,23,23
Very Low,Very Low,Very High,429.58125000000064,Bullish,8,8
Very Low,Very Low,Very Low,504.96250000000055,Bearish,36,36
