Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,SIEMENS,2024-12-26,7871.3,7988.95,7860.0,7938.65,7938.65,197175,2629.0,1811250,15000
2024-12-11,SIEMENS,2024-12-26,7947.95,7955.0,7871.65,7903.75,7903.75,214200,2856.0,1796250,-12900
2024-12-10,SIEMENS,2024-12-26,7906.05,7925.0,7813.8,7916.7,7916.7,245175,3269.0,1809150,-18525
2024-12-09,SIEMENS,2024-12-26,7820.1,7951.0,7776.85,7869.35,7869.35,305625,4075.0,1827675,27150
2024-12-06,SIEMENS,2024-12-26,7811.75,7913.9,7788.0,7826.9,7826.9,229800,3064.0,1800525,6525
2024-12-05,SIEMENS,2024-12-26,7831.8,7869.15,7761.45,7825.15,7825.15,270150,3602.0,1794000,-14625
2024-12-04,SIEMENS,2024-12-26,7789.9,7966.6,7748.95,7785.75,7785.75,592950,7906.0,1808625,-18375
2024-12-03,SIEMENS,2024-12-26,7629.45,7773.1,7620.55,7752.9,7752.9,387600,5168.0,1827000,-45600
2024-12-02,SIEMENS,2024-12-26,7600.0,7683.0,7536.7,7614.65,7614.65,348000,4640.0,1872600,-38325
2024-11-29,SIEMENS,2024-12-26,7498.6,7675.0,7455.0,7609.1,7609.1,582750,7770.0,1910925,-28125
2024-11-28,SIEMENS,2024-11-28,7470.0,7584.05,7403.85,7436.75,7420.0,495525,6607.0,151875,-254475
2024-11-27,SIEMENS,2024-11-28,7440.05,7618.25,7304.9,7447.65,7447.65,1177500,15700.0,406350,-397575
2024-11-26,SIEMENS,2024-11-28,7361.05,7395.5,7231.45,7256.95,7256.95,941325,12551.0,803925,-565350
2024-11-25,SIEMENS,2024-11-28,6948.0,7404.25,6948.0,7357.4,7357.4,1500750,20010.0,1369275,-499050
2024-11-22,SIEMENS,2024-11-28,6673.25,6977.0,6637.9,6861.65,6861.65,712275,9497.0,1868325,-60150
2024-11-21,SIEMENS,2024-11-28,6669.85,6704.4,6555.15,6650.5,6650.5,270075,3601.0,1928475,-825
2024-11-19,SIEMENS,2024-11-28,6637.35,6797.6,6618.15,6656.85,6656.85,282900,3772.0,1929300,10200
2024-11-18,SIEMENS,2024-11-28,6799.0,6835.7,6615.0,6637.3,6637.3,252525,3367.0,1919100,-8625
2024-11-14,SIEMENS,2024-11-28,6791.8,6791.8,6610.0,6743.95,6743.95,348075,4641.0,1927725,17925
2024-11-13,SIEMENS,2024-11-28,6808.9,6838.2,6661.4,6728.75,6728.75,450375,6005.0,1909800,-5325
2024-11-12,SIEMENS,2024-11-28,7080.0,7132.75,6782.65,6808.2,6808.2,522675,6969.0,1915125,35700
2024-11-11,SIEMENS,2024-11-28,7168.1,7190.0,7060.1,7074.55,7074.55,314400,4192.0,1879425,15075
2024-11-08,SIEMENS,2024-11-28,7099.0,7254.9,7018.85,7176.85,7176.85,439425,5859.0,1864350,4800
2024-11-07,SIEMENS,2024-11-28,7114.95,7170.35,6970.55,7090.3,7090.3,234075,3121.0,1859550,-3150
2024-11-06,SIEMENS,2024-11-28,7000.6,7139.05,6962.5,7094.1,7094.1,367800,4904.0,1862700,-10875
2024-11-05,SIEMENS,2024-11-28,6914.9,7015.0,6838.75,6976.15,6976.15,470025,6267.0,1873575,-42375
2024-11-04,SIEMENS,2024-11-28,6999.95,7018.0,6804.6,6974.85,6974.85,438750,5850.0,1915950,-24075
2024-11-01,SIEMENS,2024-11-28,7012.45,7041.1,6904.9,6957.25,6957.25,39900,532.0,1940025,4125
2024-10-31,SIEMENS,2024-10-31,6935.55,6994.1,6906.2,6960.35,6976.3,433800,2892.0,172500,-236250
