Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2012-10-10,SIEMENS,683.35,1875.0,1.48,1825.0
2013-03-28,SIEMENS,548.65,547.62,1.87,342.86
2016-06-30,SIEMENS,1309.7,672.73,1.08,309.09000000000003
2018-11-14,SIEMENS,885.8,173.55,2.08,-1.6500000000000057
2018-11-30,SIEMENS,950.65,348.25,28.0,263.1
2018-12-05,SIEMENS,906.35,165.52,2.97,90.50999999999996
2018-12-11,SIEMENS,937.6,240.43,2.55,30.84999999999997
2019-03-28,SIEMENS,1088.05,595.65,1.83,200.0
2019-10-17,SIEMENS,1622.55,195.0,1.46,48.33000000000001
2019-11-18,SIEMENS,1554.6,295.0,2.46,115.0
2019-11-21,SIEMENS,1543.15,115.69,1.22,3.9200000000000017
2020-03-31,SIEMENS,1113.4,107.41,2.2,96.29
2020-05-29,SIEMENS,1089.2,178.23,1.43,-62.91
2020-06-04,SIEMENS,1113.4,109.26,1.2,112.96
2020-12-15,SIEMENS,1536.45,509.09,0.99,390.91
2021-08-11,SIEMENS,2191.4,112.95,4.59,-59.89
2022-10-20,SIEMENS,2875.9,65.6,1.27,36.0
2023-05-19,SIEMENS,3722.7,97.78,1.42,60.0
2023-10-04,SIEMENS,3501.4,74.62,1.79,63.06999999999999
2023-10-11,SIEMENS,3558.5,32.39,1.01,109.86
2023-11-29,SIEMENS,3635.75,80.95,1.39,29.36999999999999
2023-12-28,SIEMENS,3959.85,70.23,1.91,75.57000000000001
2024-08-09,SIEMENS,6889.5,45.21,1.11,13.829999999999998
2024-11-25,SIEMENS,7348.5,60.46,2.82,4.369999999999997
2025-02-03,SIEMENS,5225.9,45.1,3.7,5.93
2025-02-13,SIEMENS,5105.25,34.98,1.52,-3.699999999999996
2025-03-05,SIEMENS,5085.75,37.39,1.68,35.650000000000006
2025-04-04,SIEMENS,4928.15,57.62,2.84,36.42000000000001
2025-05-08,SIEMENS,2838.6,50.81,1.06,-8.07
