Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,SRF,2024-12-26,2335.9,2353.4,2298.85,2306.9,2306.9,637875,1701.0,5762625,-49500
2024-12-11,SRF,2024-12-26,2340.2,2377.0,2340.2,2347.35,2347.35,592125,1579.0,5812125,-59625
2024-12-10,SRF,2024-12-26,2325.9,2371.6,2312.05,2353.9,2353.9,1139250,3038.0,5871750,-4875
2024-12-09,SRF,2024-12-26,2290.4,2322.0,2263.55,2310.05,2310.05,895875,2389.0,5876625,13875
2024-12-06,SRF,2024-12-26,2315.05,2340.05,2299.0,2306.5,2306.5,501750,1338.0,5862750,-24375
2024-12-05,SRF,2024-12-26,2315.35,2346.0,2309.3,2328.8,2328.8,579750,1546.0,5887125,-73125
2024-12-04,SRF,2024-12-26,2310.0,2353.55,2310.0,2337.6,2337.6,829500,2212.0,5960250,-99000
2024-12-03,SRF,2024-12-26,2311.7,2332.55,2296.95,2317.95,2317.95,550500,1468.0,6059250,-97875
2024-12-02,SRF,2024-12-26,2286.75,2322.95,2257.6,2311.8,2311.8,668625,1783.0,6157125,-103875
2024-11-29,SRF,2024-12-26,2260.05,2299.6,2260.05,2279.75,2279.75,733125,1955.0,6261000,103500
2024-11-28,SRF,2024-11-28,2298.95,2308.9,2250.65,2259.1,2262.4,1253625,3343.0,207000,-733875
2024-11-27,SRF,2024-11-28,2244.85,2300.5,2222.65,2296.9,2296.9,2331000,6216.0,940875,-1744875
2024-11-26,SRF,2024-11-28,2242.25,2251.95,2224.9,2233.75,2233.75,1748625,4663.0,2685750,-1259625
2024-11-25,SRF,2024-11-28,2197.0,2236.7,2178.0,2224.75,2224.75,2257875,6021.0,3945375,-1262625
2024-11-22,SRF,2024-11-28,2126.7,2187.2,2126.7,2168.1,2168.1,1980375,5281.0,5208000,-678750
2024-11-21,SRF,2024-11-28,2217.2,2217.2,2135.55,2143.65,2143.65,1161000,3096.0,5886750,-1125
2024-11-19,SRF,2024-11-28,2198.5,2233.25,2190.7,2203.35,2203.35,966750,2578.0,5887875,-103875
2024-11-18,SRF,2024-11-28,2237.05,2248.95,2177.25,2184.5,2184.5,1224000,3264.0,5991750,213000
2024-11-14,SRF,2024-11-28,2233.4,2249.5,2196.7,2237.0,2237.0,781125,2083.0,5778750,-65250
2024-11-13,SRF,2024-11-28,2251.1,2253.0,2191.7,2206.65,2206.65,1428000,3808.0,5844000,-231750
2024-11-12,SRF,2024-11-28,2290.45,2317.8,2244.95,2254.0,2254.0,784875,2093.0,6075750,2625
2024-11-11,SRF,2024-11-28,2288.0,2306.25,2262.05,2297.25,2297.25,1327500,3540.0,6077625,-66375
2024-11-08,SRF,2024-11-28,2347.35,2386.35,2287.2,2305.4,2305.4,1307250,3486.0,6144000,25500
2024-11-07,SRF,2024-11-28,2345.15,2388.75,2345.15,2382.2,2382.2,1434375,3825.0,6118500,-123000
2024-11-06,SRF,2024-11-28,2326.9,2365.0,2309.4,2357.0,2357.0,1209375,3225.0,6241500,81750
2024-11-05,SRF,2024-11-28,2250.4,2314.0,2244.4,2304.05,2304.05,1215000,3240.0,6159750,-203250
2024-11-04,SRF,2024-11-28,2268.75,2268.8,2233.1,2256.9,2256.9,1248000,3328.0,6363000,50625
2024-11-01,SRF,2024-11-28,2260.25,2270.5,2252.8,2259.95,2259.95,54750,146.0,6312375,0
2024-10-31,SRF,2024-10-31,2249.25,2257.9,2226.7,2242.4,2243.15,1457625,3887.0,376500,-655125
2024-10-30,SRF,2024-10-31,2255.1,2287.15,2247.25,2266.85,2266.85,1655625,4415.0,1031625,-988875
2024-10-29,SRF,2024-10-31,2273.25,2279.55,2226.95,2264.15,2264.15,2089125,5571.0,2020500,-1239750
2024-10-28,SRF,2024-10-31,2217.95,2270.75,2206.65,2257.7,2257.7,3010500,8028.0,3260250,-1628625
2024-10-25,SRF,2024-10-31,2262.45,2262.45,2193.9,2212.05,2212.05,2443500,6516.0,4888875,-540375
2024-10-24,SRF,2024-10-31,2210.0,2269.75,2163.2,2257.4,2257.4,3476625,9271.0,5429250,-743625
2024-10-23,SRF,2024-10-31,2184.9,2337.75,2176.15,2254.45,2254.45,6005250,16014.0,6172875,24750
2024-10-22,SRF,2024-10-31,2262.1,2291.95,2150.0,2178.35,2178.35,6217875,16581.0,6148125,3375
2024-10-21,SRF,2024-10-31,2305.1,2342.45,2257.1,2276.8,2276.8,3084375,8225.0,6144750,-195375
2024-10-18,SRF,2024-10-31,2278.2,2338.9,2265.05,2330.2,2330.2,1508250,4022.0,6340125,-292125
2024-10-17,SRF,2024-10-31,2220.0,2294.9,2218.1,2271.85,2271.85,4041750,10778.0,6632250,-279750
2024-10-16,SRF,2024-10-31,2355.15,2360.0,2289.95,2309.1,2309.1,2354625,6279.0,6912000,160500
2024-10-15,SRF,2024-10-31,2336.45,2359.9,2336.45,2355.4,2355.4,604875,1613.0,6751500,-37500
2024-10-14,SRF,2024-10-31,2352.65,2367.35,2326.4,2347.65,2347.65,960375,2561.0,6789000,35250
2024-10-11,SRF,2024-10-31,2321.65,2371.0,2321.65,2354.15,2354.15,541875,1445.0,6753750,-9375
2024-10-10,SRF,2024-10-31,2369.7,2378.0,2326.55,2348.55,2348.55,570750,1522.0,6763125,15000
2024-10-09,SRF,2024-10-31,2348.85,2366.7,2329.35,2339.85,2339.85,659250,1758.0,6748125,4500
2024-10-08,SRF,2024-10-31,2298.15,2359.65,2298.15,2343.8,2343.8,661125,1763.0,6743625,-8625
2024-10-07,SRF,2024-10-31,2388.7,2388.7,2304.9,2318.5,2318.5,960000,2560.0,6752250,-24375
2024-10-04,SRF,2024-10-31,2444.8,2453.0,2355.05,2362.55,2362.55,1296750,3458.0,6776625,31125
2024-10-03,SRF,2024-10-31,2454.0,2519.55,2426.0,2435.8,2435.8,1690875,4509.0,6745500,147000
2024-10-01,SRF,2024-10-31,2506.0,2509.55,2441.8,2501.0,2501.0,2238750,5970.0,6598500,120000
2024-09-30,SRF,2024-10-31,2511.0,2540.0,2480.15,2516.95,2516.95,1425375,3801.0,6478500,19875
2024-09-27,SRF,2024-10-31,2454.3,2519.45,2454.3,2485.55,2485.55,2230500,5948.0,6458625,511125
2024-09-26,SRF,2024-09-26,2459.05,2469.9,2432.55,2458.0,2458.25,1588875,4237.0,227250,-828375
2024-09-25,SRF,2024-09-26,2422.65,2461.35,2412.0,2452.45,2452.45,1900500,5068.0,1055625,-1414875
2024-09-24,SRF,2024-09-26,2442.0,2461.95,2423.75,2430.0,2430.0,2236500,5964.0,2470500,-1687875
2024-09-23,SRF,2024-09-26,2430.3,2455.65,2415.05,2443.85,2443.85,2290875,6109.0,4158375,-1636125
2024-09-20,SRF,2024-09-26,2407.5,2440.9,2401.1,2423.95,2423.95,1106625,2951.0,5794500,-403875
2024-09-19,SRF,2024-09-26,2409.9,2427.55,2359.65,2402.15,2402.15,1082250,2886.0,6198375,-84375
2024-09-18,SRF,2024-09-26,2448.55,2451.05,2375.5,2392.4,2392.4,1415625,3775.0,6282750,148875
2024-09-17,SRF,2024-09-26,2440.75,2462.05,2408.0,2438.35,2438.35,1099500,2932.0,6133875,186750
2024-09-16,SRF,2024-09-26,2414.95,2481.65,2414.95,2444.7,2444.7,760875,2029.0,5947125,144000
2024-09-13,SRF,2024-09-26,2507.7,2516.5,2468.05,2472.7,2472.7,567000,1512.0,5803125,52500
2024-09-12,SRF,2024-09-26,2502.05,2504.5,2476.0,2493.8,2493.8,632625,1687.0,5750625,88500
2024-09-11,SRF,2024-09-26,2539.4,2553.75,2481.7,2486.9,2486.9,830625,2215.0,5662125,87000
2024-09-10,SRF,2024-09-26,2543.7,2570.55,2538.2,2546.1,2546.1,767625,2047.0,5575125,-26625
2024-09-09,SRF,2024-09-26,2521.85,2544.55,2473.25,2538.85,2538.85,1329000,3544.0,5601750,23625
2024-09-06,SRF,2024-09-26,2620.0,2632.2,2507.35,2513.75,2513.75,2190000,5840.0,5578125,125250
2024-09-05,SRF,2024-09-26,2625.95,2663.8,2617.95,2632.5,2632.5,2088750,5570.0,5452875,67125
2024-09-04,SRF,2024-09-26,2584.8,2621.45,2548.45,2615.8,2615.8,1119750,2986.0,5385750,-116250
2024-09-03,SRF,2024-09-26,2594.45,2631.65,2586.75,2601.2,2601.2,1885500,5028.0,5502000,-111750
