Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2021-10-21,SRF,2268.85,71.76,1.97,5.489999999999995
2021-10-27,SRF,2144.8,93.41,3.33,28.570000000000007
2021-10-28,SRF,2120.2,100.0,2.73,51.66999999999999
2021-11-08,SRF,2127.55,128.7,2.36,89.82000000000002
2021-11-15,SRF,2192.9,107.44,1.42,9.920000000000002
2021-11-30,SRF,2005.85,320.84,43.38,75.69
2022-02-08,SRF,2531.3,80.86,1.53,-7.650000000000006
2022-02-25,SRF,2424.9,74.36,1.28,7.689999999999998
2022-02-28,SRF,2383.65,89.08,2.07,29.89
2022-03-17,SRF,2588.2,98.34,3.17,33.19999999999999
2022-03-30,SRF,2705.85,151.54,5.63,22.230000000000015
2022-04-08,SRF,2747.6,97.91,2.94,25.10000000000001
2022-08-30,SRF,2543.4,88.02,1.81,-4.609999999999999
2022-09-07,SRF,2620.5,226.67,1.16,160.00000000000003
2022-11-02,SRF,2547.9,66.91,0.98,3.5900000000000034
2023-01-31,SRF,2182.45,83.97,2.08,-4.579999999999998
2023-02-28,SRF,2168.55,88.24,0.96,100.0
2023-03-14,SRF,2305.4,184.37,2.2,159.38
2023-03-28,SRF,2380.3,292.86,1.12,507.14
2023-04-03,SRF,2362.35,907.14,2.87,1142.86
2023-04-12,SRF,2424.5,185.19,1.27,285.18
2023-05-10,SRF,2571.25,126.03,1.49,78.08000000000001
2023-06-09,SRF,2429.7,60.0,1.23,57.14
2023-07-04,SRF,2274.4,150.0,1.15,233.33
2023-07-13,SRF,2173.45,83.16,2.68,57.890000000000015
2023-07-14,SRF,2187.5,174.07,1.92,181.49
2023-08-08,SRF,2277.95,68.33,1.02,101.67
2023-08-29,SRF,2374.35,94.55,1.4,-9.700000000000005
2023-12-07,SRF,2442.2,122.45,1.54,191.84000000000003
2024-01-10,SRF,2294.9,111.86,1.37,120.34
2024-02-01,SRF,2308.45,267.12,3.8,253.42999999999995
2024-04-23,SRF,2617.4,60.0,1.07,33.040000000000006
2024-06-10,SRF,2354.65,91.76,1.08,35.3
2024-07-24,SRF,2367.65,154.9,2.4,80.38999999999999
2024-07-25,SRF,2399.8,223.19,2.89,195.65
2024-08-01,SRF,2624.9,96.77,1.63,78.50000000000001
2024-08-23,SRF,2490.65,164.29,1.1,228.57
2024-08-30,SRF,2564.6,255.15,5.59,155.87999999999997
2024-09-23,SRF,2439.95,425.93,2.31,429.63
2025-01-28,SRF,2600.2,68.6,1.34,42.14
2025-02-28,SRF,2795.4,60.29,2.14,42.1
2025-03-19,SRF,3005.35,64.52,1.12,55.91000000000001
2025-03-20,SRF,2993.1,75.0,1.37,80.68
2025-03-26,SRF,2893.9,100.0,1.66,97.62
2025-04-07,SRF,2715.2,101.57,2.78,43.98000000000002
2025-05-12,SRF,3014.5,69.77,2.21,33.02000000000001
