Date,Symbol,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,Volume,Trades,Deliverable Volume,DeiiveryToTrade,%Deliverble,Z-ScoreDelVolume,DeliveryStatus,Trades_Diff,MWPL,MWPL_Diff,Close,Close_Diff,Close_Future,FuturePremium,Change in OI,OI_CUMI,OI_Rank,Position,BuyingPressure,SellingPressure,fluctuates,Change,Return,Volatility,Expected Change,Magnitude,Abs Magnitude,EWMA20BUYPRE,EWMA50BUYPRE,EWMA20SELLPRE,EWMA50SELLPRE,EWMA20_DEL,EWMA50_DEL,EWMA20_VOL,EWMA50_VOL,EWMA20_OI,EWMA50_OI,DEL2TRADE20,DEL2TRADE50
2022-01-04,SRTRANSFIN,1250.75,1257.0,1276.2,1231.25,1260.34,3212800,2022-01-27,1277478.0,43539.0,417194.0,,32.66,-0.1,,,82.86,-0.87,1252.95,-1.050000000000182,1255.1,2.1499999999998636,-30800,-30800,,LongUnwinding,21.7,23.25,3.59,,,,,,,21.7,21.7,23.25,23.25,417194.0,417194.0,1277478.0,1277478.0,3212800.0,3212800.0,29.34,29.34
2022-01-05,SRTRANSFIN,1252.95,1252.95,1276.75,1245.0,1258.74,3237200,2022-01-27,841324.0,32487.0,198712.0,-52.37,23.62,-0.72,33.0,55.0,82.99,0.13,1249.8,-23.84999999999991,1252.9,3.1000000000001364,24400,-6400,69.0,ShortBuildUp,18.55,26.95,2.53,-3.150000000000091,-0.002517232375043754,,,,,20.05,20.09,25.19,25.14,302490.95,305768.18,1048497.15,1055039.46,3225610.0,3225244.0,27.53,27.58
2022-01-06,SRTRANSFIN,1249.8,1249.0,1249.0,1209.0,1220.07,3429600,2022-01-27,978413.0,36297.0,448221.0,125.56,45.81,-0.01,213.0,160.0,82.01,-0.98,1216.3,-30.550000000000185,1222.35,6.0499999999999545,192400,186000,226.0,ShortBuildUp,7.3,60.45,3.2,-33.5,-0.027170074870590533,,,,,15.37,15.66,38.14,37.38,356002.15,355164.23,1022762.67,1028468.95,3300513.91,3296105.21,27.32,27.37
2022-01-07,SRTRANSFIN,1216.3,1216.2,1231.35,1203.9,1217.98,3274400,2022-01-27,862316.0,28270.0,390118.0,-12.96,45.24,-0.18,89.0,61.0,82.08,0.07,1215.5,-3.949999999999818,1218.4,2.900000000000091,-155200,30800,68.0,LongUnwinding,11.6,33.5,2.26,-0.7999999999999545,-0.0006579488682127987,,,,,14.28,14.58,36.8,36.35,365850.87,364433.83,976444.2,984405.86,3292975.22,3290349.08,28.24,28.2
2022-01-10,SRTRANSFIN,1215.5,1220.1,1243.0,1208.2,1223.58,3269200,2022-01-27,970148.0,37114.0,382306.0,-2.0,39.410000000000004,-0.2,107.0,187.0,82.18,0.1,1222.9,10.599999999999909,1229.0,6.099999999999909,-5200,25600,119.0,ShortCovering,19.0,20.1,2.86,7.400000000000091,0.006069572439146853,,,,,15.42,15.54,32.76,32.84,369831.23,368299.82,974921.2,981321.7,3287224.2,3285774.25,27.73,27.75
2022-01-11,SRTRANSFIN,1222.9,1222.5,1231.8,1208.0,1221.03,3238000,2022-01-27,600043.0,25759.0,156970.0,-58.94,33.99,-0.84,22.0,46.0,82.16,-0.02,1223.6,-3.25,1225.75,2.150000000000091,-31200,-5600,222.0,LongUnwinding,15.6,19.4,1.95,0.6999999999998181,0.0005722460814236996,,,,,15.46,15.55,29.94,30.37,324927.23,329464.07,895839.02,911254.72,3276840.14,3276994.85,26.8,26.93
2022-01-12,SRTRANSFIN,1223.6,1226.1,1249.0,1224.0,1237.12,3340400,2022-01-27,1256723.0,48306.0,640828.0,308.25,50.99,0.54,230.0,223.0,81.94,-0.22,1245.25,24.70000000000005,1250.45,5.2000000000000455,102400,96800,22.0,LongBuildUp,37.25,3.75,2.04,21.65000000000009,0.01753897967664475,,,,,19.58,19.03,24.99,26.09,384656.25,379456.4,964073.25,966722.81,3288857.74,3287175.13,26.65,26.79
2022-01-13,SRTRANSFIN,1245.25,1253.8,1257.0,1234.0,1244.19,3408800,2022-01-27,633459.0,38299.0,238539.0,-62.78,37.66,-0.61,16.0,64.0,81.54,-0.4,1247.45,-1.0,1249.45,2.0,68400,165200,161.0,ShortBuildUp,23.45,9.55,1.85,2.2000000000000455,0.0017651547087291775,,,,,20.25,19.67,22.32,23.73,359399.15,359279.19,906924.92,919004.55,3309590.36,3304589.94,24.9,25.32
2022-01-14,SRTRANSFIN,1247.45,1240.5,1264.8,1229.1,1245.22,3441200,2022-01-27,854183.0,30982.0,375141.0,57.27,43.919999999999995,-0.22,188.0,67.0,81.08,-0.46,1240.3,-5.650000000000091,1243.8,3.5,32400,197600,152.0,ShortBuildUp,11.2,24.5,2.86,-7.150000000000091,-0.005748181840838029,,,,,18.8,18.57,22.67,23.83,361924.22,361336.47,898464.86,910597.21,3330701.19,3322308.25,25.33,25.61
2022-01-17,SRTRANSFIN,1240.3,1242.0,1254.9,1236.9,1244.45,3341200,2022-01-27,489239.0,18958.0,178822.0,-52.33,36.55,-0.78,34.0,29.0,81.32,0.24,1239.05,-0.14999999999986358,1243.65,4.600000000000136,-100000,97600,23.0,LongUnwinding,9.95,25.75,1.45,-1.25,-0.0010083288812872127,,,,,17.46,17.54,23.13,24.05,334350.61,339628.59,836838.99,860481.76,3332282.22,3324555.19,25.4,25.63
