Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,SUNTV,664.95,661.3,673.5,641.0,644.4,654.83,268502,17838.0,93140,34.69,-0.79
2025-03-25,SUNTV,650.5,647.0,670.0,644.65,664.95,656.94,504340,33399.0,221505,43.92,-0.45
2025-03-24,SUNTV,635.0,639.0,654.75,635.65,650.5,648.15,286695,15581.0,128373,44.78,-0.7
2025-03-21,SUNTV,621.9,621.1,637.7,616.8,635.0,631.83,598861,18269.0,324568,54.2,-0.18
2025-03-20,SUNTV,612.3,606.2,624.0,605.0,621.9,620.21,377170,16275.0,200853,53.25,-0.51
2025-03-19,SUNTV,577.95,584.0,637.0,575.75,612.3,606.68,581006,28564.0,156804,26.99,-0.62
2025-03-18,SUNTV,570.2,573.0,579.9,565.75,577.95,573.22,219588,11940.0,96964,44.16,-0.78
2025-03-17,SUNTV,570.4,574.95,576.0,566.0,570.2,570.27,117792,7845.0,53232,45.19,-0.9
2025-03-13,SUNTV,574.65,574.0,581.95,566.0,570.4,574.66,189227,14553.0,72805,38.47,-0.85
2025-03-12,SUNTV,579.2,585.0,592.0,566.0,574.65,575.53,218125,17500.0,69657,31.93,-0.85
2025-03-11,SUNTV,560.95,560.95,582.6,554.15,579.2,574.9,344799,24444.0,109841,31.86,-0.75
2025-03-10,SUNTV,569.9,565.1,582.0,555.3,560.95,562.26,355555,22122.0,162112,45.59,-0.61
2025-03-07,SUNTV,564.55,569.9,572.9,561.35,569.9,569.22,322666,18952.0,176234,54.62,-0.57
2025-03-06,SUNTV,568.4,575.0,577.45,560.2,564.55,568.71,238174,16962.0,81175,34.08,-0.82
2025-03-05,SUNTV,561.45,562.1,571.85,549.3,568.4,562.08,517359,41476.0,240529,46.49,-0.4
2025-03-04,SUNTV,562.35,559.0,569.4,553.05,561.45,562.12,169645,11821.0,52013,30.66,-0.9
2025-03-03,SUNTV,561.5,561.7,577.25,550.3,562.35,556.57,391350,22417.0,186665,47.7,-0.54
