DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,19.603846153846156,Bullish,13,13
High,High,Medium,20.025000000000006,Bullish,4,4
High,High,Very Low,18.928763440860216,Bearish,186,186
High,Low,Medium,18.07187500000001,Bearish,32,32
High,Medium,Low,20.626923076923074,Bearish,13,13
High,Medium,Medium,15.50285714285714,Bearish,35,35
High,Medium,Very Low,23.05869565217392,Bearish,46,46
High,Very High,High,19.58437500000001,Bearish,32,32
High,Very High,Low,20.95,Bearish,10,10
High,Very High,Medium,19.540740740740745,Bearish,27,27
High,Very High,Very High,17.557,Bearish,50,50
High,Very High,Very Low,23.7842105263158,Bearish,19,19
High,Very Low,High,15.636538461538464,Bearish,26,26
High,Very Low,Medium,17.333333333333314,Bearish,3,3
High,Very Low,Very Low,14.957142857142856,Bearish,7,7
Low,High,Very High,20.338461538461555,Bullish,13,13
Low,Low,Low,14.150000000000006,Bearish,4,4
Low,Low,Medium,23.183333333333355,Bearish,3,3
Low,Low,Very Low,13.603846153846145,Bullish,52,52
Low,Medium,High,16.464285714285705,Bullish,14,14
Low,Medium,Low,19.24000000000001,Bullish,5,5
Low,Medium,Medium,25.30714285714288,Bearish,14,14
Low,Medium,Very High,15.489999999999963,Bearish,5,5
Low,Medium,Very Low,13.142857142857167,Bearish,7,7
Low,Very High,Very High,22.98620689655172,Bearish,29,29
Low,Very Low,High,11.044366197183098,Bullish,71,71
Low,Very Low,Low,11.849999999999996,Bearish,60,60
Low,Very Low,Medium,11.306067961165043,Bearish,206,206
Low,Very Low,Very Low,12.883333333333326,Bullish,18,18
Medium,High,High,21.50499999999999,Bearish,10,10
Medium,High,Low,27.51666666666665,Bearish,3,3
Medium,High,Medium,25.02916666666667,Bearish,12,12
Medium,High,Very High,34.98333333333331,Bearish,3,3
Medium,High,Very Low,17.779999999999983,Bullish,5,5
Medium,Low,Low,18.455,Bearish,30,30
Medium,Low,Medium,16.366363636363634,Bearish,55,55
Medium,Low,Very Low,20.845454545454558,Bullish,11,11
Medium,Medium,Low,17.554999999999993,Bearish,50,50
Medium,Medium,Medium,21.43846153846153,Bearish,13,13
Medium,Medium,Very Low,15.97196261682244,Bearish,107,107
Medium,Very High,High,13.316666666666643,Bearish,3,3
Medium,Very High,Very High,21.386585365853666,Bullish,41,41
Medium,Very Low,High,18.214285714285722,Bearish,63,63
Medium,Very Low,Medium,16.36542553191489,Bearish,94,94
Medium,Very Low,Very Low,44.93333333333336,Bullish,3,3
Very High,High,High,23.284615384615385,Bearish,13,13
Very High,High,Low,17.707142857142863,Bearish,14,14
Very High,High,Medium,17.711428571428574,Bearish,35,35
Very High,High,Very Low,14.091666666666674,Bearish,6,6
Very High,Low,High,14.079591836734693,Bullish,49,49
Very High,Low,Medium,7.540000000000015,Bearish,5,5
Very High,Medium,High,11.20243902439024,Bearish,41,41
Very High,Medium,Medium,15.065116279069764,Bullish,43,43
Very High,Very High,High,28.530555555555548,Bearish,36,36
Very High,Very High,Low,21.98593750000002,Bearish,32,32
Very High,Very High,Medium,27.137704918032803,Bearish,61,61
Very High,Very High,Very High,25.39468085106384,Bearish,47,47
Very High,Very High,Very Low,21.36269841269842,Bearish,63,63
Very High,Very Low,High,14.921999999999993,Bearish,50,50
Very High,Very Low,Very Low,17.524999999999984,Bearish,8,8
Very Low,High,Very High,25.144117647058813,Bullish,17,17
Very Low,Low,High,13.935185185185183,Bullish,27,27
Very Low,Low,Low,11.779166666666674,Bearish,12,12
Very Low,Low,Medium,12.973913043478255,Bearish,23,23
Very Low,Low,Very High,12.14015151515152,Bullish,66,66
Very Low,Low,Very Low,15.840000000000021,Bullish,5,5
Very Low,Medium,High,18.354999999999997,Bearish,10,10
Very Low,Medium,Medium,19.349999999999966,Bullish,2,2
Very Low,Medium,Very High,19.020588235294117,Bearish,68,68
Very Low,Very High,Very High,25.30714285714288,Bearish,35,35
Very Low,Very Low,High,11.489473684210534,Bearish,19,19
Very Low,Very Low,Low,11.182051282051276,Bullish,39,39
Very Low,Very Low,Medium,11.852564102564102,Bearish,78,78
Very Low,Very Low,Very High,11.946428571428566,Bearish,28,28
Very Low,Very Low,Very Low,14.481168831168828,Bearish,77,77
