Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,TATACOMM,2024-12-26,1842.2,1864.0,1832.6,1853.5,1853.5,1593250,6373.0,6165750,110250
2024-12-11,TATACOMM,2024-12-26,1783.5,1849.0,1782.95,1843.7,1843.7,2028250,8113.0,6055500,279250
2024-12-10,TATACOMM,2024-12-26,1795.1,1802.15,1776.0,1783.4,1783.4,364250,1457.0,5776250,-21500
2024-12-09,TATACOMM,2024-12-26,1790.2,1816.55,1787.2,1793.7,1793.7,436250,1745.0,5797750,-5750
2024-12-06,TATACOMM,2024-12-26,1819.85,1819.85,1791.9,1796.1,1796.1,449750,1799.0,5803500,-11500
2024-12-05,TATACOMM,2024-12-26,1819.35,1819.35,1794.0,1811.25,1811.25,685750,2743.0,5815000,-88500
2024-12-04,TATACOMM,2024-12-26,1813.0,1827.65,1794.1,1806.0,1806.0,759750,3039.0,5903500,-59000
2024-12-03,TATACOMM,2024-12-26,1810.0,1821.7,1796.9,1812.85,1812.85,903000,3612.0,5962500,-8750
2024-12-02,TATACOMM,2024-12-26,1766.95,1808.0,1748.05,1800.85,1800.85,1011750,4047.0,5971250,222000
2024-11-29,TATACOMM,2024-12-26,1744.4,1770.0,1743.5,1763.7,1763.7,472250,1889.0,5749250,36250
2024-11-28,TATACOMM,2024-11-28,1745.75,1766.2,1729.85,1743.85,1745.1,1379750,5519.0,256500,-830250
2024-11-27,TATACOMM,2024-11-28,1762.25,1775.75,1744.7,1764.95,1764.95,2862250,11449.0,1086750,-2312000
2024-11-26,TATACOMM,2024-11-28,1791.8,1817.85,1763.4,1766.75,1766.75,1535500,6142.0,3398750,-943250
2024-11-25,TATACOMM,2024-11-28,1765.0,1794.25,1755.25,1788.35,1788.35,1603750,6415.0,4342000,-944000
2024-11-22,TATACOMM,2024-11-28,1702.8,1747.5,1702.6,1741.4,1741.4,825500,3302.0,5286000,-97500
2024-11-21,TATACOMM,2024-11-28,1764.05,1764.05,1697.1,1711.5,1711.5,576750,2307.0,5383500,-32250
2024-11-19,TATACOMM,2024-11-28,1728.2,1772.85,1722.4,1734.45,1734.45,660250,2641.0,5415750,-107000
2024-11-18,TATACOMM,2024-11-28,1750.4,1761.2,1715.0,1729.8,1729.8,517750,2071.0,5522750,-7750
2024-11-14,TATACOMM,2024-11-28,1746.85,1780.0,1746.85,1756.45,1756.45,605250,2421.0,5530500,2250
2024-11-13,TATACOMM,2024-11-28,1756.05,1779.8,1738.5,1747.45,1747.45,1046750,4187.0,5528250,-192000
2024-11-12,TATACOMM,2024-11-28,1794.7,1799.0,1755.95,1761.9,1761.9,765750,3063.0,5720250,-68500
2024-11-11,TATACOMM,2024-11-28,1770.0,1802.4,1755.0,1775.75,1775.75,469250,1877.0,5788750,4500
2024-11-08,TATACOMM,2024-11-28,1803.1,1817.0,1771.2,1779.75,1779.75,950750,3803.0,5784250,-116000
2024-11-07,TATACOMM,2024-11-28,1802.15,1832.75,1802.15,1813.5,1813.5,990500,3962.0,5900250,-6000
2024-11-06,TATACOMM,2024-11-28,1772.95,1821.2,1762.25,1815.0,1815.0,1469000,5876.0,5906250,121000
2024-11-05,TATACOMM,2024-11-28,1754.9,1764.9,1723.5,1761.1,1761.1,876500,3506.0,5785250,-85750
2024-11-04,TATACOMM,2024-11-28,1792.85,1792.85,1733.0,1754.7,1754.7,887250,3549.0,5871000,155000
2024-11-01,TATACOMM,2024-11-28,1788.65,1796.85,1783.7,1792.5,1792.5,104250,417.0,5716000,-2000
2024-10-31,TATACOMM,2024-10-31,1775.75,1784.9,1747.75,1773.9,1774.6,1227500,2455.0,1477000,-695500
2024-10-30,TATACOMM,2024-10-31,1789.6,1825.3,1773.1,1790.0,1790.0,1473500,2947.0,2172500,-727000
2024-10-29,TATACOMM,2024-10-31,1796.95,1797.0,1763.15,1787.35,1787.35,1425500,2851.0,2899500,-828000
2024-10-28,TATACOMM,2024-10-31,1783.0,1813.7,1771.9,1789.6,1789.6,1630000,3260.0,3727500,-906500
2024-10-25,TATACOMM,2024-10-31,1775.75,1813.45,1738.3,1776.45,1776.45,1586500,3173.0,4634000,-258000
2024-10-24,TATACOMM,2024-10-31,1797.55,1842.65,1779.8,1792.6,1792.6,2191000,4382.0,4892000,305500
2024-10-23,TATACOMM,2024-10-31,1807.15,1828.85,1772.85,1782.55,1782.55,988000,1976.0,4586500,-109500
2024-10-22,TATACOMM,2024-10-31,1864.0,1868.45,1791.9,1799.25,1799.25,1524000,3048.0,4696000,-542500
2024-10-21,TATACOMM,2024-10-31,1872.45,1908.3,1851.1,1857.75,1857.75,2244500,4489.0,5238500,-851500
2024-10-18,TATACOMM,2024-10-31,1829.25,1887.45,1812.45,1879.95,1879.95,2793000,5586.0,6090000,107500
2024-10-17,TATACOMM,2024-10-31,1936.45,1936.45,1816.2,1832.9,1832.9,4035000,8070.0,5982500,75000
2024-10-16,TATACOMM,2024-10-31,1922.85,1953.05,1913.05,1925.8,1925.8,601000,1202.0,5907500,-30500
2024-10-15,TATACOMM,2024-10-31,1960.1,1963.55,1917.7,1936.25,1936.25,857000,1714.0,5938000,136500
2024-10-14,TATACOMM,2024-10-31,1971.0,1972.9,1944.0,1959.35,1959.35,583500,1167.0,5801500,-30500
2024-10-11,TATACOMM,2024-10-31,1984.95,1998.15,1962.55,1972.2,1972.2,860500,1721.0,5832000,-26000
2024-10-10,TATACOMM,2024-10-31,1965.0,1990.0,1953.05,1964.15,1964.15,1193500,2387.0,5858000,-45500
2024-10-09,TATACOMM,2024-10-31,1992.95,2028.0,1951.2,1955.45,1955.45,1101000,2202.0,5903500,101000
2024-10-08,TATACOMM,2024-10-31,1985.55,2034.45,1981.25,2015.35,2015.35,868000,1736.0,5802500,-69500
2024-10-07,TATACOMM,2024-10-31,2119.8,2119.8,1980.95,1991.95,1991.95,1765000,3530.0,5872000,21000
2024-10-04,TATACOMM,2024-10-31,2169.85,2173.95,2082.3,2090.35,2090.35,1430500,2861.0,5851000,-27500
2024-10-03,TATACOMM,2024-10-31,2121.75,2187.0,2121.75,2156.95,2156.95,1207000,2414.0,5878500,-89000
2024-10-01,TATACOMM,2024-10-31,2134.2,2188.25,2134.2,2172.95,2172.95,1129000,2258.0,5967500,-18000
2024-09-30,TATACOMM,2024-10-31,2144.65,2158.85,2111.65,2148.35,2148.35,1362000,2724.0,5985500,-53500
2024-09-27,TATACOMM,2024-10-31,2132.55,2180.65,2132.35,2144.65,2144.65,1190000,2380.0,6039000,46000
