Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Market Structure,Liquidity,MarketMove,Swing,Trend,Swing%
2015-01-01,TATACOMM,357224,8978,33016,3.92,88.46,2156.63,Low,Medium,Medium,Very High,-0.51,-0.26,-0.49,104.08,53.06,51.02,Very High,,Neutral,Low,High,Very High,441.83,441.6,,445.7,,4.099999999999966,-1.09,,5000.0,-0.0,440.95,441.5,445.2,438.7,441.87,4754000.0,2015-01-29,60.1029568,Undecisive,,,6.5,,,,,,,Neutral,,,,6.12,,,,,0.0,,,0.0,0.0,,,False,,,False,,12.786118314977104,,39.78881710848741,,,6.12,6.12,False,LL,HH Sweep,BoS,,Downtrend,
2015-01-02,TATACOMM,242617,5792,53338,51.11,58.14,13.75,Low,Medium,Low,Very High,-0.45,-0.43,-0.68,66.18,63.24,2.940000000000005,High,-6.15,Low Demand,Medium,Medium,Low,438.32,435.45,-6.300000000000011,439.4,-0.02,3.9499999999999886,-0.86,-1.01,50000.0,-0.43,441.6,441.9,445.4,434.1,440.37,4804000.0,2015-01-29,59.09266849,ShortBuildUp,1.35,9.95,11.3,True,0.05,CandleHighSwipe,Bearish,-0.0140245158241363,-6.150000000000034,Low Demand,,,,3.71,-39.38,,,,-0.15,,Sell,-0.1899999999999977,-0.04,1.35,1.35,False,9.95,9.95,False,-6.150000000000034,12.399239347233213,-76.25532198548468,41.88829419889503,-2.5348594698640385e-05,-0.0131656287958364,4.67,4.81,False,,,,,,
2015-01-05,TATACOMM,412484,6271,184147,842.86,266.67,68.36,High,High,Low,Very High,-0.07,-0.18,-0.66,10.61,27.27,-16.66,Medium,1.65,Low Supply,Very High,Very High,High,439.12,437.1,1.3000000000000114,440.7,-0.08,3.599999999999966,-0.91,-3.09,82000.0,-1.33,435.45,435.0,445.25,435.0,440.24,4886000.0,2015-01-29,56.00567642,LongBuildUp,2.1,8.15,10.25,False,0.0,,Bullish,0.0037820227305198,1.650000000000034,Low Supply,,,,6.42,73.05,,,,-0.12,,Sell,-0.2400000000000091,-0.12,1.85,1.74,True,8.75,8.98,False,1.650000000000034,12.929952696125817,21.33442194860804,65.77643119119757,4.000155157533466e-06,0.0034020765346209,5.5,5.44,True,,,,,,
2015-01-06,TATACOMM,554243,11159,264744,311.76,1300.0,316.99,Very High,High,Medium,Medium,0.17,0.03,-0.36,-47.22,-8.33,-38.89,Low,-20.3,Strong Supply,Very High,Very High,Very High,422.08,416.8,-22.399999999999977,418.3,-0.4400000000000004,1.5,-0.38,-1.75,58000.0,-0.75,437.1,434.6,435.45,414.0,421.19,4944000.0,2015-01-29,54.25170365,ShortBuildUp,2.8,18.65,21.45,False,0.0,NoSwipe,Bearish,-0.0475555114301116,-20.30000000000001,Strong Supply,,,,2.32,-63.86,,,,-0.79,,Sell,-1.1299999999999957,-0.34,2.39,2.13,True,14.41,12.71,True,-20.30000000000001,13.225358497719055,-268.474777503697,49.66780177435254,-3.662653384887136e-05,-0.0240590355321889,4.18,4.46,False,,,,,,
2015-01-07,TATACOMM,267969,7419,50209,28.26,51.28,81.46,Low,Medium,Low,High,-0.46,-0.39,-0.59,77.97,66.1,11.870000000000005,High,6.85,Low Supply,Low,Medium,High,420.17,423.65,7.649999999999977,425.95,0.1900000000000001,2.300000000000012,-0.6,1.38,-149000.0,0.59,416.8,410.0,426.85,410.0,420.97,4795000.0,2015-01-29,55.6268183,ShortCovering,13.65,3.2,16.85,True,0.94,CandleOpenLowSwipe,Bullish,0.0163011522053162,6.849999999999966,Low Supply,,,,2.14,-7.76,,,,-0.92,,Sell,-1.759999999999991,-0.84,8.4,5.43,True,8.43,9.76,False,6.849999999999966,12.498626581160725,85.61559208095052,36.11928831378892,2.5562658367199062e-05,0.0115400447608775,3.4,3.83,False,,,,,,
2015-01-08,TATACOMM,277226,5073,42750,52.08,92.11,76.86,Low,Medium,Low,Medium,-0.48,-0.38,-0.73,65.75,52.05,13.700000000000005,High,2.05,Low Supply,Medium,High,High,425.63,425.7,1.3000000000000114,427.25,-0.1699999999999999,1.5500000000000114,-0.97,-0.95,148000.0,-0.41,423.65,427.0,430.1,421.1,425.26,4943000.0,2015-01-29,54.67967301,LongBuildUp,4.6,4.4,9.0,True,0.76,CandleOpenHighSwipe,Bearish,0.0048272301896332,2.050000000000012,Low Supply,,,,6.07,183.64,,,,-0.48,,Sell,-1.6299999999999957,-1.15,6.44,5.23,True,6.35,8.33,False,2.050000000000012,12.532588336993197,25.69180609083619,54.64734870885078,7.39468880985193e-06,0.0050644206762933,4.37,4.37,False,,,,,Downtrend,
2015-01-09,TATACOMM,297871,4968,70975,82.5,108.57,31.6,Medium,Medium,Low,Medium,-0.4,-0.35,-0.73,54.79,47.95,6.839999999999996,High,-0.45,Low Demand,High,High,Medium,425.63,425.25,-0.5,426.75,-0.0099999999999999,1.5,-0.86,0.29,-25000.0,0.12,425.7,428.0,431.45,420.2,424.99,4918000.0,2015-01-29,54.97434043,LongUnwinding,5.05,6.2,11.25,True,0.32,BothHighLowSwipe,Bearish,-0.0010576415581358,-0.4499999999999886,Low Demand,429.5236165180137,,,5.33,-12.19,,,,-0.16,,Sell,-1.420000000000016,-1.26,5.73,5.2,True,6.27,7.83,False,-0.4499999999999886,12.604415785859349,-5.671987103636564,59.9579307568438,-1.5107210839591254e-06,-0.0011417043284292,4.71,4.59,True,,,,,Downtrend,
2015-01-12,TATACOMM,346226,4788,168561,572.73,164.29,71.31,High,Medium,Low,High,-0.11,-0.28,-0.74,14.86,37.84,-22.980000000000004,Medium,-4.7,Low Demand,Very High,High,High,422.55,420.55,-3.6999999999999886,423.05,0.2400000000000001,2.5,-0.99,-0.71,105000.0,-0.31,425.25,425.0,427.8,419.3,423.26,5023000.0,2015-01-29,54.26573543,ShortBuildUp,1.25,7.25,8.5,True,0.21,CandleLowSwipe,Bearish,-0.0111138528675249,-4.699999999999989,Low Demand,427.1227397008876,,,8.51,59.66,,,,-0.22,,Sell,-1.5499999999999543,-1.33,3.47,4.46,False,6.77,7.7,False,-4.699999999999989,12.75484702000193,-59.94778099400893,72.31119465329992,-1.3574948155251162e-05,-0.0125204220956576,6.03,5.4,True,,,,,Downtrend,
2015-01-13,TATACOMM,646343,6752,195724,2000.0,470.59,76.47,High,Very High,Low,Medium,-0.03,0.17,-0.63,4.76,-26.98,31.74,Very High,4.8,Speculative Demand,Very High,Very High,High,423.92,425.35,3.349999999999966,426.4,-0.3499999999999998,1.0499999999999543,-0.97,0.87,-103000.0,0.37,420.55,418.8,427.65,418.75,424.66,4920000.0,2015-01-29,55.13570593,ShortCovering,6.6,2.3,8.9,True,0.13,CandleOpenLowSwipe,Bullish,0.0113489810134472,4.800000000000011,Speculative Demand,424.63289794071454,,,10.76,26.44,,,,-0.05,,Sell,-1.4599999999999795,-1.41,5.04,4.82,True,4.52,6.61,False,4.800000000000011,13.379085601607809,64.21961088771762,95.72615521327016,7.426397439130634e-06,0.0095111982949818,7.65,6.46,True,,,,,Downtrend,
2015-01-14,TATACOMM,461520,8337,149012,211.76,381.82,80.31,High,High,Medium,Medium,-0.17,-0.11,-0.53,32.08,20.75,11.329999999999998,High,-1.4,Low Demand,Very High,Very High,High,425.88,423.95,-1.1999999999999886,425.2,0.0499999999999999,1.25,-0.59,0.95,-148000.0,0.41,425.35,424.45,435.3,418.4,429.68,4772000.0,2015-01-29,56.08986711,LongUnwinding,5.55,10.85,16.9,True,1.8,DojiHighLowSwipe,Doji,-0.0032968356718816,-1.400000000000034,Low Demand,423.6840941557982,,,3.28,-69.52,,,,0.14,,Buy,-1.2099999999999795,-1.35,5.3,4.94,True,7.69,7.42,True,-1.400000000000034,13.04228066893077,-18.259192936503524,55.35804246131702,-3.033454671520268e-06,-0.0021901394910043,6.17,5.86,True,,,,,Downtrend,
