Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,TATACONSUM,970.7,975.0,976.3,956.95,959.65,962.95,1399118,59811.0,876631,62.66,-0.17
2025-03-25,TATACONSUM,970.45,979.0,979.9,959.0,970.7,970.33,1569597,52311.0,903757,57.58,-0.15
2025-03-24,TATACONSUM,961.2,965.25,976.15,956.5,970.45,968.59,1475967,49671.0,993082,67.28,-0.08
2025-03-21,TATACONSUM,965.85,968.0,972.15,956.6,961.2,964.29,3155551,67717.0,2421385,76.73,1.09
2025-03-20,TATACONSUM,949.85,953.1,967.7,950.25,965.85,959.0,2403031,55437.0,1668621,69.44,0.47
2025-03-19,TATACONSUM,946.85,947.5,959.85,945.25,949.85,951.16,1650477,40877.0,1212970,73.49,0.1
2025-03-18,TATACONSUM,940.45,941.05,950.6,938.15,946.85,945.46,2343994,59784.0,1623146,69.25,0.44
2025-03-17,TATACONSUM,946.1,946.1,956.5,934.6,940.45,942.97,993027,45745.0,636735,64.12,-0.37
2025-03-13,TATACONSUM,945.45,950.0,955.0,940.15,946.1,948.5,907521,36330.0,606022,66.78,-0.39
2025-03-12,TATACONSUM,959.85,951.65,961.75,943.35,945.45,948.05,1619168,36847.0,1147455,70.87,0.05
2025-03-11,TATACONSUM,957.3,956.0,962.4,930.1,959.85,952.96,2748541,42453.0,2218893,80.73,0.92
2025-03-10,TATACONSUM,962.05,960.0,969.3,953.0,957.3,962.42,1660207,41166.0,1057020,63.67,-0.03
2025-03-07,TATACONSUM,958.15,957.0,967.4,950.15,962.05,961.58,945675,31824.0,672544,71.12,-0.34
2025-03-06,TATACONSUM,956.8,964.0,965.0,943.05,958.15,953.75,2421530,90307.0,1333938,55.09,0.2
2025-03-05,TATACONSUM,954.55,948.5,965.95,948.0,956.8,959.74,2773457,56393.0,2279981,82.21,0.97
2025-03-04,TATACONSUM,953.9,945.1,957.85,943.15,954.55,952.54,1916433,48825.0,1337250,69.78,0.2
2025-03-03,TATACONSUM,963.7,963.7,970.0,948.4,953.9,955.95,1323481,69044.0,862786,65.19,-0.19
2025-02-28,TATACONSUM,1008.0,995.0,1001.5,957.35,963.7,969.01,5082193,90874.0,3235394,63.66,1.75
2025-02-27,TATACONSUM,1004.85,1005.0,1010.15,998.25,1008.0,1005.59,1362115,58083.0,1003918,73.7,-0.07
2025-02-25,TATACONSUM,1002.4,994.0,1010.0,993.15,1004.85,1005.8,1663313,41567.0,1146127,68.91,0.05
2025-02-24,TATACONSUM,1004.0,990.0,1011.1,990.0,1002.4,1006.24,1002365,49909.0,555396,55.41,-0.44
2025-02-21,TATACONSUM,1008.9,1008.0,1013.65,991.45,1004.0,1003.41,1330146,45894.0,752515,56.57,-0.28
2025-02-20,TATACONSUM,1025.3,1020.0,1030.25,1003.65,1008.9,1011.18,878748,60976.0,473436,53.88,-0.5
2025-02-19,TATACONSUM,1026.95,1024.0,1032.85,1021.3,1025.3,1026.35,782204,51187.0,478170,61.13,-0.5
2025-02-18,TATACONSUM,1023.25,1019.1,1027.95,1018.55,1026.95,1024.07,789814,37324.0,538610,68.19,-0.45
2025-02-17,TATACONSUM,1022.55,1022.0,1027.45,1005.05,1023.25,1017.33,925113,52337.0,413150,44.66,-0.55
2025-02-14,TATACONSUM,1022.8,1027.9,1037.85,1018.0,1022.55,1025.42,2032391,63818.0,1037478,51.05,-0.04
2025-02-13,TATACONSUM,1029.75,1029.75,1037.0,1016.85,1022.8,1028.43,1169309,54802.0,522371,44.67,-0.46
2025-02-12,TATACONSUM,1013.8,1019.0,1039.0,1010.05,1029.75,1025.64,1082392,58643.0,373232,34.48,-0.59
2025-02-11,TATACONSUM,1027.5,1029.9,1035.45,1009.1,1013.8,1023.85,1204012,56036.0,551053,45.77,-0.44
2025-02-10,TATACONSUM,1021.2,1020.0,1036.85,1015.8,1027.5,1030.17,1418998,53557.0,458704,32.33,-0.52
2025-02-07,TATACONSUM,1023.35,1031.9,1031.9,1012.55,1021.2,1019.48,941811,42902.0,533895,56.69,-0.45
2025-02-06,TATACONSUM,1015.3,1020.4,1026.3,1010.15,1023.35,1018.55,1172479,53420.0,353913,30.19,-0.6
2025-02-05,TATACONSUM,1034.2,1035.1,1035.25,1010.55,1015.3,1019.57,1628436,64271.0,922043,56.62,-0.14
2025-02-04,TATACONSUM,1036.3,1040.0,1043.8,1019.05,1034.2,1029.78,2251233,78783.0,1145472,50.88,0.05
2025-02-03,TATACONSUM,1069.85,1067.35,1074.45,1033.65,1036.3,1049.17,1298543,88129.0,452827,34.87,-0.52
2025-02-01,TATACONSUM,1024.65,1026.0,1075.0,1014.75,1069.85,1053.93,3077657,107241.0,1063844,34.57,-0.02
2025-01-31,TATACONSUM,966.7,970.0,1031.2,967.9,1024.65,1012.45,5028986,154487.0,1474247,29.31,0.31
2025-01-30,TATACONSUM,960.5,965.95,975.0,953.0,966.7,966.25,1706978,81115.0,668372,39.16,-0.34
2025-01-29,TATACONSUM,961.25,961.25,966.65,938.0,960.5,952.47,1479070,62420.0,572895,38.73,-0.42
2025-01-28,TATACONSUM,965.8,970.95,979.25,958.0,961.25,969.15,1647098,64644.0,837317,50.84,-0.21
2025-01-27,TATACONSUM,992.35,989.05,998.4,960.0,965.8,977.81,1806238,68419.0,857705,47.49,-0.19
2025-01-24,TATACONSUM,983.9,988.75,1004.0,986.4,992.35,995.45,2201712,82517.0,839805,38.14,-0.2
2025-01-23,TATACONSUM,967.4,967.35,993.5,961.15,983.9,984.17,1235360,74852.0,470707,38.1,-0.51
2025-01-22,TATACONSUM,972.1,976.9,981.7,958.15,967.4,966.65,1759236,60644.0,860385,48.91,-0.19
2025-01-21,TATACONSUM,960.3,961.05,978.0,957.9,972.1,971.85,2281022,85378.0,900388,39.47,-0.15
2025-01-20,TATACONSUM,954.45,960.0,968.6,944.45,960.3,957.84,702848,30393.0,337058,47.96,-0.61
2025-01-17,TATACONSUM,937.7,942.0,959.35,935.35,954.45,951.51,677451,38965.0,263348,38.87,-0.67
2025-01-16,TATACONSUM,955.55,960.0,960.0,926.05,937.7,935.43,2019985,90762.0,811611,40.18,-0.23
2025-01-15,TATACONSUM,963.15,963.15,963.15,944.6,955.55,953.19,3190709,71047.0,2387951,74.84,1.06
2025-01-14,TATACONSUM,965.45,965.7,977.0,958.6,963.15,966.45,1558290,59517.0,939797,60.31,-0.12
2025-01-13,TATACONSUM,972.8,945.2,969.05,945.0,965.45,965.09,1876479,59756.0,1168371,62.26,0.06
2025-01-10,TATACONSUM,970.1,965.2,980.0,959.0,972.8,972.29,1443387,62555.0,742331,51.43,-0.28
2025-01-09,TATACONSUM,961.6,957.45,982.8,954.5,970.1,971.84,2130681,101963.0,864031,40.55,-0.18
2025-01-08,TATACONSUM,955.0,955.0,963.85,945.45,961.6,954.9,1235226,51279.0,640018,51.81,-0.37
2025-01-07,TATACONSUM,946.9,952.0,972.0,949.75,955.0,963.65,2413582,89350.0,1007310,41.74,-0.07
2025-01-06,TATACONSUM,939.45,935.0,955.0,929.1,946.9,943.79,2692614,118698.0,1149284,42.68,0.05
2025-01-03,TATACONSUM,929.65,932.7,941.9,926.0,939.45,935.99,1832664,56179.0,1168346,63.75,0.06
2025-01-02,TATACONSUM,920.3,921.0,931.25,913.05,929.65,926.24,1705632,60523.0,1196789,70.17,0.09
2025-01-01,TATACONSUM,914.7,913.0,922.5,911.0,920.3,919.17,641424,30549.0,342590,53.41,-0.61
2024-12-31,TATACONSUM,903.5,899.0,917.15,893.1,914.7,909.02,1120133,47877.0,604248,53.94,-0.4
2024-12-30,TATACONSUM,907.95,907.95,912.0,898.7,903.5,904.56,1830048,64736.0,1191997,65.13,0.08
2024-12-27,TATACONSUM,900.95,902.0,911.4,899.0,907.95,906.92,870974,40906.0,435485,50.0,-0.53
2024-12-26,TATACONSUM,907.3,908.0,911.35,898.6,900.95,903.51,595956,42475.0,257122,43.14,-0.68
2024-12-24,TATACONSUM,902.75,904.95,912.95,896.8,907.3,907.84,1038280,38242.0,469222,45.19,-0.51
2024-12-23,TATACONSUM,889.45,894.95,906.0,890.0,902.75,898.31,1054695,54923.0,477488,45.27,-0.5
2024-12-20,TATACONSUM,907.1,907.0,916.5,882.9,889.45,897.62,2441036,76349.0,1470406,60.24,0.31
2024-12-19,TATACONSUM,909.35,908.0,918.0,901.1,907.1,911.1,2589001,81315.0,1334391,51.54,0.2
2024-12-18,TATACONSUM,904.9,905.0,916.9,904.45,909.35,911.11,1154541,47012.0,584189,50.6,-0.41
2024-12-17,TATACONSUM,920.35,920.35,922.0,900.0,904.9,907.16,1597108,83975.0,849505,53.19,-0.2
2024-12-16,TATACONSUM,929.7,929.7,934.65,917.0,920.35,922.86,848667,47563.0,399378,47.06,-0.56
2024-12-13,TATACONSUM,921.25,919.25,931.0,907.4,929.7,921.91,1278151,66381.0,532649,41.67,-0.45
2024-12-12,TATACONSUM,935.05,937.0,938.45,916.0,921.25,920.81,1913140,82904.0,836121,43.7,-0.21
2024-12-11,TATACONSUM,926.75,931.4,942.95,929.4,935.05,936.71,1356603,59234.0,609300,44.91,-0.39
2024-12-10,TATACONSUM,933.95,938.5,938.6,925.2,926.75,929.37,1990270,62205.0,1385331,69.61,0.24
2024-12-09,TATACONSUM,974.45,974.0,974.0,931.5,933.95,938.12,3679131,106541.0,1968673,53.51,0.72
2024-12-06,TATACONSUM,966.45,970.0,976.4,964.1,974.45,972.45,1893714,51299.0,985972,52.07,-0.08
2024-12-05,TATACONSUM,961.2,965.0,970.95,946.25,966.45,962.37,2043341,101787.0,1029041,50.36,-0.05
2024-12-04,TATACONSUM,955.0,956.0,963.85,949.65,961.2,958.88,1236061,50537.0,807658,65.34,-0.23
2024-12-03,TATACONSUM,957.0,958.05,959.75,948.65,955.0,953.18,1346981,93274.0,867283,64.39,-0.18
2024-12-02,TATACONSUM,958.65,958.65,962.85,947.3,957.0,954.73,916920,52790.0,463686,50.57,-0.51
2024-11-29,TATACONSUM,941.05,941.8,964.4,941.5,958.65,958.53,1482253,63521.0,833290,56.22,-0.21
2024-11-28,TATACONSUM,960.05,960.0,972.7,938.3,941.05,950.23,1834887,114123.0,1043757,56.88,-0.04
2024-11-27,TATACONSUM,963.55,964.0,965.1,952.7,960.05,958.63,786040,46046.0,444871,56.6,-0.53
2024-11-26,TATACONSUM,955.7,960.0,967.45,951.95,963.55,961.49,638057,37828.0,262250,41.1,-0.68
2024-11-25,TATACONSUM,945.2,950.0,962.75,946.6,955.7,955.62,2468847,74102.0,1620973,65.66,0.43
2024-11-22,TATACONSUM,911.7,916.25,948.5,912.85,945.2,938.93,1427895,73495.0,770904,53.99,-0.26
2024-11-21,TATACONSUM,917.15,917.15,922.0,900.5,911.7,911.31,1550618,90152.0,772347,49.81,-0.26
2024-11-19,TATACONSUM,930.75,935.0,940.5,915.05,917.15,928.96,1844903,73737.0,1214229,65.82,0.1
2024-11-18,TATACONSUM,925.0,929.8,942.5,916.0,930.75,928.46,2193819,89800.0,1142670,52.09,0.04
2024-11-14,TATACONSUM,952.75,950.0,955.25,922.0,925.0,934.99,1950720,104335.0,973422,49.9,-0.09
2024-11-13,TATACONSUM,967.55,965.0,969.95,950.0,952.75,957.41,948691,60759.0,565657,59.62,-0.43
2024-11-12,TATACONSUM,975.95,975.95,986.35,965.55,967.55,972.67,968082,48845.0,573292,59.22,-0.42
2024-11-11,TATACONSUM,992.95,993.2,997.95,973.25,975.95,985.68,1108758,58678.0,649209,58.55,-0.36
2024-11-08,TATACONSUM,984.85,989.0,997.3,975.4,992.95,991.21,973252,49134.0,533343,54.8,-0.45
2024-11-07,TATACONSUM,1007.05,1007.5,1010.0,983.55,984.85,989.71,1144864,52630.0,689643,60.24,-0.33
2024-11-06,TATACONSUM,1000.75,1002.0,1010.65,997.9,1007.05,1006.02,683591,40357.0,364360,53.3,-0.59
2024-11-05,TATACONSUM,994.6,985.1,1013.1,985.1,1000.75,1003.25,1163041,52389.0,509515,43.81,-0.47
2024-11-04,TATACONSUM,1004.1,998.0,1000.95,976.05,994.6,987.93,1427199,64019.0,710463,49.78,-0.31
2024-11-01,TATACONSUM,1002.55,1002.55,1012.0,1000.0,1004.1,1005.06,212772,13224.0,105672,49.66,-0.8
