Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,TATAMOTORS,711.6,715.0,718.35,702.3,703.85,708.08,9161608,208760.0,3731124,40.73,-0.5
2025-06-02,TATAMOTORS,719.5,717.0,719.0,707.4,711.6,712.42,9712446,178127.0,4039250,41.59,-0.43
2025-05-30,TATAMOTORS,724.45,724.45,728.55,712.5,719.5,718.99,14533919,170723.0,7525005,51.78,0.34
2025-05-29,TATAMOTORS,717.95,724.5,728.7,720.0,724.45,723.93,8838921,136523.0,3332134,37.7,-0.59
2025-05-28,TATAMOTORS,716.45,720.0,722.0,716.2,717.95,719.01,7568961,117049.0,3273428,43.25,-0.6
2025-05-27,TATAMOTORS,729.0,729.0,729.35,715.2,716.45,719.68,12223125,213762.0,5186592,42.43,-0.18
2025-05-26,TATAMOTORS,718.25,722.0,738.0,721.2,729.0,731.82,13017400,174194.0,4480805,34.42,-0.33
2025-05-23,TATAMOTORS,717.45,718.75,721.8,715.0,718.25,719.01,7915166,114102.0,3642135,46.01,-0.52
2025-05-22,TATAMOTORS,726.8,725.0,725.0,710.65,717.45,716.57,10046820,178556.0,3967341,39.49,-0.45
2025-05-21,TATAMOTORS,718.9,719.0,729.5,718.0,726.8,725.35,8998596,145016.0,2636246,29.3,-0.74
2025-05-20,TATAMOTORS,729.5,730.0,737.75,717.0,718.9,726.33,14472506,223690.0,6289756,43.46,0.07
2025-05-19,TATAMOTORS,730.7,732.0,738.1,728.0,729.5,733.16,10460217,189525.0,4002358,38.26,-0.44
2025-05-16,TATAMOTORS,728.1,730.0,742.0,725.55,730.7,733.15,20631512,301374.0,7506217,36.38,0.34
2025-05-15,TATAMOTORS,698.95,698.75,729.8,696.15,728.1,718.09,28634074,368702.0,7252345,25.33,0.28
2025-05-14,TATAMOTORS,707.7,690.0,708.0,686.0,698.95,696.53,31505402,529955.0,9876895,31.35,0.86
2025-05-13,TATAMOTORS,720.8,720.8,726.0,703.25,707.7,713.29,16125700,268737.0,6098775,37.82,0.03
2025-05-12,TATAMOTORS,708.5,728.0,732.0,711.2,720.8,720.11,20133616,261307.0,7241403,35.97,0.28
2025-05-09,TATAMOTORS,682.85,667.5,711.0,666.0,708.5,701.3,40183276,523258.0,12322279,30.67,1.4
2025-05-08,TATAMOTORS,680.3,700.0,704.5,677.2,682.85,692.28,29315465,366175.0,8857915,30.22,0.64
2025-05-07,TATAMOTORS,648.2,642.0,682.5,641.15,680.3,673.57,30390515,366513.0,10007086,32.93,0.89
2025-05-06,TATAMOTORS,661.55,661.55,663.2,645.5,648.2,651.87,12718175,235348.0,5330221,41.91,-0.14
2025-05-05,TATAMOTORS,652.0,662.95,666.65,655.85,661.55,660.93,8868484,159988.0,2782365,31.37,-0.71
2025-05-02,TATAMOTORS,644.25,641.0,661.35,635.55,652.0,652.71,13141726,244150.0,4638989,35.3,-0.3
2025-04-30,TATAMOTORS,665.6,667.0,667.0,641.1,644.25,645.61,19485917,311644.0,10689463,54.86,1.04
2025-04-29,TATAMOTORS,668.15,671.45,682.9,661.6,665.6,671.09,13754685,224042.0,4268709,31.03,-0.38
2025-04-28,TATAMOTORS,655.25,654.3,669.6,652.55,668.15,663.81,10243493,168942.0,4193648,40.94,-0.4
