DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,9.186999999999998,Bearish,20,20
High,High,Medium,4.363333333333344,Bearish,3,3
High,High,Very Low,9.039110169491527,Bearish,236,236
High,Low,High,10.150740740740744,Bearish,27,27
High,Low,Medium,11.559090909090907,Bearish,22,22
High,Medium,High,6.26333333333334,Bearish,3,3
High,Medium,Low,7.6254285714285714,Bullish,35,35
High,Medium,Medium,12.05931034482758,Bearish,29,29
High,Medium,Very Low,5.902666666666664,Bearish,15,15
High,Very High,High,8.825000000000003,Bullish,6,6
High,Very High,Low,14.491666666666665,Bearish,6,6
High,Very High,Medium,3.469999999999999,Bearish,2,2
High,Very High,Very High,13.044000000000006,Bearish,5,5
High,Very High,Very Low,14.259999999999991,Bullish,17,17
High,Very Low,High,9.640599999999996,Bearish,50,50
High,Very Low,Very Low,7.4000000000000155,Bearish,3,3
Low,High,High,3.9516666666666773,Bearish,6,6
Low,High,Very High,9.2375,Bearish,8,8
Low,Low,High,12.374999999999986,Bullish,4,4
Low,Low,Low,11.690249999999997,Bullish,40,40
Low,Low,Medium,10.168750000000014,Bearish,8,8
Low,Low,Very Low,9.846857142857143,Bearish,70,70
Low,Medium,High,7.740000000000005,Bearish,24,24
Low,Medium,Low,11.60153846153845,Bullish,13,13
Low,Medium,Medium,14.838928571428573,Bullish,28,28
Low,Medium,Very High,10.42499999999999,Bullish,2,2
Low,Medium,Very Low,11.435714285714292,Bullish,7,7
Low,Very High,Very High,15.800000000000011,Bullish,1,1
Low,Very Low,High,10.982171428571421,Bearish,175,175
Low,Very Low,Low,12.209583333333335,Bearish,24,24
Low,Very Low,Medium,9.25536231884058,Bearish,69,69
Low,Very Low,Very Low,5.063333333333333,Bullish,3,3
Medium,High,High,6.552222222222222,Bearish,9,9
Medium,High,Low,8.85235294117647,Bearish,17,17
Medium,High,Medium,6.748888888888895,Bearish,9,9
Medium,High,Very High,2.3866666666666654,Bullish,3,3
Medium,High,Very Low,13.62142857142857,Bearish,7,7
Medium,Low,High,11.885714285714275,Bearish,7,7
Medium,Low,Low,10.414054054054052,Bearish,37,37
Medium,Low,Medium,10.22073684210526,Bearish,95,95
Medium,Low,Very Low,10.68263157894736,Bullish,19,19
Medium,Medium,Low,10.137857142857134,Bearish,28,28
Medium,Medium,Medium,10.099999999999975,Bullish,8,8
Medium,Medium,Very Low,10.167435897435901,Bearish,78,78
Medium,Very High,Very High,5.156666666666676,Bearish,3,3
Medium,Very Low,High,10.477089552238802,Bearish,134,134
Medium,Very Low,Medium,12.845454545454537,Bearish,22,22
Very High,High,High,14.296774193548385,Bearish,31,31
Very High,High,Low,6.134999999999991,Bearish,4,4
Very High,High,Medium,8.032499999999999,Bearish,4,4
Very High,High,Very Low,38.85000000000002,Bullish,2,2
Very High,Low,High,12.607692307692302,Bearish,13,13
Very High,Medium,High,14.579565217391302,Bullish,23,23
Very High,Medium,Medium,2.5,Bearish,1,1
Very High,Very High,High,25.83727272727273,Bullish,99,99
Very High,Very High,Low,20.572307692307703,Bearish,39,39
Very High,Very High,Medium,23.42622222222223,Bullish,45,45
Very High,Very High,Very High,19.28533333333333,Bullish,60,60
Very High,Very High,Very Low,26.488686131386874,Bearish,137,137
Very High,Very Low,High,11.25882352941176,Bearish,17,17
Very High,Very Low,Very Low,21.56250000000003,Bearish,4,4
Very Low,High,Very High,5.303333333333342,Bearish,3,3
Very Low,Low,High,9.88434782608696,Bullish,23,23
Very Low,Low,Low,7.349999999999994,Bearish,4,4
Very Low,Low,Medium,10.344705882352946,Bearish,17,17
Very Low,Low,Very High,9.591931818181818,Bearish,88,88
Very Low,Low,Very Low,20.966666666666658,Bearish,3,3
Very Low,Medium,High,10.933333333333318,Bullish,3,3
Very Low,Medium,Very High,9.106250000000003,Bullish,24,24
Very Low,Very High,Very High,2.1999999999999886,Bearish,1,1
Very Low,Very Low,High,12.321899999999994,Bearish,100,100
Very Low,Very Low,Low,10.35268292682927,Bullish,41,41
Very Low,Very Low,Medium,10.131228070175434,Bearish,57,57
Very Low,Very Low,Very High,11.47445945945945,Bullish,74,74
Very Low,Very Low,Very Low,10.817073170731705,Bearish,41,41
