Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,TATASTEEL,617.7,622.0,636.5,616.9,633.75,628.71,5569757,,1107657,19890000.0,,,635.35,,13992660.0,2010-01-28,157384.0,,Undecisive
2010-01-05,TATASTEEL,633.75,638.55,654.8,638.55,649.1,648.67,7801935,,2824636,36200000.00000001,,,648.6,,13550304.0,2010-01-28,-442356.0,13.25,ShortCovering
2010-01-06,TATASTEEL,649.1,660.0,660.0,637.0,642.05,645.32,7350435,,2285424,31090000.0,,,641.6,,12583844.0,2010-01-28,-966460.0,-7.0,LongUnwinding
2010-01-07,TATASTEEL,642.05,644.9,652.8,640.1,649.8,646.56,7635704,,2342356,30680000.000000007,,,648.5,,13123992.0,2010-01-28,540148.0,6.899999999999977,LongBuildUp
2010-01-08,TATASTEEL,649.8,651.0,661.5,640.9,648.45,650.67,8199586,,2545487,31040000.0,,,648.85,,13148440.0,2010-01-28,24448.0,0.35000000000002274,LongBuildUp
2010-01-11,TATASTEEL,648.45,650.0,655.9,645.2,648.5,651.02,6640749,,2785052,41940000.0,,,649.05,,13026964.0,2010-01-28,-121476.0,0.1999999999999318,ShortCovering
2010-01-12,TATASTEEL,648.5,641.5,648.75,623.85,625.55,634.91,6832387,,2371750,34710000.0,,,626.6,,12216360.0,2010-01-28,-810604.0,-22.449999999999932,LongUnwinding
2010-01-13,TATASTEEL,625.55,615.0,641.8,615.0,639.25,631.76,10315049,,3529470,34220000.0,,,640.8,,12207956.0,2010-01-28,-8404.0,14.199999999999932,ShortCovering
2010-01-14,TATASTEEL,639.25,644.75,651.2,641.55,647.7,646.09,6642444,,2828008,42570000.0,,,646.85,,12337836.0,2010-01-28,129880.0,6.050000000000068,LongBuildUp
2010-01-15,TATASTEEL,647.7,650.0,650.95,640.0,645.15,644.55,4292540,,1480116,34479999.99999999,,,642.7,,12166700.0,2010-01-28,-171136.0,-4.149999999999977,LongUnwinding
2010-01-18,TATASTEEL,645.15,642.0,642.0,630.75,637.5,635.83,5948930,,2466135,41460000.0,,,637.0,,12318736.0,2010-01-28,152036.0,-5.7000000000000455,ShortBuildUp
2010-01-19,TATASTEEL,637.5,636.0,645.6,632.0,637.65,639.4,5015647,,2112435,42120000.0,,,634.8,,12694624.0,2010-01-28,375888.0,-2.2000000000000455,ShortBuildUp
2010-01-20,TATASTEEL,637.65,638.0,657.4,638.0,653.7,648.89,7929039,,3270629,41250000.0,,,650.7,,12376800.0,2010-01-28,-317824.0,15.900000000000091,ShortCovering
2010-01-21,TATASTEEL,653.7,649.5,659.5,642.25,648.0,651.14,10916900,,5247846,48070000.0,,,642.95,,12885624.0,2010-01-28,508824.0,-7.75,ShortBuildUp
2010-01-22,TATASTEEL,648.0,641.1,641.1,617.0,624.55,626.05,8780340,,3581752,40790000.0,,,619.75,,11986396.0,2010-01-28,-899228.0,-23.200000000000045,LongUnwinding
2010-01-25,TATASTEEL,624.55,620.0,625.7,606.9,609.9,613.68,5328645,,1537882,28860000.000000007,,,606.2,,9927416.0,2010-01-28,-2058980.0,-13.549999999999955,LongUnwinding
2010-01-27,TATASTEEL,609.9,599.9,605.7,553.25,559.65,578.03,10905233,,4277179,39220000.0,,,558.9,,5578728.0,2010-01-28,-4348688.0,-47.30000000000007,LongUnwinding
2010-01-28,TATASTEEL,559.65,566.0,589.4,565.0,585.4,576.27,12582874,,2889782,22970000.0,,,585.65,,3406676.0,2010-01-28,-2172052.0,26.75,ShortCovering
2010-01-29,TATASTEEL,585.4,578.0,581.0,551.7,569.1,566.01,11590124,,3599214,31050000.0,,,,,,,,,
2010-02-01,TATASTEEL,569.1,560.0,584.8,557.95,579.85,575.74,6917219,,1475356,21330000.0,77.96551955,,575.3,,17055536.0,2010-02-25,12224.0,-10.350000000000023,ShortBuildUp
2010-02-02,TATASTEEL,579.85,585.0,594.6,570.65,573.3,583.55,9193208,,3256655,35420000.0,76.41658587,-1.55,567.15,,18235916.0,2010-02-25,1180380.0,-8.149999999999977,ShortBuildUp
2010-02-03,TATASTEEL,573.3,578.0,603.6,577.1,600.4,594.66,9026480,,2600924,28809999.999999993,75.16707902,-1.25,594.25,,19303988.0,2010-02-25,1068072.0,27.100000000000023,LongBuildUp
2010-02-04,TATASTEEL,600.4,596.0,596.0,574.0,577.7,585.23,6958982,,2316558,33290000.0,74.74004836,-0.43,572.25,,19300168.0,2010-02-25,-3820.0,-22.0,LongUnwinding
2010-02-05,TATASTEEL,577.7,540.0,561.5,540.0,550.2,550.87,8789441,,2412778,27450000.000000007,73.35093533,-1.39,543.4,,20154320.0,2010-02-25,854152.0,-28.850000000000023,ShortBuildUp
2010-02-06,TATASTEEL,550.2,555.0,563.0,551.2,558.95,557.85,819942,,113370,13830000.0,,,552.55,,20052708.0,2010-02-25,-101612.0,9.149999999999977,ShortCovering
2010-02-08,TATASTEEL,558.95,550.0,565.9,528.1,533.85,540.12,14263921,,5115557,35860000.0,71.50131144,-1.85,533.55,,21104736.0,2010-02-25,1052028.0,-19.0,ShortBuildUp
2010-02-09,TATASTEEL,533.85,531.0,542.2,530.0,533.55,536.54,7347298,,1698583,23120000.0,71.09828546,-0.4,533.15,,20870952.0,2010-02-25,-233784.0,-0.39999999999997726,LongUnwinding
2010-02-10,TATASTEEL,533.55,536.0,544.7,519.3,522.45,535.21,6927734,,1292791,18660000.0,69.73444052,-1.36,520.0,,21588348.0,2010-02-25,717396.0,-13.149999999999977,ShortBuildUp
2010-02-11,TATASTEEL,522.45,524.85,538.35,524.85,533.95,532.5,6424782,,1411837,21970000.0,69.90815861,0.17,532.8,,21197944.0,2010-02-25,-390404.0,12.799999999999955,ShortCovering
2010-02-15,TATASTEEL,533.95,537.5,544.5,530.6,539.9,537.95,7261457,,2752649,37909999.99999999,69.27582476,-0.63,536.9,,21729688.0,2010-02-25,531744.0,4.100000000000023,LongBuildUp
2010-02-16,TATASTEEL,539.9,542.0,552.0,540.05,550.1,547.47,6424900,,1737376,27040000.0,69.23918603,-0.04,548.85,,21252188.0,2010-02-25,-477500.0,11.950000000000045,ShortCovering
2010-02-17,TATASTEEL,550.1,545.1,586.3,545.1,584.35,578.68,9588185,,2425800,25300000.0,69.85572733,0.62,580.85,,20397272.0,2010-02-25,-854916.0,32.0,ShortCovering
2010-02-18,TATASTEEL,584.35,584.0,587.0,570.1,577.15,575.39,4882515,,662786,13570000.000000004,70.13367628,0.28,576.5,,19229880.0,2010-02-25,-1167392.0,-4.350000000000023,LongUnwinding
2010-02-19,TATASTEEL,577.15,568.0,572.4,556.55,560.75,563.56,7575148,,2724154,35960000.0,70.42236416,0.29,560.35,,17814188.0,2010-02-25,-1415692.0,-16.149999999999977,LongUnwinding
