Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,TITAN,2024-12-26,3480.05,3480.05,3421.35,3457.8,3457.8,1120000.0,6400.0,7612500,-95025
2024-12-11,TITAN,2024-12-26,3434.2,3520.45,3434.2,3479.45,3479.45,609875.0,3485.0,7707525,-31150
2024-12-10,TITAN,2024-12-26,3469.9,3519.0,3447.3,3476.65,3476.65,1011675.0,5781.0,7738675,28175
2024-12-09,TITAN,2024-12-26,3457.55,3491.65,3456.25,3470.8,3470.8,949550.0,5426.0,7710500,-154525
2024-12-06,TITAN,2024-12-26,3440.0,3503.2,3434.15,3473.95,3473.95,1579025.0,9023.0,7865025,-145250
2024-12-05,TITAN,2024-12-26,3374.25,3471.15,3360.0,3444.95,3444.95,3355800.0,19176.0,8010275,-211225
2024-12-04,TITAN,2024-12-26,3348.85,3389.5,3345.75,3370.5,3370.5,1456875.0,8325.0,8221500,-334600
2024-12-03,TITAN,2024-12-26,3307.2,3347.2,3290.25,3341.4,3341.4,1193325.0,6819.0,8556100,-339500
2024-12-02,TITAN,2024-12-26,3278.35,3322.75,3240.0,3319.1,3319.1,1053675.0,6021.0,8895600,-129325
2024-11-29,TITAN,2024-12-26,3250.25,3281.7,3239.55,3268.3,3268.3,1087450.0,6214.0,9024925,-27825
2024-11-28,TITAN,2024-11-28,3283.75,3307.55,3205.25,3217.05,3212.35,3045875.0,17405.0,413525,-1993075
2024-11-27,TITAN,2024-11-28,3280.0,3324.85,3276.1,3294.05,3294.05,2140950.0,12234.0,2406600,-1622075
2024-11-26,TITAN,2024-11-28,3302.65,3343.3,3291.6,3327.45,3327.45,2876125.0,16435.0,4028675,-2165100
2024-11-25,TITAN,2024-11-28,3343.35,3364.75,3298.2,3312.65,3312.65,3464475.0,19797.0,6193775,-2307025
2024-11-22,TITAN,2024-11-28,3169.9,3310.95,3157.7,3303.05,3303.05,3033450.0,17334.0,8500800,-681975
2024-11-21,TITAN,2024-11-28,3210.0,3219.55,3145.2,3173.2,3173.2,1766625.0,10095.0,9182775,-364700
2024-11-19,TITAN,2024-11-28,3180.75,3281.9,3171.05,3222.55,3222.55,2053975.0,11737.0,9547475,-397075
2024-11-18,TITAN,2024-11-28,3188.0,3206.2,3157.2,3175.2,3175.2,967225.0,5527.0,9944550,-90475
2024-11-14,TITAN,2024-11-28,3183.5,3200.0,3139.9,3184.15,3184.15,1731450.0,9894.0,10035025,-102025
2024-11-13,TITAN,2024-11-28,3179.05,3222.6,3172.95,3190.1,3190.1,1580775.0,9033.0,10137050,-133000
2024-11-12,TITAN,2024-11-28,3211.2,3247.2,3190.95,3201.3,3201.3,1622250.0,9270.0,10270050,-271250
2024-11-11,TITAN,2024-11-28,3190.0,3234.95,3169.25,3212.15,3212.15,1853075.0,10589.0,10543225,-385350
2024-11-08,TITAN,2024-11-28,3126.95,3198.6,3122.25,3192.9,3192.9,2474150.0,14138.0,10928575,-38325
2024-11-07,TITAN,2024-11-28,3218.0,3218.0,3123.15,3136.9,3136.9,2423925.0,13851.0,10966900,90125
2024-11-06,TITAN,2024-11-28,3201.0,3219.55,3122.85,3186.75,3186.75,8966650.0,51238.0,10876775,-688800
2024-11-05,TITAN,2024-11-28,3219.35,3273.0,3190.0,3243.3,3243.3,3585050.0,20486.0,11565575,584500
2024-11-04,TITAN,2024-11-28,3299.0,3299.0,3197.9,3235.45,3235.45,2847775.0,16273.0,10981075,284550
2024-11-01,TITAN,2024-11-28,3300.3,3315.8,3280.0,3294.2,3294.2,221375.0,1265.0,10696525,9275
2024-10-31,TITAN,2024-10-31,3293.6,3296.0,3248.5,3264.65,3267.4,3061450.0,17494.0,738675,-1969450
2024-10-30,TITAN,2024-10-31,3256.25,3319.0,3237.85,3305.65,3305.65,3573150.0,20418.0,2708125,-2925300
2024-10-29,TITAN,2024-10-31,3274.95,3289.6,3223.35,3279.85,3279.85,3499825.0,19999.0,5633425,-2320675
2024-10-28,TITAN,2024-10-31,3296.9,3312.4,3258.1,3282.65,3282.65,2904125.0,16595.0,7954100,-1760850
2024-10-25,TITAN,2024-10-31,3335.95,3345.65,3232.95,3266.95,3266.95,2566025.0,14663.0,9714950,-518525
2024-10-24,TITAN,2024-10-31,3308.05,3343.9,3288.15,3335.35,3335.35,1416975.0,8097.0,10233475,-265650
2024-10-23,TITAN,2024-10-31,3333.6,3342.2,3292.25,3297.25,3297.25,1464225.0,8367.0,10499125,140875
2024-10-22,TITAN,2024-10-31,3378.05,3424.3,3329.35,3337.35,3337.35,1728650.0,9878.0,10358250,-125825
2024-10-21,TITAN,2024-10-31,3430.45,3430.45,3340.25,3372.2,3372.2,1676150.0,9578.0,10484075,-112525
2024-10-18,TITAN,2024-10-31,3390.0,3429.65,3301.75,3397.5,3397.5,3616550.0,20666.0,10596600,65450
2024-10-17,TITAN,2024-10-31,3519.9,3519.9,3383.15,3404.45,3404.45,2080925.0,11891.0,10531150,-1225
2024-10-16,TITAN,2024-10-31,3473.85,3510.55,3445.75,3477.05,3477.05,1235500.0,7060.0,10532375,99575
2024-10-15,TITAN,2024-10-31,3532.0,3539.1,3486.9,3514.2,3514.2,866425.0,4951.0,10432800,26775
2024-10-14,TITAN,2024-10-31,3481.85,3542.6,3467.45,3514.2,3514.2,1178275.0,6733.0,10406025,-3850
2024-10-11,TITAN,2024-10-31,3470.0,3504.9,3459.6,3489.6,3489.6,1507800.0,8616.0,10409875,-50750
2024-10-10,TITAN,2024-10-31,3522.8,3547.95,3434.0,3467.5,3467.5,2453150.0,14018.0,10460625,109375
2024-10-09,TITAN,2024-10-31,3535.0,3578.75,3505.0,3511.4,3511.4,2364950.0,13514.0,10351250,7700
2024-10-08,TITAN,2024-10-31,3589.55,3599.95,3492.2,3507.05,3507.05,2463125.0,14075.0,10343550,-115675
2024-10-07,TITAN,2024-10-31,3703.25,3769.0,3569.65,3604.75,3604.75,4408075.0,25189.0,10459225,65100
2024-10-04,TITAN,2024-10-31,3684.05,3775.0,3661.05,3698.05,3698.05,3041150.0,17378.0,10394125,350
2024-10-03,TITAN,2024-10-31,3733.05,3813.8,3681.2,3708.35,3708.35,2653350.0,15162.0,10393775,159250
2024-10-01,TITAN,2024-10-31,3843.75,3854.0,3782.4,3806.55,3806.55,1232700.0,7044.0,10234525,20475
2024-09-30,TITAN,2024-10-31,3825.1,3895.0,3817.3,3851.3,3851.3,1490300.0,8516.0,10214050,156800
2024-09-27,TITAN,2024-10-31,3804.85,3899.5,3776.15,3851.75,3851.75,3356500.0,19180.0,10057250,556850
2024-09-26,TITAN,2024-09-26,3722.9,3782.9,3704.1,3762.45,3757.55,1983275.0,11333.0,241325,-1154650
2024-09-25,TITAN,2024-09-26,3788.0,3803.4,3712.4,3737.3,3737.3,3210725.0,18347.0,1395975,-2186450
2024-09-24,TITAN,2024-09-26,3823.0,3843.4,3787.5,3790.5,3790.5,2558150.0,14618.0,3582425,-1770825
2024-09-23,TITAN,2024-09-26,3810.0,3834.2,3787.05,3818.2,3818.2,2611175.0,14921.0,5353250,-1751575
2024-09-20,TITAN,2024-09-26,3799.75,3815.4,3744.0,3800.7,3800.7,3091025.0,17663.0,7104825,-199500
2024-09-19,TITAN,2024-09-26,3750.5,3797.4,3749.1,3783.0,3783.0,2046275.0,11693.0,7304325,-164850
2024-09-18,TITAN,2024-09-26,3765.75,3787.7,3711.05,3728.8,3728.8,1140825.0,6519.0,7469175,-106575
2024-09-17,TITAN,2024-09-26,3761.75,3781.95,3737.0,3767.25,3767.25,774900.0,4428.0,7575750,-166950
2024-09-16,TITAN,2024-09-26,3784.65,3791.65,3746.5,3752.25,3752.25,1027075.0,5869.0,7742700,-102725
