Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,TITAN,3445.75,3420.0,3518.0,3380.25,3508.85,3459.79,1242351,109368.0,697867,56.17
2024-12-12,TITAN,3473.1,3470.5,3473.1,3412.0,3445.75,3440.9,926472,78691.0,461276,49.79
2024-12-11,TITAN,3475.75,3484.75,3490.75,3460.3,3473.1,3472.71,554702,53036.0,326159,58.8
2024-12-10,TITAN,3468.2,3470.0,3516.95,3436.05,3475.75,3482.97,1063355,83557.0,607461,57.13
2024-12-09,TITAN,3470.1,3467.5,3488.25,3446.9,3468.2,3466.61,926422,84569.0,582625,62.89
2024-12-06,TITAN,3441.05,3453.95,3499.65,3430.0,3470.1,3471.63,1278516,101693.0,710878,55.6
2024-12-05,TITAN,3364.45,3374.95,3465.4,3353.6,3441.05,3418.98,2383630,156477.0,1298197,54.46
2024-12-04,TITAN,3332.75,3342.0,3383.0,3338.0,3364.45,3361.3,1630076,113802.0,1168117,71.66
2024-12-03,TITAN,3306.85,3290.0,3338.7,3276.6,3332.75,3322.52,1162310,119085.0,815275,70.14
2024-12-02,TITAN,3249.0,3249.0,3309.9,3222.05,3306.85,3283.51,915980,79049.0,566132,61.81
2024-11-29,TITAN,3212.35,3212.35,3260.0,3212.35,3249.0,3245.56,1139585,102334.0,683267,59.96
2024-11-28,TITAN,3291.65,3292.0,3305.0,3200.35,3212.35,3233.81,1701387,146152.0,900272,52.91
2024-11-27,TITAN,3327.5,3325.0,3329.9,3280.15,3291.65,3298.26,732835,62503.0,369978,50.49
2024-11-26,TITAN,3309.1,3310.0,3343.75,3295.7,3327.5,3320.08,721345,69407.0,394844,54.74
2024-11-25,TITAN,3308.7,3360.0,3369.85,3298.05,3309.1,3317.23,1892510,108947.0,1219424,64.43
2024-11-22,TITAN,3178.45,3174.85,3317.0,3152.15,3308.7,3267.72,2207527,136683.0,1424764,64.54
2024-11-21,TITAN,3224.7,3225.0,3233.95,3148.35,3178.45,3178.71,1582159,123325.0,975016,61.63
2024-11-19,TITAN,3172.3,3192.0,3283.0,3172.3,3224.7,3244.12,1174506,92094.0,626417,53.33
2024-11-18,TITAN,3183.7,3183.7,3207.2,3157.5,3172.3,3177.48,943251,126558.0,585619,62.09
2024-11-14,TITAN,3187.85,3145.05,3195.15,3136.0,3183.7,3164.5,1161637,114955.0,654531,56.35
2024-11-13,TITAN,3198.45,3175.0,3221.6,3162.2,3187.85,3193.76,911537,79752.0,485245,53.23
2024-11-12,TITAN,3206.6,3201.65,3239.0,3185.0,3198.45,3207.62,992983,73831.0,600395,60.46
2024-11-11,TITAN,3186.25,3191.6,3230.05,3158.25,3206.6,3201.94,1054929,89564.0,538699,51.06
2024-11-08,TITAN,3120.85,3121.0,3192.9,3106.0,3186.25,3154.83,1719882,117888.0,904342,52.58
2024-11-07,TITAN,3177.05,3180.0,3186.05,3108.1,3120.85,3133.57,1608603,146326.0,923394,57.4
2024-11-06,TITAN,3230.25,3145.0,3208.95,3114.0,3177.05,3159.06,4522923,270551.0,1616332,35.74
2024-11-05,TITAN,3222.0,3206.0,3258.9,3185.0,3230.25,3217.14,872402,74263.0,288887,33.11
2024-11-04,TITAN,3293.7,3318.0,3318.0,3190.1,3222.0,3220.83,1122152,135910.0,534669,47.65
2024-11-01,TITAN,3267.05,3304.0,3317.6,3282.35,3293.7,3297.36,176636,20929.0,86281,48.85
2024-10-31,TITAN,3308.45,3291.0,3299.9,3253.6,3267.05,3267.13,1170306,111970.0,705762,60.31
2024-10-30,TITAN,3283.4,3261.0,3321.8,3235.1,3308.45,3295.03,895278,93877.0,537370,60.02
2024-10-29,TITAN,3283.05,3285.8,3298.0,3227.0,3283.4,3265.95,702769,58963.0,380509,54.14
2024-10-28,TITAN,3266.55,3270.0,3315.0,3254.05,3283.05,3288.17,736462,66122.0,404038,54.86
2024-10-25,TITAN,3330.9,3332.0,3342.35,3232.35,3266.55,3270.55,805013,103742.0,361999,44.97
