Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,TITAN,3525.5,3525.5,3580.0,3503.5,3519.8,3524.65,676943,65935.0,341278,50.41,-0.7
2025-06-02,TITAN,3555.0,3525.1,3542.0,3475.9,3525.5,3512.05,726392,53984.0,417707,57.5,-0.55
2025-05-30,TITAN,3588.3,3580.0,3605.0,3542.1,3555.0,3564.53,962944,49315.0,668769,69.45,-0.08
2025-05-29,TITAN,3574.7,3580.0,3600.0,3560.1,3588.3,3582.16,513095,40146.0,293148,57.13,-0.79
2025-05-28,TITAN,3589.4,3595.0,3601.6,3545.0,3574.7,3571.58,449324,36449.0,216513,48.19,-0.94
2025-05-27,TITAN,3610.3,3615.0,3639.0,3562.2,3589.4,3588.33,1019733,113185.0,460207,45.13,-0.47
2025-05-26,TITAN,3579.7,3576.0,3640.0,3570.4,3610.3,3610.92,525514,58759.0,257607,49.02,-0.86
2025-05-23,TITAN,3541.0,3531.0,3606.3,3523.0,3579.7,3576.65,416717,40811.0,240863,57.8,-0.89
2025-05-22,TITAN,3580.5,3565.0,3575.0,3516.1,3541.0,3540.38,709846,57639.0,424828,59.85,-0.54
2025-05-21,TITAN,3580.6,3570.0,3623.1,3567.3,3580.5,3588.62,415016,35704.0,202872,48.88,-0.96
2025-05-20,TITAN,3617.7,3617.7,3620.0,3575.1,3580.6,3593.71,811416,63401.0,588089,72.48,-0.23
2025-05-19,TITAN,3633.7,3617.0,3649.5,3611.4,3617.7,3627.37,376760,50988.0,252871,67.12,-0.87
2025-05-16,TITAN,3636.8,3654.0,3655.9,3613.4,3633.7,3630.78,525064,40579.0,313590,59.72,-0.75
2025-05-15,TITAN,3587.6,3597.0,3665.0,3553.9,3636.8,3619.48,1227751,98154.0,554981,45.2,-0.29
2025-05-14,TITAN,3563.2,3555.0,3610.0,3550.0,3587.6,3586.87,588159,49709.0,351014,59.68,-0.68
2025-05-13,TITAN,3562.9,3562.9,3588.4,3540.1,3563.2,3561.6,996541,91133.0,521597,52.34,-0.36
2025-05-12,TITAN,3510.3,3537.2,3585.0,3530.3,3562.9,3561.9,956930,79243.0,481442,50.31,-0.43
2025-05-09,TITAN,3369.3,3367.0,3530.0,3354.2,3510.3,3496.81,2863992,204685.0,950398,33.18,0.46
2025-05-08,TITAN,3338.9,3349.9,3412.5,3325.0,3369.3,3373.34,1597339,111344.0,718589,44.99,0.02
2025-05-07,TITAN,3299.3,3280.0,3381.0,3260.2,3338.9,3332.39,1047443,69814.0,497327,47.48,-0.4
2025-05-06,TITAN,3321.8,3321.8,3325.3,3245.5,3299.3,3281.15,650789,63207.0,235008,36.11,-0.9
2025-05-05,TITAN,3341.0,3357.7,3408.5,3307.0,3321.8,3350.37,565178,51968.0,281891,49.88,-0.81
2025-05-02,TITAN,3379.7,3362.1,3381.5,3324.0,3341.0,3350.1,668467,80561.0,370181,55.38,-0.65
2025-04-30,TITAN,3378.6,3374.0,3409.0,3354.3,3379.7,3386.38,708818,56811.0,420681,59.35,-0.55
2025-04-29,TITAN,3369.1,3375.9,3398.0,3354.0,3378.6,3378.78,575435,57300.0,325186,56.51,-0.73
2025-04-28,TITAN,3365.2,3356.0,3397.4,3351.0,3369.1,3374.56,384147,44189.0,198967,51.79,-0.97
2025-04-25,TITAN,3382.6,3382.6,3419.5,3316.0,3365.2,3364.77,704325,56990.0,392780,55.77,-0.6
2025-04-24,TITAN,3357.3,3356.8,3395.0,3344.0,3382.6,3374.4,901747,55946.0,560530,62.16,-0.28
2025-04-23,TITAN,3337.4,3357.0,3373.7,3315.5,3357.3,3347.94,628656,57955.0,339551,54.01,-0.7
2025-04-22,TITAN,3336.1,3336.1,3358.8,3320.1,3337.4,3337.73,609213,53198.0,326344,53.57,-0.73
2025-04-21,TITAN,3327.5,3314.0,3353.5,3290.0,3336.1,3329.4,672129,65177.0,325190,48.38,-0.73
2025-04-17,TITAN,3272.1,3250.0,3334.8,3211.2,3327.5,3288.54,1083612,98982.0,481458,44.43,-0.43
2025-04-16,TITAN,3273.4,3250.0,3286.0,3245.1,3272.1,3268.42,889943,90706.0,592560,66.58,-0.22
