Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,TRENT,904.3,904.95,908.0,888.0,890.4,902.61,10362,,8902,0.8591,,,,,,,,,
2010-01-05,TRENT,890.4,904.0,912.0,880.0,885.25,889.52,4598,,2467,0.5365,,,,,,,,,
2010-01-06,TRENT,885.25,894.9,894.9,865.05,867.5,875.86,4483,,3024,0.6745,,,,,,,,,
2010-01-07,TRENT,867.5,867.5,867.5,844.0,858.25,857.52,4017,,2665,0.6634000000000001,,,,,,,,,
2010-01-08,TRENT,858.25,850.15,865.0,846.05,848.95,855.68,2380,,1321,0.555,,,,,,,,,
2010-01-11,TRENT,848.95,857.0,857.0,836.05,840.25,845.14,53656,,51937,0.968,,,,,,,,,
2010-01-12,TRENT,840.25,849.95,850.0,812.6,818.7,825.24,11120,,7928,0.7129000000000001,,,,,,,,,
2010-01-13,TRENT,818.7,812.25,839.0,810.1,825.25,815.89,97052,,94398,0.9727,,,,,,,,,
2010-01-14,TRENT,825.25,839.9,839.95,825.6,830.0,833.58,2450,,1594,0.6506000000000001,,,,,,,,,
2010-01-15,TRENT,830.0,839.0,845.0,825.5,835.0,835.06,32284,,30308,0.9388,,,,,,,,,
2010-01-18,TRENT,835.0,835.0,841.95,821.25,830.25,829.08,2115,,1066,0.504,,,,,,,,,
2010-01-19,TRENT,830.25,822.3,840.0,822.0,835.4,830.58,3129,,2497,0.798,,,,,,,,,
2010-01-20,TRENT,835.4,834.0,849.0,826.1,830.15,837.52,2877,,1165,0.40490000000000004,,,,,,,,,
2010-01-21,TRENT,830.15,824.9,855.0,824.9,840.55,837.1,2592,,1880,0.7253000000000001,,,,,,,,,
2010-01-22,TRENT,840.55,842.0,842.0,825.0,830.2,830.53,2028,,1226,0.6045,,,,,,,,,
2010-01-25,TRENT,830.2,830.1,845.0,827.0,832.7,830.03,58145,,52438,0.9018,,,,,,,,,
