DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,12.96739130434782,Bearish,23,23
High,High,Medium,16.52500000000002,Bearish,4,4
High,High,Very Low,43.02138888888887,Bearish,180,180
High,Low,Low,14.55000000000001,Bearish,11,11
High,Low,Medium,14.18666666666666,Bullish,30,30
High,Medium,Low,11.054999999999998,Bearish,30,30
High,Medium,Very Low,18.20000000000004,Bullish,9,9
High,Very High,High,25.031818181818174,Bearish,22,22
High,Very High,Low,24.999999999999993,Bearish,8,8
High,Very High,Medium,18.774999999999977,Bearish,16,16
High,Very High,Very High,27.688709677419357,Bullish,31,31
High,Very High,Very Low,31.1214285714286,Bearish,7,7
High,Very Low,Medium,16.539682539682538,Bearish,63,63
High,Very Low,Very Low,19.575000000000045,Bearish,2,2
Low,High,High,10.195833333333328,Bearish,12,12
Low,High,Medium,5.600000000000023,Bearish,1,1
Low,High,Very High,16.359999999999992,Bullish,10,10
Low,Low,Low,18.420454545454565,Bullish,22,22
Low,Low,Medium,11.112499999999997,Bearish,4,4
Low,Low,Very Low,16.30615384615384,Bearish,130,130
Low,Medium,High,10.528571428571425,Bullish,7,7
Low,Medium,Low,10.781818181818188,Bullish,11,11
Low,Medium,Medium,11.707142857142854,Bearish,21,21
Low,Medium,Very Low,16.97777777777777,Bullish,9,9
Low,Very High,Very High,23.488709677419365,Bearish,31,31
Low,Very Low,Low,13.248165137614672,Bearish,109,109
Low,Very Low,Medium,13.79999999999999,Bearish,50,50
Low,Very Low,Very Low,13.099999999999993,Bullish,19,19
Medium,High,High,12.135,Bearish,10,10
Medium,High,Low,16.121428571428577,Bearish,21,21
Medium,High,Medium,10.914705882352933,Bearish,17,17
Medium,High,Very Low,21.07884615384614,Bullish,26,26
Medium,Low,Low,13.97999999999999,Bearish,40,40
Medium,Low,Very Low,17.423809523809524,Bearish,42,42
Medium,Medium,Low,18.325,Bullish,6,6
Medium,Medium,Very Low,21.534597156398107,Bearish,211,211
Medium,Very High,High,22.445833333333336,Bearish,12,12
Medium,Very High,Very High,30.53863636363635,Bearish,22,22
Medium,Very Low,Low,14.400000000000006,Bearish,2,2
Medium,Very Low,Medium,15.685416666666667,Bullish,24,24
Medium,Very Low,Very Low,17.750000000000018,Doji,3,3
Very High,High,Low,28.209459459459445,Bearish,37,37
Very High,High,Medium,22.468749999999996,Bullish,24,24
Very High,High,Very Low,44.41756756756757,Bearish,37,37
Very High,Low,Medium,15.192187499999996,Bearish,32,32
Very High,Medium,Low,19.66000000000001,Bearish,5,5
Very High,Medium,Medium,13.740909090909094,Bearish,22,22
Very High,Very High,High,48.61875000000006,Bearish,8,8
Very High,Very High,Low,46.503378378378386,Bullish,74,74
Very High,Very High,Medium,41.5162162162162,Bearish,37,37
Very High,Very High,Very High,44.161111111111076,Bullish,18,18
Very High,Very High,Very Low,47.70989583333333,Bearish,96,96
Very High,Very Low,Medium,17.222826086956523,Bullish,46,46
Very High,Very Low,Very Low,16.200000000000045,Bearish,1,1
Very Low,High,Very High,18.473529411764716,Bearish,34,34
Very Low,Low,High,11.186000000000003,Bearish,25,25
Very Low,Low,Low,10.020833333333327,Bullish,12,12
Very Low,Low,Medium,10.300000000000004,Bearish,18,18
Very Low,Low,Very High,9.825,Bearish,36,36
Very Low,Low,Very Low,16.794444444444434,Bullish,9,9
Very Low,Medium,High,17.833333333333336,Bullish,12,12
Very Low,Medium,Very High,13.986363636363647,Bullish,11,11
Very Low,Very High,Very High,23.87857142857143,Bearish,21,21
Very Low,Very Low,High,12.094000000000001,Bearish,25,25
Very Low,Very Low,Low,14.205063291139238,Bearish,79,79
Very Low,Very Low,Medium,12.363380281690143,Bearish,71,71
Very Low,Very Low,Very High,11.102631578947376,Bearish,19,19
Very Low,Very Low,Very Low,15.626923076923077,Bullish,65,65
