Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,TVSMOTOR,2763.4,2764.1,2778.5,2735.5,2744.8,2756.32,453177,47021.0,250969,55.38,-0.5
2025-06-02,TVSMOTOR,2780.8,2785.0,2796.9,2722.1,2763.4,2755.57,673513,43534.0,369332,54.84,-0.3
2025-05-30,TVSMOTOR,2808.6,2795.1,2809.0,2733.1,2780.8,2778.61,1690693,55497.0,1080835,63.93,0.91
2025-05-29,TVSMOTOR,2801.5,2817.8,2832.9,2790.8,2808.6,2812.15,601733,45357.0,336697,55.95,-0.35
2025-05-28,TVSMOTOR,2799.7,2799.7,2812.9,2779.1,2801.5,2796.96,479024,29213.0,303936,63.45,-0.41
2025-05-27,TVSMOTOR,2776.8,2790.0,2805.5,2745.8,2799.7,2782.87,457064,39419.0,206707,45.22,-0.57
2025-05-26,TVSMOTOR,2780.6,2794.0,2815.0,2769.7,2776.8,2783.87,656043,49444.0,414003,63.11,-0.22
2025-05-23,TVSMOTOR,2802.8,2822.0,2824.2,2777.5,2780.6,2792.74,537902,36944.0,271171,50.41,-0.46
2025-05-22,TVSMOTOR,2767.3,2767.1,2810.0,2717.0,2802.8,2774.72,785085,45811.0,403443,51.39,-0.24
2025-05-21,TVSMOTOR,2751.2,2761.1,2808.0,2741.1,2767.3,2775.1,486324,39956.0,274072,56.36,-0.46
2025-05-20,TVSMOTOR,2825.1,2840.0,2840.0,2744.3,2751.2,2774.87,680986,46089.0,389565,57.21,-0.26
2025-05-19,TVSMOTOR,2841.5,2854.5,2878.9,2815.2,2825.1,2841.48,841294,52103.0,519210,61.72,-0.04
2025-05-16,TVSMOTOR,2789.8,2799.9,2853.9,2777.0,2841.5,2824.45,823478,50337.0,395472,48.02,-0.25
2025-05-15,TVSMOTOR,2727.3,2727.3,2794.8,2709.0,2789.8,2766.81,1126642,76240.0,695282,61.71,0.26
2025-05-14,TVSMOTOR,2712.4,2720.4,2738.0,2689.0,2727.3,2727.69,609489,68731.0,373766,61.32,-0.29
2025-05-13,TVSMOTOR,2760.7,2764.0,2780.8,2700.0,2712.4,2727.59,657860,65316.0,391601,59.53,-0.26
2025-05-12,TVSMOTOR,2663.7,2725.0,2774.0,2719.7,2760.7,2757.37,701314,40786.0,414643,59.12,-0.22
2025-05-09,TVSMOTOR,2695.6,2645.0,2686.1,2640.0,2663.7,2663.09,964332,63710.0,405219,42.02,-0.24
2025-05-08,TVSMOTOR,2792.3,2800.0,2808.2,2680.2,2695.6,2754.45,888115,44825.0,591385,66.59,0.08
2025-05-07,TVSMOTOR,2773.5,2755.0,2811.0,2755.0,2792.3,2787.9,779782,44841.0,466606,59.84,-0.13
2025-05-06,TVSMOTOR,2782.6,2794.0,2829.9,2758.0,2773.5,2791.99,961359,59302.0,451483,46.96,-0.16
2025-05-05,TVSMOTOR,2713.8,2731.8,2796.2,2727.3,2782.6,2773.46,833618,56110.0,403830,48.44,-0.24
2025-05-02,TVSMOTOR,2672.0,2700.5,2752.0,2700.0,2713.8,2723.6,1658272,97161.0,777881,46.91,0.4
2025-04-30,TVSMOTOR,2702.6,2702.9,2708.9,2655.0,2672.0,2673.53,1551074,72802.0,1025517,66.12,0.82
2025-04-29,TVSMOTOR,2793.1,2774.0,2797.8,2680.1,2702.6,2714.56,2948364,193159.0,1281136,43.45,1.25
2025-04-28,TVSMOTOR,2737.9,2745.0,2848.9,2710.0,2793.1,2768.81,859499,59941.0,276238,32.14,-0.46
2025-04-25,TVSMOTOR,2773.9,2791.0,2809.7,2695.0,2737.9,2736.83,711996,57676.0,390189,54.8,-0.26
2025-04-24,TVSMOTOR,2806.7,2798.0,2820.0,2750.5,2773.9,2779.14,605270,40526.0,314064,51.89,-0.39
2025-04-23,TVSMOTOR,2738.5,2738.5,2816.1,2720.5,2806.7,2773.28,465708,39580.0,205362,44.1,-0.58
2025-04-22,TVSMOTOR,2735.6,2755.0,2771.5,2723.3,2738.5,2746.65,1128946,46415.0,774724,68.62,0.39
2025-04-21,TVSMOTOR,2679.3,2695.0,2745.1,2668.2,2735.6,2711.67,454985,35318.0,226801,49.85,-0.54
2025-04-17,TVSMOTOR,2614.2,2600.0,2690.0,2600.0,2679.3,2664.26,891895,68027.0,559242,62.7,0.02
2025-04-16,TVSMOTOR,2586.5,2589.0,2624.8,2567.4,2614.2,2593.98,591510,52181.0,375093,63.41,-0.29
2025-04-15,TVSMOTOR,2513.3,2586.0,2600.5,2545.8,2586.5,2585.33,1045478,68019.0,684504,65.47,0.24
2025-04-11,TVSMOTOR,2475.25,2511.65,2530.0,2496.05,2513.3,2513.37,912929,62423.0,576534,63.15,0.05
2025-04-09,TVSMOTOR,2437.65,2450.0,2488.7,2417.1,2475.25,2463.79,898839,54549.0,534373,59.45,-0.02
2025-04-08,TVSMOTOR,2368.15,2395.05,2449.0,2360.5,2437.65,2416.99,692612,70174.0,368647,53.23,-0.3
2025-04-07,TVSMOTOR,2464.95,2245.25,2394.9,2221.1,2368.15,2353.32,1050483,97463.0,519706,49.47,-0.04
2025-04-04,TVSMOTOR,2476.05,2473.05,2550.95,2450.4,2464.95,2469.99,567198,67383.0,303084,53.44,-0.41
2025-04-03,TVSMOTOR,2496.1,2470.0,2501.0,2441.25,2476.05,2472.4,529522,36536.0,272748,51.51,-0.46
