DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,17.27857142857143,Bearish,28,28
High,High,Medium,18.500000000000014,Bearish,4,4
High,High,Very Low,16.70035211267606,Bearish,142,142
High,Low,Low,11.149999999999977,Bearish,1,1
High,Low,Medium,19.27999999999999,Bearish,30,30
High,Medium,Low,14.234782608695664,Bullish,23,23
High,Medium,Medium,20.71,Bullish,10,10
High,Medium,Very Low,20.420000000000016,Bullish,5,5
High,Very High,High,18.931250000000002,Bearish,24,24
High,Very High,Low,13.649999999999977,Bullish,2,2
High,Very High,Medium,17.836111111111112,Bullish,18,18
High,Very High,Very High,16.135714285714293,Bullish,49,49
High,Very High,Very Low,30.51999999999999,Bullish,5,5
High,Very Low,Medium,18.899107142857144,Bullish,56,56
High,Very Low,Very Low,20.91250000000001,Bullish,4,4
Low,High,High,18.809999999999985,Bullish,10,10
Low,High,Very High,18.680555555555546,Bullish,18,18
Low,Low,Low,17.06794871794873,Bearish,39,39
Low,Low,Medium,13.899999999999977,Bullish,4,4
Low,Low,Very Low,16.416489361702126,Bearish,94,94
Low,Medium,High,17.355000000000008,Bearish,10,10
Low,Medium,Low,14.992857142857114,Bullish,7,7
Low,Medium,Medium,17.981818181818163,Bullish,11,11
Low,Medium,Very Low,26.569999999999983,Bearish,5,5
Low,Very High,Very High,19.778571428571436,Bearish,28,28
Low,Very Low,Low,16.255970149253734,Bearish,67,67
Low,Very Low,Medium,17.626842105263158,Bearish,95,95
Low,Very Low,Very Low,16.437499999999986,Bullish,12,12
Medium,High,High,15.950000000000017,Bearish,6,6
Medium,High,Low,15.130000000000019,Bearish,5,5
Medium,High,Medium,18.71071428571427,Bullish,14,14
Medium,High,Very High,15.149999999999977,Bullish,1,1
Medium,High,Very Low,14.34999999999999,Bearish,7,7
Medium,Low,Low,16.630172413793108,Bullish,58,58
Medium,Low,Medium,15.000000000000009,Bearish,7,7
Medium,Low,Very Low,16.75128205128205,Bullish,39,39
Medium,Medium,Low,17.396153846153855,Bullish,13,13
Medium,Medium,Medium,26.75,Bearish,1,1
Medium,Medium,Very Low,16.52387096774194,Bearish,155,155
Medium,Very High,High,11.620000000000005,Bullish,5,5
Medium,Very High,Very High,15.845000000000022,Bearish,20,20
Medium,Very Low,Medium,15.74015151515151,Bearish,66,66
Medium,Very Low,Very Low,18.200000000000006,Bullish,3,3
Very High,High,Low,18.997368421052627,Bearish,19,19
Very High,High,Medium,17.228000000000005,Bullish,50,50
Very High,High,Very Low,19.66818181818182,Bearish,11,11
Very High,Low,Medium,19.178787878787887,Bullish,33,33
Very High,Medium,Medium,15.386206896551725,Bearish,29,29
Very High,Very High,High,20.170000000000005,Bullish,15,15
Very High,Very High,Low,19.418604651162788,Bullish,43,43
Very High,Very High,Medium,15.126829268292685,Bearish,41,41
Very High,Very High,Very High,25.414000000000005,Bearish,25,25
Very High,Very High,Very Low,20.063000000000006,Bearish,50,50
Very High,Very Low,Medium,20.513124999999995,Bearish,80,80
Very High,Very Low,Very Low,14.133333333333326,Bearish,3,3
Very Low,High,Very High,17.133333333333333,Bearish,24,24
Very Low,Low,High,17.62045454545454,Bullish,22,22
Very Low,Low,Low,15.759090909090895,Bearish,11,11
Very Low,Low,Medium,15.211904761904758,Bullish,21,21
Very Low,Low,Very High,16.001063829787235,Bearish,47,47
Very Low,Low,Very Low,14.260000000000002,Bearish,5,5
Very Low,Medium,High,13.85999999999999,Bullish,5,5
Very Low,Medium,Very High,17.894230769230777,Bearish,26,26
Very Low,Very High,Very High,17.498809523809527,Bearish,42,42
Very Low,Very Low,High,17.239999999999988,Bearish,15,15
Very Low,Very Low,Low,16.90111111111111,Bullish,45,45
Very Low,Very Low,Medium,17.61513157894737,Bearish,76,76
Very Low,Very Low,Very High,12.030769230769238,Bullish,13,13
Very Low,Very Low,Very Low,18.723469387755106,Bullish,49,49
