Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,UPL,547.45,547.45,551.25,535.7,550.25,542.8,2242153,30149.0,1297347,57.86
2024-12-12,UPL,552.0,553.95,554.85,542.95,547.45,547.01,1581082,31145.0,728463,46.07
2024-12-11,UPL,549.95,552.0,566.7,551.05,552.0,559.92,5334736,65587.0,2693011,50.48
2024-12-10,UPL,555.4,554.85,557.6,548.6,549.95,551.07,2949316,31157.0,2106854,71.44
2024-12-09,UPL,562.65,559.8,562.25,552.05,555.4,556.24,2922928,49031.0,1866754,63.87
2024-12-06,UPL,558.2,557.85,566.25,556.0,562.65,561.94,2970258,39485.0,1746861,58.81
2024-12-05,UPL,567.95,568.9,569.75,552.0,558.2,558.16,2006983,40517.0,975177,48.59
2024-12-04,UPL,563.1,565.8,572.7,563.5,567.95,568.17,2218877,28616.0,1277911,57.59
2024-12-03,UPL,555.05,556.0,566.9,553.6,563.1,561.32,2073190,60108.0,1268126,61.17
2024-12-02,UPL,545.0,546.9,558.0,540.55,555.05,551.7,1687736,27215.0,804180,47.65
2024-11-29,UPL,546.9,546.5,547.9,538.25,545.0,542.81,1465623,26728.0,608967,41.55
2024-11-28,UPL,548.2,548.2,557.15,545.0,546.9,551.48,1748362,32070.0,662098,37.87
2024-11-27,UPL,551.75,553.0,554.3,539.0,548.2,545.28,1703921,39435.0,544083,31.93
2024-11-26,UPL,568.55,545.0,558.75,541.1,551.75,553.06,2645846,50551.0,845785,31.97
2024-11-25,UPL,566.4,570.0,578.4,566.6,568.55,571.13,5873405,83407.0,4002581,68.15
2024-11-22,UPL,555.75,555.75,569.95,545.85,566.4,560.54,3455747,59870.0,1520898,44.01
2024-11-21,UPL,546.8,544.0,565.65,536.85,555.75,554.29,10011530,112337.0,3961831,39.57
2024-11-19,UPL,536.9,533.1,555.55,531.85,546.8,546.76,2877510,67602.0,917375,31.88
2024-11-18,UPL,525.8,528.5,541.8,514.65,536.9,529.73,3036277,58818.0,1051032,34.62
2024-11-14,UPL,515.4,519.9,532.8,509.45,525.8,520.44,3741207,67078.0,1669127,44.61
2024-11-13,UPL,527.75,528.0,530.5,504.3,515.4,514.92,3436328,86994.0,713804,20.77
2024-11-12,UPL,515.15,530.0,552.8,524.0,527.75,539.2,9415040,133879.0,976673,10.37
2024-11-11,UPL,557.6,553.15,553.2,510.0,515.15,525.99,9914435,161960.0,2849194,28.74
2024-11-08,UPL,567.15,569.95,572.95,555.05,557.6,561.62,696687,27252.0,202939,29.13
2024-11-07,UPL,567.25,569.9,575.45,564.7,567.15,569.42,886267,26879.0,295178,33.31
2024-11-06,UPL,559.05,559.1,569.0,554.3,567.25,563.21,1491608,33311.0,610659,40.94
2024-11-05,UPL,552.65,552.0,561.85,549.05,559.05,555.94,894138,30486.0,257983,28.85
2024-11-04,UPL,558.4,555.1,559.9,539.8,552.65,550.02,1334874,33266.0,469223,35.15
2024-11-01,UPL,553.65,553.65,562.0,553.65,558.4,558.76,163230,6059.0,61505,37.68
2024-10-31,UPL,546.25,546.25,555.95,542.0,553.65,550.02,1171233,40623.0,476640,40.7
2024-10-30,UPL,534.65,533.0,552.4,527.65,546.25,542.14,1751552,48418.0,596178,34.04
2024-10-29,UPL,531.8,531.8,538.2,524.5,534.65,530.56,1053752,31798.0,409455,38.86
2024-10-28,UPL,521.95,520.05,541.25,520.05,531.8,533.27,1080853,33537.0,277879,25.71
2024-10-25,UPL,535.0,535.9,536.85,517.45,521.95,522.6,1390234,37247.0,557458,40.1
2024-10-24,UPL,531.75,536.0,540.85,526.3,535.0,534.52,1554879,38593.0,422085,27.15
2024-10-23,UPL,530.35,529.1,538.75,521.1,531.75,529.38,1624355,43883.0,597399,36.78
2024-10-22,UPL,545.45,545.0,547.5,528.0,530.35,536.88,2074618,51338.0,1054759,50.84
2024-10-21,UPL,555.25,557.05,563.35,543.05,545.45,552.33,2757430,76321.0,820466,29.75
2024-10-18,UPL,553.7,554.0,557.75,542.6,555.25,552.14,1402020,32735.0,480988,34.31
