Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,UNIPHOS,1503135,,845987,517.65,228.12,55.93,High,Medium,,Medium,-0.17,-0.32,-1.05,16.19,30.48,-14.29,Medium,,Neutral,Very High,Very High,Medium,,174.35,,175.15,,0.8000000000000114,-0.87,,105000.0,-0.0,173.7,175.0,179.6,173.55,176.35,929600.0,2010-01-28,,Undecisive,,,6.05,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,14.223063485060786,,,,,,,False
2010-01-05,UNIPHOS,1889963,,1010158,10400.0,425.0,95.91,High,High,,Medium,-0.01,-0.2,-1.05,0.95,19.05,-18.1,Medium,8.55,Low Supply,Very High,Very High,High,,182.9,8.199999999999989,183.35,-0.22000000000000064,0.44999999999998863,-0.53,,-56000.0,-0.0,174.35,180.0,184.45,175.05,179.59,873600.0,2010-01-28,,ShortCovering,7.85,1.55,9.4,False,0.0,NoSwipe,Bullish,0.04787478227515951,8.550000000000011,Low Supply,,,,,,,,,0.15,,Buy,0.18999999999999773,0.04,7.85,7.85,False,1.55,1.55,False,8.550000000000011,14.452067810124621,123.56517977656567,,4.523898086893771e-06,,,,False
2010-01-06,UNIPHOS,1205389,,805397,400.0,150.0,62.5,High,Medium,,Medium,-0.21,-0.42,-1.05,20.0,40.0,-20.0,Medium,-3.25,Low Demand,Very High,High,High,,179.65,-3.4000000000000057,179.95,-0.07000000000000006,0.29999999999998295,-0.8,,-71400.0,-0.0,182.9,183.5,183.9,177.1,179.6,802200.0,2010-01-28,,LongUnwinding,2.55,4.25,6.8,False,0.0,,Bearish,-0.01792904183729238,-3.25,Low Demand,,,,,,,,,0.08,,Buy,0.14000000000001478,0.06,4.32,5.07,False,3.35,3.0,True,-3.25,14.002312894387982,-45.50751690676094,,-2.696225036067195e-06,,,,False
2010-01-07,UNIPHOS,530293,,334475,54.41,66.67,22.53,Low,Low,,Low,-0.68,-0.63,-1.05,64.76,60.0,4.760000000000005,Medium,-1.7,Low Demand,Medium,Medium,Medium,,177.95,-2.0,177.95,-0.16000000000000014,0.0,-0.94,,44800.0,-0.0,179.65,180.6,182.35,177.0,179.01,847000.0,2010-01-28,,ShortBuildUp,0.95,4.4,5.35,True,0.06,CandleLowSwipe,Bearish,-0.009507901603326374,-1.700000000000017,Low Demand,,,,,,,,,-0.01,,Sell,0.05000000000001137,0.06,2.39,3.57,False,3.95,3.54,True,-1.700000000000017,13.181184962962671,-22.408014437036766,,-3.2057749206571027e-06,,,,False
2010-01-08,UNIPHOS,883738,,564097,133.33,101.92,23.56,Medium,Low,,Medium,-0.45,-0.52,-1.05,42.86,49.52,-6.660000000000004,Medium,-1.1,Low Demand,High,High,Medium,,176.85,-0.6999999999999886,177.25,0.22999999999999998,0.4000000000000057,-0.95,,-7000.0,-0.0,177.95,178.0,179.55,174.3,176.05,840000.0,2010-01-28,,LongUnwinding,2.55,2.7,5.25,False,0.0,NoSwipe,Bearish,-0.006200696304711428,-1.0999999999999943,Low Demand,,,,,,,,,-0.07,,Sell,-0.030000000000001137,0.04,2.48,3.27,False,3.28,3.28,False,-1.0999999999999943,13.691915917600024,-15.06110750935995,,-1.2447127994948666e-06,,,,False
2010-01-11,UNIPHOS,902142,,764083,320.0,105.88,66.91,Medium,Low,,Medium,-0.25,-0.51,-1.05,23.81,48.57,-24.76,Medium,-1.3,Low Demand,Very High,High,High,,175.55,-0.9499999999999886,176.3,0.19999999999999996,0.75,-0.91,,54600.0,-0.0,176.85,176.9,180.7,175.05,177.14,894600.0,2010-01-28,,ShortBuildUp,0.5,5.15,5.65,True,0.66,CandleHighSwipe,Bearish,-0.0073780130370488806,-1.299999999999983,Low Demand,,,,,,,,,-0.14,,Sell,-0.14000000000001478,0.0,1.46,2.61,False,4.25,3.78,True,-1.299999999999983,13.7125272145922,-17.826285378969626,,-1.441014829151046e-06,,,,False
2010-01-12,UNIPHOS,595159,,373477,64.06,72.13,12.6,Low,Low,,Medium,-0.64,-0.61,-1.05,60.95,58.1,2.8500000000000014,Medium,-6.65,Low Demand,Medium,High,Low,,168.9,-6.600000000000023,169.7,0.04999999999999982,0.799999999999983,-0.54,,82600.0,-0.0,175.55,175.55,177.45,168.1,172.31,977200.0,2010-01-28,,ShortBuildUp,0.8,8.55,9.35,False,0.0,NoSwipe,Bearish,-0.03861707880068632,-6.650000000000006,Low Demand,,,,,,,,,-0.42,,Sell,-0.5199999999999818,-0.1,1.12,2.23,False,6.43,4.91,True,-6.650000000000006,13.296583875719778,-88.4222827735366,,-1.1173484732651284e-05,,,,False
2010-01-13,UNIPHOS,446344,,232881,34.62,61.54,77.76,Low,Low,,Medium,-0.78,-0.65,-1.05,74.29,61.9,12.390000000000008,High,3.1,Low Supply,Medium,Medium,High,,172.0,2.6000000000000227,172.3,-0.31000000000000005,0.30000000000001137,-0.79,,-71400.0,-0.0,168.9,169.0,173.5,166.6,171.61,905800.0,2010-01-28,,ShortCovering,5.4,1.5,6.9,True,0.87,CandleLowSwipe,Bullish,0.018187652999698045,3.0999999999999943,Low Supply,,,,,,,,,-0.41,,Sell,-0.6100000000000136,-0.2,3.28,2.82,True,3.95,4.17,False,3.0999999999999943,13.008845234151302,40.32742022586896,,6.9453157206101e-06,,,,False
2010-01-14,UNIPHOS,640863,,350344,59.09,77.97,31.95,Low,Low,,Medium,-0.66,-0.59,-1.05,62.86,56.19,6.670000000000002,Medium,-2.9,Low Demand,Medium,High,Medium,,169.1,-2.5,169.8,0.24,0.700000000000017,-0.51,,212800.0,-0.0,172.0,173.4,177.8,168.15,170.82,1118600.0,2010-01-28,,ShortBuildUp,0.95,8.7,9.65,True,2.54,CandleHighSwipe,Bearish,-0.017004220908917844,-2.9000000000000057,Low Demand,,,,,,,,,-0.49,,Sell,-0.8100000000000023,-0.32,2.11,2.5,False,6.33,5.08,True,-2.9000000000000057,13.370570984510463,-38.77465585508042,,-4.525148120581163e-06,,,,False
2010-01-15,UNIPHOS,618539,,387823,66.67,75.0,12.49,Low,Low,,Medium,-0.63,-0.6,-1.05,60.0,57.14,2.8599999999999994,Medium,-2.35,Low Demand,Medium,High,Low,,166.75,-2.200000000000017,167.6,0.08999999999999986,0.8499999999999943,-0.8,,57400.0,-0.0,169.1,172.85,172.85,166.05,169.22,1176000.0,2010-01-28,,ShortBuildUp,0.7,6.1,6.8,False,0.0,NoSwipe,Bearish,-0.013994571108801424,-2.3499999999999943,Low Demand,,,,,,,,,-0.59,,Sell,-1.0600000000000023,-0.47,1.4,2.22,False,6.22,5.28,True,-2.3499999999999943,13.335115524606861,-31.337521482826048,,-3.799275389264047e-06,,,,False
