Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,VEDL,461.8,464.4,473.4,463.1,464.15,468.58,9260792,79537.0,5081276,54.87,-0.04
2025-03-25,VEDL,472.25,473.95,473.95,460.1,461.8,464.27,6983464,81140.0,2546412,36.46,-0.38
2025-03-24,VEDL,467.3,469.0,476.05,465.65,472.25,471.04,7110186,71264.0,3567890,50.18,-0.24
2025-03-21,VEDL,470.75,471.4,473.15,462.0,467.3,467.07,12194708,81011.0,7224814,59.25,0.24
2025-03-20,VEDL,460.55,465.0,475.2,460.2,470.75,469.23,10370120,93230.0,4634903,44.69,-0.1
2025-03-19,VEDL,460.0,464.7,465.35,459.3,460.55,462.37,5728903,71051.0,2607769,45.52,-0.37
2025-03-18,VEDL,446.95,450.95,460.8,449.05,460.0,456.75,8039342,89528.0,3233425,40.22,-0.29
2025-03-17,VEDL,442.95,444.0,451.05,443.15,446.95,447.01,4865003,65402.0,2119262,43.56,-0.43
2025-03-13,VEDL,444.95,447.9,450.0,442.0,442.95,445.29,5054710,58262.0,2356833,46.63,-0.4
2025-03-12,VEDL,441.55,444.9,448.35,437.9,444.95,443.96,5120030,59433.0,2128362,41.57,-0.43
2025-03-11,VEDL,437.4,428.5,443.2,426.0,441.55,438.14,6287024,65699.0,2624342,41.74,-0.37
2025-03-10,VEDL,445.45,445.45,451.8,436.15,437.4,443.63,6433534,75303.0,2579143,40.09,-0.37
2025-03-07,VEDL,442.95,442.85,450.1,441.6,445.45,446.05,7860045,118628.0,3659213,46.55,-0.23
2025-03-06,VEDL,428.95,434.0,446.85,431.25,442.95,440.67,13001883,115060.0,6270284,48.23,0.12
2025-03-05,VEDL,406.75,400.9,430.4,400.9,428.95,421.64,14319490,134851.0,6843293,47.79,0.19
2025-03-04,VEDL,409.15,401.15,409.3,394.8,406.75,404.82,7083802,88772.0,2800773,39.54,-0.34
2025-03-03,VEDL,394.75,399.95,411.25,389.2,409.15,401.69,10995655,123090.0,4174762,37.97,-0.16
2025-02-28,VEDL,404.55,400.0,400.9,392.35,394.75,396.44,13633752,169780.0,7445753,54.61,0.27
2025-02-27,VEDL,409.25,409.0,412.5,400.65,404.55,405.95,9800701,137215.0,4912667,50.13,-0.06
2025-02-25,VEDL,422.85,422.9,423.7,406.35,409.25,411.41,16517618,197091.0,8960498,54.25,0.47
2025-02-24,VEDL,438.2,435.0,435.7,419.05,422.85,426.98,6486110,106344.0,2244697,34.61,-0.42
2025-02-21,VEDL,433.5,435.25,442.25,432.6,438.2,438.0,11856575,174327.0,6443959,54.35,0.14
2025-02-20,VEDL,423.5,422.9,435.5,422.05,433.5,430.47,10218019,99434.0,5286157,51.73,-0.01
2025-02-19,VEDL,418.2,416.1,427.4,414.0,423.5,423.69,9389191,105851.0,4063547,43.28,-0.18
2025-02-18,VEDL,415.15,418.9,420.0,405.0,418.2,411.98,9347116,129797.0,4117531,44.05,-0.17
2025-02-17,VEDL,413.35,413.35,415.9,401.4,415.15,408.62,9351334,146797.0,3580883,38.29,-0.24
2025-02-14,VEDL,424.55,429.8,432.0,408.45,413.35,416.84,10205699,141017.0,4115298,40.32,-0.17
2025-02-13,VEDL,421.9,425.0,431.8,421.05,424.55,426.62,5255713,71524.0,2260233,43.01,-0.41
2025-02-12,VEDL,421.45,421.45,426.7,412.25,421.9,420.44,8868601,108537.0,2979489,33.6,-0.32
2025-02-11,VEDL,435.8,422.85,435.55,420.3,421.45,426.88,7728184,96419.0,2895313,37.46,-0.33
2025-02-10,VEDL,455.8,454.0,454.0,433.6,435.8,437.34,10212102,121023.0,4299501,42.1,-0.14
2025-02-07,VEDL,443.75,443.75,456.9,441.7,455.8,452.08,8580933,109720.0,3310445,38.58,-0.28
2025-02-06,VEDL,444.45,445.1,450.25,442.3,443.75,445.35,5475073,62544.0,2886503,52.72,-0.33
2025-02-05,VEDL,437.7,438.95,447.85,437.7,444.45,444.23,7176758,82575.0,3095730,43.14,-0.3
2025-02-04,VEDL,421.7,428.7,443.0,428.7,437.7,437.88,9934297,105279.0,3435507,34.58,-0.26
2025-02-03,VEDL,439.9,436.0,436.0,410.0,421.7,418.03,18277593,239913.0,7269862,39.77,0.25
2025-02-01,VEDL,441.4,444.95,446.65,431.45,439.9,440.2,6736515,97890.0,2267486,33.66,-0.41
2025-01-31,VEDL,432.45,434.85,443.8,426.9,441.4,437.52,11277319,116783.0,3562305,31.59,-0.24
2025-01-30,VEDL,430.6,432.0,437.6,428.0,432.45,432.76,4765643,63357.0,2039022,42.79,-0.44
2025-01-29,VEDL,425.35,428.5,432.35,424.3,430.6,428.98,4671527,69035.0,1683396,36.04,-0.49
2025-01-28,VEDL,423.9,424.95,432.85,414.5,425.35,423.24,8080097,99531.0,2718477,33.64,-0.35
2025-01-27,VEDL,442.0,439.5,439.75,421.6,423.9,430.62,6314851,95729.0,2724644,43.15,-0.35
2025-01-24,VEDL,446.5,446.0,453.5,440.45,442.0,446.37,4758741,73022.0,1735682,36.47,-0.48
2025-01-23,VEDL,451.5,451.0,452.25,442.5,446.5,447.44,5671143,84278.0,2480648,43.74,-0.39
2025-01-22,VEDL,453.9,455.45,455.85,438.9,451.5,446.49,6538867,125646.0,3017349,46.14,-0.31
2025-01-21,VEDL,460.95,465.0,467.8,453.0,453.9,459.21,7353985,83965.0,2819234,38.34,-0.34
2025-01-20,VEDL,454.05,456.65,464.4,451.55,460.95,459.92,4806736,63754.0,1975938,41.11,-0.45
2025-01-17,VEDL,449.85,452.0,458.25,448.05,454.05,453.88,5594080,78559.0,1666008,29.78,-0.49
2025-01-16,VEDL,435.25,439.0,452.8,438.0,449.85,448.03,6641373,91013.0,2690330,40.51,-0.36
2025-01-15,VEDL,430.6,435.05,442.5,430.45,435.25,435.59,4794795,71689.0,1962476,40.93,-0.45
2025-01-14,VEDL,413.7,413.7,433.55,412.6,430.6,427.79,8727736,150679.0,4006370,45.9,-0.18
2025-01-13,VEDL,432.15,428.2,428.8,412.0,413.7,419.91,8467239,135132.0,3743867,44.22,-0.22
2025-01-10,VEDL,438.9,438.9,439.75,426.4,432.15,433.2,6250604,91476.0,2450568,39.21,-0.39
2025-01-09,VEDL,446.4,447.0,448.05,437.1,438.9,440.49,4870742,68400.0,2123561,43.6,-0.43
2025-01-08,VEDL,448.25,448.25,449.45,441.0,446.4,444.8,4953341,69155.0,2231297,45.05,-0.42
2025-01-07,VEDL,442.3,443.0,454.5,443.0,448.25,450.07,5869461,77832.0,2562907,43.67,-0.37
2025-01-06,VEDL,458.25,459.8,459.8,441.0,442.3,446.72,7485474,123603.0,3427423,45.79,-0.26
2025-01-03,VEDL,449.75,450.5,465.5,449.1,458.25,458.08,8814796,111142.0,3046458,34.56,-0.31
2025-01-02,VEDL,444.45,444.55,451.85,442.25,449.75,446.61,7704338,66371.0,3780802,49.07,-0.21
2025-01-01,VEDL,444.45,444.75,447.45,438.8,444.45,442.4,5403126,78435.0,2260473,41.84,-0.41
2024-12-31,VEDL,439.65,439.0,446.5,438.05,444.45,442.39,7109627,87750.0,3400920,47.84,-0.26
2024-12-30,VEDL,451.1,451.15,452.9,437.25,439.65,441.82,18171489,160534.0,11836989,65.14,0.85
2024-12-27,VEDL,460.45,461.1,463.1,450.2,451.1,455.54,4487792,71820.0,2141900,47.73,-0.43
2024-12-26,VEDL,462.1,462.8,464.8,453.9,460.45,458.62,5351568,79374.0,2034404,38.02,-0.44
2024-12-24,VEDL,473.2,465.7,466.8,457.5,462.1,461.9,8942361,136689.0,3663677,40.97,-0.23
2024-12-23,VEDL,477.25,480.45,484.5,468.5,473.2,476.96,9725884,109254.0,4444018,45.69,-0.13
2024-12-20,VEDL,492.3,492.25,494.5,475.0,477.25,483.97,13786961,118405.0,7294834,52.91,0.25
2024-12-19,VEDL,496.75,482.25,493.5,476.55,492.3,486.61,9500042,127957.0,3011121,31.7,-0.32
2024-12-18,VEDL,503.2,503.0,507.85,495.25,496.75,501.47,6546985,96336.0,2487913,38,-0.38
2024-12-17,VEDL,513.45,513.45,515.0,499.35,503.2,505.55,12711460,166218.0,5911880,46.51,0.07
2024-12-16,VEDL,519.5,522.0,526.95,510.0,513.45,515.72,13821306,167879.0,5961623,43.13,0.08
2024-12-13,VEDL,522.0,520.5,521.2,506.7,519.5,514.64,10678273,124462.0,3443925,32.25,-0.26
2024-12-12,VEDL,514.35,519.0,526.6,516.0,522.0,521.3,20273326,183065.0,6959549,34.33,0.21
2024-12-11,VEDL,500.25,499.0,525.0,498.5,514.35,517.72,32419915,271243.0,11713822,36.13,0.84
2024-12-10,VEDL,497.05,498.45,504.9,493.4,500.25,498.96,10316327,134588.0,4246443,41.16,-0.15
2024-12-09,VEDL,501.4,499.95,501.7,488.8,497.05,494.12,11524481,125036.0,4733410,41.07,-0.09
2024-12-06,VEDL,472.5,475.0,505.55,472.8,501.4,495.67,25827648,237038.0,9139153,35.39,0.5
2024-12-05,VEDL,468.4,469.9,474.4,467.05,472.5,470.8,7267698,92537.0,3332932,45.86,-0.27
2024-12-04,VEDL,468.35,469.95,471.9,464.1,468.4,468.02,4980949,69885.0,2429090,48.77,-0.39
2024-12-03,VEDL,460.55,464.5,469.3,461.0,468.35,465.32,5333303,62437.0,2523084,47.31,-0.38
2024-12-02,VEDL,453.5,453.5,461.2,453.0,460.55,458.17,5709168,73326.0,2352924,41.21,-0.4
2024-11-29,VEDL,451.85,452.4,457.8,449.05,453.5,453.04,6826623,69940.0,3308579,48.47,-0.28
2024-11-28,VEDL,445.8,452.0,456.35,448.9,451.85,452.49,10793434,101548.0,3803229,35.24,-0.21
2024-11-27,VEDL,448.4,451.4,451.55,444.2,445.8,446.23,6120311,72051.0,2890641,47.23,-0.33
2024-11-26,VEDL,443.8,445.0,453.2,443.05,448.4,449.11,6483177,83117.0,2706198,41.74,-0.36
2024-11-25,VEDL,445.35,452.0,453.8,442.75,443.8,445.7,12634711,88993.0,7567803,59.9,0.29
2024-11-22,VEDL,442.8,443.75,447.75,441.3,445.35,444.55,6859041,88882.0,3147394,45.89,-0.3
2024-11-21,VEDL,443.55,442.0,445.75,437.05,442.8,441.65,6484933,88810.0,2294663,35.38,-0.41
2024-11-19,VEDL,447.5,449.0,451.5,441.15,443.55,447.27,5930593,85139.0,2443978,41.21,-0.39
2024-11-18,VEDL,433.4,444.35,459.4,439.05,447.5,450.46,13385897,145199.0,3849162,28.76,-0.2
2024-11-14,VEDL,434.75,435.0,439.9,430.25,433.4,435.01,7028180,118307.0,3084874,43.89,-0.31
2024-11-13,VEDL,444.75,444.0,445.4,432.3,434.75,436.99,7960930,119430.0,3086905,38.78,-0.31
2024-11-12,VEDL,456.2,456.2,458.85,443.05,444.75,450.74,8421968,124646.0,3638442,43.2,-0.23
2024-11-11,VEDL,457.9,460.5,461.9,453.1,456.2,457.93,7271375,95115.0,2740314,37.69,-0.35
2024-11-08,VEDL,457.9,461.0,467.8,453.35,457.9,460.65,13143777,166201.0,3050569,23.21,-0.31
2024-11-07,VEDL,474.0,474.0,475.0,451.4,457.9,458.81,16220004,172926.0,6697348,41.29,0.17
2024-11-06,VEDL,469.8,472.6,476.45,461.3,474.0,468.82,8641368,99241.0,2414715,27.94,-0.39
2024-11-05,VEDL,458.8,459.0,471.3,457.3,469.8,465.28,5654407,71887.0,1870468,33.08,-0.47
2024-11-04,VEDL,467.35,468.8,468.9,452.7,458.8,458.86,5030700,77886.0,1817850,36.14,-0.47
2024-11-01,VEDL,464.05,465.0,469.0,465.0,467.35,467.52,995005,28957.0,524056,52.67,-0.64
2024-10-31,VEDL,468.5,468.0,469.8,460.0,464.05,463.58,6616282,115227.0,3168541,47.89,-0.29
2024-10-30,VEDL,472.3,470.85,474.45,467.05,468.5,470.59,5903663,93837.0,2852719,48.32,-0.34
2024-10-29,VEDL,469.15,470.0,473.9,458.95,472.3,466.37,6379918,81732.0,2350480,36.84,-0.4
2024-10-28,VEDL,455.4,458.0,471.75,455.4,469.15,466.71,6637174,82067.0,2847854,42.91,-0.34
2024-10-25,VEDL,469.05,471.7,472.25,449.05,455.4,457.13,11660475,133319.0,4351003,37.31,-0.14
2024-10-24,VEDL,463.0,463.0,472.3,456.25,469.05,465.27,7269166,94475.0,2591056,35.64,-0.37
2024-10-23,VEDL,460.75,460.0,470.8,454.1,463.0,463.65,9830637,91957.0,3941094,40.09,-0.19
2024-10-22,VEDL,475.0,476.0,478.65,458.55,460.75,468.8,7805984,110199.0,3193339,40.91,-0.29
2024-10-21,VEDL,480.85,484.5,489.5,474.0,475.0,480.23,5567492,73852.0,2357415,42.34,-0.4
2024-10-18,VEDL,472.15,472.65,483.65,464.0,480.85,475.11,10334732,209292.0,4327907,41.88,-0.14
2024-10-17,VEDL,486.7,489.15,492.6,471.15,472.15,478.28,12114419,191399.0,6507793,53.72,0.15
2024-10-16,VEDL,489.85,490.05,496.5,485.85,486.7,489.3,7989101,103893.0,4432319,55.48,-0.13
2024-10-15,VEDL,499.15,500.0,500.95,486.4,489.85,491.51,7413480,97519.0,3863374,52.11,-0.2
2024-10-14,VEDL,497.5,500.0,507.05,494.25,499.15,499.99,7263419,91238.0,2887462,39.75,-0.33
2024-10-11,VEDL,492.5,496.1,503.5,494.4,497.5,499.21,8286066,114039.0,2963735,35.77,-0.32
2024-10-10,VEDL,496.25,488.0,499.4,487.55,492.5,493.19,9613583,100700.0,4203097,43.72,-0.16
2024-10-09,VEDL,497.45,499.0,502.5,489.15,496.25,495.7,11444008,121613.0,3757414,32.83,-0.22
2024-10-08,VEDL,500.3,500.3,503.7,484.6,497.45,495.91,13145961,151726.0,4478521,34.07,-0.12
2024-10-07,VEDL,508.7,512.9,513.8,491.35,500.3,501.49,15751180,164682.0,6931730,44.01,0.2
2024-10-04,VEDL,511.75,514.0,515.95,501.15,508.7,510.91,12088199,124018.0,4387581,36.3,-0.13
2024-10-03,VEDL,516.15,513.0,520.5,509.0,511.75,514.91,13155901,165081.0,5334663,40.55,-0.01
2024-10-01,VEDL,512.65,510.3,521.35,506.15,516.15,514.8,14071685,132184.0,5161962,36.68,-0.03
2024-09-30,VEDL,513.0,519.0,523.65,508.5,512.65,515.33,19027211,186336.0,7964358,41.86,0.34
2024-09-27,VEDL,501.75,506.0,515.9,506.0,513.0,511.24,24451210,247269.0,10028317,41.01,0.61
2024-09-26,VEDL,479.85,484.55,504.9,477.0,501.75,494.69,42980530,326673.0,14262543,33.18,1.18
2024-09-25,VEDL,470.2,478.0,486.0,473.8,479.85,481.06,24495683,191621.0,8551894,34.91,0.42
2024-09-24,VEDL,453.1,456.3,473.5,456.0,470.2,467.88,28418267,208230.0,12682704,44.63,0.97
2024-09-23,VEDL,449.95,453.0,456.25,450.05,453.1,453.08,5177341,47930.0,2380291,45.98,-0.4
2024-09-20,VEDL,449.75,452.0,458.45,448.65,449.95,452.71,17249829,130371.0,9441994,54.74,0.54
2024-09-19,VEDL,448.3,451.0,453.3,437.0,449.75,445.73,7777695,82844.0,2464895,31.69,-0.39
2024-09-18,VEDL,449.8,450.8,451.0,445.65,448.3,448.34,5180919,58174.0,1874992,36.19,-0.47
2024-09-17,VEDL,446.3,450.7,454.25,447.05,449.8,450.78,11644008,121471.0,3726082,32,-0.22
2024-09-16,VEDL,454.05,458.0,471.0,444.4,446.3,457.88,34590598,267798.0,10937065,31.62,0.73
2024-09-13,VEDL,441.7,444.9,456.4,444.5,454.05,452.37,15909513,146809.0,6076007,38.19,0.09
2024-09-12,VEDL,425.8,430.05,443.55,428.8,441.7,437.31,13025897,101761.0,5427657,41.67,0.0
2024-09-11,VEDL,440.0,440.0,440.45,424.55,425.8,430.2,13394230,128547.0,6912637,51.61,0.2
2024-09-10,VEDL,460.25,439.8,444.0,436.95,440.0,440.69,13192375,123238.0,6699433,50.78,0.17
2024-09-09,VEDL,459.8,460.95,461.4,451.55,460.25,456.49,14042464,102907.0,6862714,48.87,0.19
2024-09-06,VEDL,466.7,467.9,470.35,457.2,459.8,461.62,17832425,139071.0,9584677,53.75,0.56
2024-09-05,VEDL,459.35,463.5,469.45,462.15,466.7,466.12,12242972,118683.0,6388791,52.18,0.13
2024-09-04,VEDL,464.55,460.45,462.95,455.0,459.35,458.98,15530065,128229.0,9231762,59.44,0.51
2024-09-03,VEDL,463.25,473.0,473.25,462.1,464.55,465.25,23319237,151211.0,13696312,58.73,1.1
2024-09-02,VEDL,468.45,472.7,473.65,461.0,463.25,465.23,11933834,97935.0,6401636,53.64,0.13
2024-08-30,VEDL,463.4,465.65,473.2,464.5,468.45,468.97,14026797,98960.0,7063971,50.36,0.22
2024-08-29,VEDL,466.05,470.2,470.95,459.05,463.4,463.92,12608981,103045.0,5455271,43.26,0.01
2024-08-28,VEDL,463.9,467.9,469.25,463.6,466.05,466.26,9277650,106420.0,4040749,43.55,-0.18
2024-08-27,VEDL,463.1,463.0,468.5,460.85,463.9,465.34,10906758,99719.0,5255574,48.19,-0.02
2024-08-26,VEDL,449.3,453.0,465.95,452.0,463.1,459.32,11143399,123876.0,5119277,45.94,-0.04
2024-08-23,VEDL,459.55,459.95,460.2,448.35,449.3,452.62,6908675,77020.0,2950707,42.71,-0.32
2024-08-22,VEDL,455.3,460.0,461.6,454.7,459.55,458.56,8864437,87937.0,3512241,39.62,-0.25
2024-08-21,VEDL,446.65,449.6,458.9,447.65,455.3,453.76,13609457,122017.0,6363644,46.76,0.13
2024-08-20,VEDL,442.75,444.5,447.85,440.15,446.65,444.69,8887888,74335.0,3662919,41.21,-0.23
2024-08-19,VEDL,429.05,430.5,444.4,429.25,442.75,438.31,10922980,103104.0,4824119,44.16,-0.08
2024-08-16,VEDL,420.2,426.0,430.85,421.55,429.05,426.18,9815524,102622.0,3861936,39.35,-0.2
2024-08-14,VEDL,422.35,425.0,428.5,405.2,420.2,418.56,18914429,155282.0,6672011,35.27,0.17
2024-08-13,VEDL,432.1,433.2,434.0,421.25,422.35,426.31,8522806,90723.0,3951034,46.36,-0.19
2024-08-12,VEDL,428.85,426.15,436.0,424.75,432.1,431.26,8178539,102737.0,4062337,49.67,-0.18
2024-08-09,VEDL,422.3,430.1,432.25,423.55,428.85,428.21,8363641,92943.0,2952305,35.3,-0.32
2024-08-08,VEDL,432.3,430.05,431.5,421.05,422.3,426.3,9305734,98759.0,3494774,37.56,-0.25
2024-08-07,VEDL,413.9,425.5,434.45,418.5,432.3,429.23,15297435,140680.0,4877982,31.89,-0.07
2024-08-06,VEDL,413.25,417.55,421.95,411.3,413.9,416.33,17994697,228781.0,5369072,29.84,-0.0
2024-08-05,VEDL,434.2,424.0,428.45,404.25,413.25,414.91,20763297,275541.0,8369411,40.31,0.39
2024-08-02,VEDL,448.1,440.0,441.95,432.3,434.2,436.63,13093052,152429.0,6571508,50.19,0.16
2024-08-01,VEDL,450.75,458.0,462.25,443.55,448.1,453.4,19749880,180696.0,8742985,44.27,0.44
2024-07-31,VEDL,447.2,453.0,454.4,445.5,450.75,449.13,14227543,157785.0,7358050,51.72,0.26
2024-07-30,VEDL,448.95,446.8,448.15,440.2,447.2,444.76,16607270,127855.0,9339746,56.24,0.52
2024-07-29,VEDL,444.5,447.0,455.5,438.0,448.95,448.55,45433689,171153.0,30280624,66.65,3.3
2024-07-26,VEDL,430.9,439.0,448.15,434.6,444.5,443.84,28749214,154588.0,12807774,44.55,0.98
2024-07-25,VEDL,432.7,428.85,434.35,424.0,430.9,427.97,18871603,157317.0,10947128,58.01,0.74
2024-07-24,VEDL,434.95,436.8,441.0,430.85,432.7,435.85,36773405,279057.0,26536022,72.16,2.8
2024-07-23,VEDL,448.75,449.4,449.4,410.55,434.95,430.84,33154992,301313.0,11642992,35.12,0.83
2024-07-22,VEDL,439.8,442.0,451.0,437.0,448.75,445.06,17818304,121381.0,9239926,51.86,0.51
2024-07-19,VEDL,451.4,453.0,454.25,438.0,439.8,444.39,14552716,134807.0,7248131,49.81,0.25
2024-07-18,VEDL,455.5,458.95,460.5,448.0,451.4,453.51,16469541,141258.0,8553455,51.93,0.42
