Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,VOLTAS,173.3,174.0,176.6,171.8,175.4,173.96,659990,,298283,0.452,,,176.85,1058400.0,2027700.0,2010-01-28,218700.0,,Undecisive
2010-01-05,VOLTAS,175.4,177.8,177.8,173.6,175.05,174.97,1247982,,671926,0.5384000000000001,,,175.8,1147500.0,2108700.0,2010-01-28,81000.0,-1.049999999999983,ShortBuildUp
2010-01-06,VOLTAS,175.05,176.0,180.2,173.0,178.9,177.5,1419089,,464098,0.327,,,179.75,2924100.0,2286900.0,2010-01-28,178200.0,3.9499999999999886,LongBuildUp
2010-01-07,VOLTAS,178.9,178.9,185.25,177.3,184.1,182.32,2523865,,843305,0.33409999999999995,,,185.0,4463100.0,2835000.0,2010-01-28,548100.0,5.25,LongBuildUp
2010-01-08,VOLTAS,184.1,184.4,186.0,180.15,181.0,182.63,1219163,,414890,0.3403,,,181.5,1822500.0,2724300.0,2010-01-28,-110700.0,-3.5,LongUnwinding
2010-01-11,VOLTAS,181.0,182.9,183.9,176.6,178.7,180.33,740947,,309992,0.41840000000000005,,,179.25,1158300.0,2740500.0,2010-01-28,16200.0,-2.25,ShortBuildUp
2010-01-12,VOLTAS,178.7,178.95,182.75,177.0,178.1,179.18,929940,,347267,0.37340000000000007,,,178.4,1730700.0,2532600.0,2010-01-28,-207900.0,-0.8499999999999943,LongUnwinding
2010-01-13,VOLTAS,178.1,177.8,187.15,175.7,185.5,181.85,1716786,,750684,0.43729999999999997,,,186.05,3731400.0,2451600.0,2010-01-28,-81000.0,7.650000000000006,ShortCovering
2010-01-14,VOLTAS,185.5,186.0,188.0,182.65,184.25,185.18,882199,,220283,0.2497,,,185.15,1879200.0,2394900.0,2010-01-28,-56700.0,-0.9000000000000057,LongUnwinding
2010-01-15,VOLTAS,184.25,186.85,188.9,183.55,184.8,186.22,1288825,,452064,0.3508,,,185.4,1763100.0,2430000.0,2010-01-28,35100.0,0.25,LongBuildUp
2010-01-18,VOLTAS,184.8,183.25,184.85,180.45,181.65,181.95,887589,,485188,0.5466,,,182.5,799200.0,2470500.0,2010-01-28,40500.0,-2.9000000000000057,ShortBuildUp
2010-01-19,VOLTAS,181.65,181.65,188.0,181.65,186.45,185.28,1093153,,618233,0.5656,,,186.75,1763100.0,2246400.0,2010-01-28,-224100.0,4.25,ShortCovering
2010-01-20,VOLTAS,186.45,189.0,189.4,174.7,183.25,185.27,1105306,,468025,0.42340000000000005,,,183.35,1876500.0,2165400.0,2010-01-28,-81000.0,-3.4000000000000057,LongUnwinding
2010-01-21,VOLTAS,183.25,183.7,183.7,177.0,178.0,179.07,813019,,375684,0.4621,,,177.6,1171800.0,1968300.0,2010-01-28,-197100.0,-5.75,LongUnwinding
2010-01-22,VOLTAS,178.0,175.0,181.35,171.0,180.35,177.28,1032707,,414791,0.4017,,,179.4,1620000.0,1811700.0,2010-01-28,-156600.0,1.8000000000000114,ShortCovering
2010-01-25,VOLTAS,180.35,180.35,180.35,168.8,171.6,174.62,1378714,,699775,0.5075999999999999,,,170.6,1930500.0,1598400.0,2010-01-28,-213300.0,-8.800000000000011,LongUnwinding
2010-01-27,VOLTAS,171.6,168.7,169.6,155.0,157.5,160.5,5055030,,3083695,0.61,,,157.45,2781000.0,909900.0,2010-01-28,-688500.0,-13.150000000000006,LongUnwinding
2010-01-28,VOLTAS,157.5,161.9,162.9,155.2,157.1,158.28,2426664,,1415144,0.5832,,,156.9,1339200.0,326700.0,2010-01-28,-583200.0,-0.549999999999983,LongUnwinding
2010-01-29,VOLTAS,157.1,155.2,159.8,150.1,157.4,154.09,761236,,281535,0.36979999999999996,,,157.5,1444500.0,1722600.0,2010-02-25,45900.0,0.5999999999999943,LongBuildUp
2010-02-01,VOLTAS,157.4,157.75,161.35,154.55,158.0,158.24,1131172,,605484,0.5353,90.97028515,,158.75,1128600.0,1922400.0,2010-02-25,199800.0,1.25,LongBuildUp
2010-02-02,VOLTAS,158.0,161.25,163.8,155.5,159.1,160.41,1366633,,685181,0.5014000000000001,91.1113816,0.14,158.45,1760400.0,1854900.0,2010-02-25,-67500.0,-0.30000000000001137,LongUnwinding
2010-02-03,VOLTAS,159.1,160.95,166.45,158.85,164.25,162.09,1412380,,801224,0.5673,91.22990261,0.12,164.6,1749600.0,1792800.0,2010-02-25,-62100.0,6.150000000000006,ShortCovering
2010-02-04,VOLTAS,164.25,164.5,166.5,158.55,159.6,163.23,1183731,,443001,0.37420000000000003,90.97592901,-0.25,159.95,2367900.0,1911600.0,2010-02-25,118800.0,-4.650000000000006,ShortBuildUp
2010-02-05,VOLTAS,159.6,153.2,156.0,151.05,154.65,153.88,1207827,,725402,0.6006,90.98721672,0.01,154.15,1242000.0,1906200.0,2010-02-25,-5400.0,-5.799999999999983,LongUnwinding
2010-02-06,VOLTAS,154.65,155.5,156.4,154.3,155.1,155.09,65542,,19237,0.29350000000000004,,,155.1,91800.0,1914300.0,2010-02-25,8100.0,0.9499999999999886,LongBuildUp
2010-02-08,VOLTAS,155.1,150.35,157.95,150.35,153.9,153.7,977593,,494304,0.5056,90.80096941,-0.19,154.45,1209600.0,1989900.0,2010-02-25,75600.0,-0.6500000000000057,ShortBuildUp
2010-02-09,VOLTAS,153.9,155.0,157.5,152.7,156.55,155.2,642318,,327123,0.5093,91.17910789,0.38,156.65,766800.0,1809000.0,2010-02-25,-180900.0,2.200000000000017,ShortCovering
2010-02-10,VOLTAS,156.55,158.0,164.8,157.65,162.9,162.33,1054788,,371574,0.3523,91.77171297,0.59,163.1,2097900.0,1520100.0,2010-02-25,-288900.0,6.449999999999989,ShortCovering
2010-02-11,VOLTAS,162.9,164.6,165.45,158.3,159.85,160.93,1333798,,547819,0.4107,91.59675338,-0.17,160.3,1501200.0,1601100.0,2010-02-25,81000.0,-2.799999999999983,ShortBuildUp
2010-02-15,VOLTAS,159.85,161.5,161.85,157.7,159.85,159.69,483352,,184836,0.3824,91.55724637,-0.04,160.2,645300.0,1609200.0,2010-02-25,8100.0,-0.10000000000002274,ShortBuildUp
2010-02-16,VOLTAS,159.85,160.05,161.9,157.55,160.95,159.48,344928,,136833,0.39670000000000005,91.60239723,0.05,161.55,394200.0,1587600.0,2010-02-25,-21600.0,1.3500000000000227,ShortCovering
2010-02-17,VOLTAS,160.95,161.5,163.4,159.65,160.5,161.38,415860,,161360,0.38799999999999996,91.57417795,-0.03,161.1,548100.0,1593000.0,2010-02-25,5400.0,-0.45000000000001705,ShortBuildUp
2010-02-18,VOLTAS,160.5,161.0,161.0,157.1,158.5,158.47,463269,,181476,0.39170000000000005,91.34277977,-0.23,159.05,513000.0,1657800.0,2010-02-25,64800.0,-2.049999999999983,ShortBuildUp
2010-02-19,VOLTAS,158.5,157.0,157.0,151.6,152.7,153.69,869377,,418364,0.48119999999999996,90.83483256,-0.51,153.0,909900.0,1779300.0,2010-02-25,121500.0,-6.050000000000011,ShortBuildUp
2010-02-22,VOLTAS,152.7,155.0,155.3,151.85,153.0,153.08,695313,,482674,0.6942,90.90820271,0.07,152.95,480600.0,1641600.0,2010-02-25,-137700.0,-0.05000000000001137,LongUnwinding
2010-02-23,VOLTAS,153.0,153.45,154.35,148.5,152.75,151.37,863449,,365694,0.42350000000000004,91.04929916,0.14,152.5,739800.0,1393200.0,2010-02-25,-248400.0,-0.44999999999998863,LongUnwinding
