Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2012-03-26,VOLTAS,109.3,730.0,1.75,145.0
2012-05-28,VOLTAS,107.0,717.39,1.95,-293.48
2012-09-21,VOLTAS,125.3,810.0,1.65,15.0
2012-09-27,VOLTAS,126.7,1944.44,1.69,-66.66000000000008
2014-02-12,VOLTAS,124.65,1242.11,1.43,-489.4799999999999
2014-03-03,VOLTAS,135.25,655.56,3.38,596.29
2014-03-06,VOLTAS,145.7,1384.21,2.79,84.21000000000004
2014-06-06,VOLTAS,218.0,960.0,1.17,210.0
2014-07-01,VOLTAS,218.65,259.26,1.66,355.54999999999995
2014-07-11,VOLTAS,185.45,371.15,2.27,65.39000000000004
2014-10-17,VOLTAS,230.1,715.38,1.05,92.31000000000006
2015-03-26,VOLTAS,273.3,1200.0,1.02,500.0
2015-05-26,VOLTAS,344.15,235.46,1.15,-153.9
2015-06-25,VOLTAS,338.75,245.33,2.32,63.99999999999997
2015-08-20,VOLTAS,296.6,664.29,1.54,435.71
2016-04-18,VOLTAS,293.55,197.83,1.18,58.68999999999997
2016-05-26,VOLTAS,338.35,281.82,1.81,266.66
2016-12-07,VOLTAS,311.4,425.0,1.33,1237.5
2017-03-30,VOLTAS,413.35,205.91,4.69,7.27000000000001
2018-12-27,VOLTAS,551.15,283.33,1.48,333.34
2019-02-28,VOLTAS,566.55,391.67,1.24,124.99999999999994
2020-05-07,VOLTAS,442.2,142.68,1.51,-81.30000000000001
2020-06-01,VOLTAS,539.8,167.51,3.31,-91.77
2021-02-10,VOLTAS,1091.05,96.09,1.03,-15.620000000000005
2021-03-19,VOLTAS,980.25,107.69,1.21,78.46000000000001
2021-05-14,VOLTAS,999.35,81.45,1.56,-24.72000000000001
2021-07-14,VOLTAS,1030.65,1066.67,1.31,3300.0
2021-09-07,VOLTAS,1187.25,71.73,4.01,-6.950000000000003
2022-02-25,VOLTAS,1252.3,22.86,1.01,49.28
2022-05-13,VOLTAS,931.4,46.0,1.27,81.0
2023-02-22,VOLTAS,914.2,81.66,3.54,-6.179999999999993
2023-04-27,VOLTAS,808.4,63.09,1.17,-12.880000000000004
2023-05-04,VOLTAS,801.9,23.08,1.03,373.07
2023-07-18,VOLTAS,765.75,2033.33,3.48,3766.67
2023-08-10,VOLTAS,836.75,100.0,1.71,205.36
2024-01-31,VOLTAS,1092.75,75.83,5.16,1.6500000000000057
2024-08-27,VOLTAS,1743.25,28.89,1.4,33.33
2024-08-30,VOLTAS,1743.65,65.69,1.69,100.0
2024-09-20,VOLTAS,1928.4,29.68,1.06,38.71
2024-10-08,VOLTAS,1800.9,16.67,1.27,94.73
2025-02-28,VOLTAS,1320.1,106.52,7.79,105.16
2025-03-28,VOLTAS,1458.7,27.08,1.35,113.55
