DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,6.299999999999983,Bearish,1,1
High,High,Low,11.508437499999994,Bullish,32,32
High,High,Medium,11.741666666666667,Bearish,12,12
High,High,Very Low,11.970982658959535,Bearish,173,173
High,Low,High,12.232142857142852,Bullish,14,14
High,Low,Medium,8.73023255813953,Bullish,43,43
High,Medium,Low,10.172500000000005,Bearish,20,20
High,Medium,Medium,10.598749999999999,Bearish,40,40
High,Medium,Very Low,8.555000000000001,Bearish,20,20
High,Very High,High,8.165384615384616,Bearish,13,13
High,Very High,Low,21.860000000000003,Bullish,5,5
High,Very High,Medium,9.449999999999992,Bullish,7,7
High,Very High,Very High,10.399999999999997,Bullish,16,16
High,Very High,Very Low,51.05000000000001,Bearish,1,1
High,Very Low,High,8.827083333333333,Bullish,48,48
High,Very Low,Medium,5.550000000000001,Bearish,4,4
High,Very Low,Very Low,8.21666666666666,Bearish,3,3
Low,High,High,7.9833333333333485,Bearish,3,3
Low,High,Very High,9.99666666666666,Bearish,15,15
Low,Low,High,9.449999999999998,Bullish,3,3
Low,Low,Low,9.956024096385539,Bearish,83,83
Low,Low,Medium,9.70862068965517,Bearish,29,29
Low,Low,Very Low,9.708208955223874,Bearish,134,134
Low,Medium,High,10.222916666666674,Bearish,24,24
Low,Medium,Low,11.710869565217388,Bullish,23,23
Low,Medium,Medium,9.527777777777784,Bearish,18,18
Low,Medium,Very High,10.633333333333345,Bearish,3,3
Low,Medium,Very Low,11.290909090909084,Bearish,11,11
Low,Very High,Very High,10.2,Bullish,11,11
Low,Very Low,High,8.915384615384616,Bearish,13,13
Low,Very Low,Low,10.557999999999987,Bearish,25,25
Low,Very Low,Medium,12.05588235294117,Bearish,51,51
Low,Very Low,Very Low,10.760000000000009,Bearish,5,5
Medium,High,High,15.728571428571412,Bearish,7,7
Medium,High,Low,13.699999999999992,Bearish,7,7
Medium,High,Medium,8.559999999999992,Bearish,5,5
Medium,High,Very High,9.020000000000005,Bearish,5,5
Medium,High,Very Low,8.809090909090912,Bearish,11,11
Medium,Low,Low,8.351249999999999,Bullish,40,40
Medium,Low,Medium,9.219791666666667,Bearish,48,48
Medium,Low,Very Low,12.718181818181831,Bearish,11,11
Medium,Medium,Low,11.296315789473685,Bullish,57,57
Medium,Medium,Medium,9.550000000000011,Bullish,4,4
Medium,Medium,Very Low,11.546774193548384,Bearish,186,186
Medium,Very High,High,15.199999999999989,Bullish,1,1
Medium,Very High,Very High,12.196875,Bearish,16,16
Medium,Very Low,High,8.995,Bullish,20,20
Medium,Very Low,Medium,8.786764705882353,Bullish,34,34
Medium,Very Low,Very Low,5.699999999999989,Bullish,1,1
Very High,High,High,15.360526315789475,Bullish,19,19
Very High,High,Low,9.458333333333343,Bullish,12,12
Very High,High,Medium,12.190816326530612,Bullish,49,49
Very High,High,Very Low,14.750000000000018,Bearish,5,5
Very High,Low,High,9.823611111111106,Bearish,72,72
Very High,Low,Medium,20.27499999999999,Bearish,2,2
Very High,Medium,High,9.906410256410258,Bullish,39,39
Very High,Medium,Medium,11.449999999999994,Bearish,37,37
Very High,Very High,High,18.39833333333333,Bearish,30,30
Very High,Very High,Low,16.139393939393937,Bearish,33,33
Very High,Very High,Medium,17.108536585365854,Bearish,41,41
Very High,Very High,Very High,13.600000000000005,Bearish,22,22
Very High,Very High,Very Low,21.043750000000003,Bearish,24,24
Very High,Very Low,High,11.866153846153846,Bearish,65,65
Very High,Very Low,Very Low,10.516666666666671,Bearish,3,3
Very Low,High,Very High,9.918749999999996,Bearish,8,8
Very Low,Low,High,8.268055555555556,Bullish,36,36
Very Low,Low,Low,9.750000000000002,Bullish,11,11
Very Low,Low,Medium,7.941071428571429,Bearish,28,28
Very Low,Low,Very High,9.248780487804876,Bearish,41,41
Very Low,Low,Very Low,8.683333333333328,Bullish,3,3
Very Low,Medium,High,9.366666666666655,Bullish,3,3
Very Low,Medium,Very High,9.325,Bullish,32,32
Very Low,Very High,Very High,9.990909090909087,Bearish,11,11
Very Low,Very Low,High,9.104000000000001,Bearish,50,50
Very Low,Very Low,Low,9.548412698412692,Bearish,63,63
Very Low,Very Low,Medium,11.168589743589749,Bearish,78,78
Very Low,Very Low,Very High,10.058536585365845,Bearish,41,41
Very Low,Very Low,Very Low,9.54081632653061,Bearish,49,49
