DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,22.625000000000014,Bearish,4,4
High,High,Medium,42.35000000000005,Bearish,2,2
High,High,Very Low,25.090816326530632,Bearish,49,49
High,Low,Low,16.88749999999999,Bullish,4,4
High,Low,Medium,12.0,Bearish,6,6
High,Medium,Low,15.716666666666688,Bearish,6,6
High,Medium,Medium,6.349999999999966,Bearish,1,1
High,Medium,Very Low,27.311111111111117,Bearish,9,9
High,Very High,High,27.23000000000004,Bullish,5,5
High,Very High,Low,20.69285714285717,Bearish,7,7
High,Very High,Medium,29.558333333333337,Bullish,6,6
High,Very High,Very High,28.194444444444496,Bullish,9,9
High,Very High,Very Low,48.200000000000045,Bearish,1,1
High,Very Low,Medium,14.720833333333331,Bullish,12,12
Low,High,High,21.487499999999955,Bearish,4,4
Low,High,Very High,27.575000000000017,Bullish,4,4
Low,Low,Low,11.91538461538464,Bearish,13,13
Low,Low,Medium,27.0,Bearish,1,1
Low,Low,Very Low,13.009459459459462,Bullish,37,37
Low,Medium,Low,17.4,Bearish,8,8
Low,Medium,Medium,21.289999999999985,Bearish,5,5
Low,Medium,Very Low,20.225000000000023,Bullish,2,2
Low,Very High,Very High,24.036842105263162,Bearish,19,19
Low,Very Low,Low,8.81666666666666,Bullish,15,15
Low,Very Low,Medium,10.066666666666663,Bearish,9,9
Low,Very Low,Very Low,9.22499999999998,Bearish,4,4
Medium,High,High,30.825000000000045,Bullish,2,2
Medium,High,Low,8.725000000000023,Bearish,2,2
Medium,High,Medium,16.899999999999977,Bearish,3,3
Medium,High,Very Low,21.549999999999955,Bullish,1,1
Medium,Low,Low,11.847727272727276,Bearish,22,22
Medium,Low,Very Low,10.40833333333334,Bullish,6,6
Medium,Medium,Low,12.619999999999981,Bullish,5,5
Medium,Medium,Medium,11.450000000000045,Bearish,1,1
Medium,Medium,Very Low,18.23571428571428,Bearish,49,49
Medium,Very High,High,39.17499999999998,Bearish,4,4
Medium,Very High,Very High,22.91363636363637,Bullish,11,11
Medium,Very Low,Low,17.150000000000034,Bullish,2,2
Medium,Very Low,Medium,11.53461538461538,Bearish,13,13
Very High,High,Low,17.63333333333333,Bearish,18,18
Very High,High,Medium,21.22916666666666,Bearish,12,12
Very High,High,Very Low,24.899999999999995,Bullish,7,7
Very High,Low,Medium,10.05555555555555,Bearish,9,9
Very High,Medium,Medium,9.125000000000014,Bullish,4,4
Very High,Very High,High,9.0,Bearish,1,1
Very High,Very High,Low,30.700000000000003,Bearish,21,21
Very High,Very High,Medium,29.771052631578936,Bearish,19,19
Very High,Very High,Very High,25.661111111111104,Bearish,9,9
Very High,Very High,Very Low,29.200000000000017,Bullish,14,14
Very High,Very Low,Medium,10.816666666666643,Bearish,6,6
Very High,Very Low,Very Low,34.89999999999998,Bearish,2,2
Very Low,High,Very High,33.68750000000003,Bearish,4,4
Very Low,Low,High,8.316666666666663,Bullish,6,6
Very Low,Low,Low,8.449999999999996,Bearish,8,8
Very Low,Low,Medium,9.661111111111117,Bearish,9,9
Very Low,Low,Very High,11.592857142857131,Bullish,7,7
Very Low,Low,Very Low,9.833333333333314,Bullish,3,3
Very Low,Medium,High,9.600000000000023,Bearish,1,1
Very Low,Medium,Very High,12.100000000000023,Bullish,1,1
Very Low,Very High,Very High,22.263333333333332,Bearish,15,15
Very Low,Very Low,High,10.450000000000008,Bearish,3,3
Very Low,Very Low,Low,12.126000000000007,Bullish,25,25
Very Low,Very Low,Medium,11.116666666666658,Bearish,15,15
Very Low,Very Low,Very High,9.25,Bullish,7,7
Very Low,Very Low,Very Low,9.341666666666672,Bullish,18,18
