Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2015-12-01,CADILAHC,401.05,750.0,1.16,5050.0
2016-01-01,CADILAHC,332.7,130.88,2.2,30.879999999999995
2018-05-28,CADILAHC,369.45,135.23,1.58,44.32000000000002
2018-08-14,CADILAHC,340.0,115.52,4.1,61.2
2018-08-16,CADILAHC,340.2,127.81,3.4,97.36
2019-02-07,CADILAHC,321.95,123.27,2.41,28.3
2019-03-15,CADILAHC,342.45,325.0,1.28,315.0
2019-06-10,CADILAHC,247.6,-362.5,1.68,-687.5
2019-06-11,CADILAHC,250.8,558.33,1.63,799.9999999999999
2020-01-22,CADILAHC,269.2,176.92,1.23,59.620000000000005
2020-04-23,CADILAHC,331.45,109.94,1.45,-25.14
2021-04-29,CADILAHC,561.5,162.86,1.57,-50.72000000000001
2021-08-16,CADILAHC,532.0,76.15,1.96,5.859999999999999
2021-12-08,CADILAHC,461.9,737.5,1.55,1200.0
2022-01-17,CADILAHC,438.05,261.54,1.18,646.1500000000001
2022-01-31,CADILAHC,406.5,180.56,1.25,166.66000000000005
2022-07-18,ZYDUSLIFE,358.25,175.0,1.81,236.36
2022-10-04,ZYDUSLIFE,419.9,142.37,1.09,42.38
